...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-16320011,R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",40/1299,122/8368,1.39256382901178e-6,6.0437270179111e-4,5.6826376601428e-4,4710/79133/1337/6390/4702/1340/4698/4705/1327/1349/51241/51204/2108/4715/4718/522/285521/91942/4724/1345/4712/509/4714/10632/10476/4725/7386/2110/54205/7388/1351/84987/9377/29796/55967/4700/4697/6392/4722/539,40,down,Reactome,EBV.nasal,FALSE,-1,3.218695160033253,-3.218695160033253
R-HSA-4491474,R-HSA-449147,Signaling by Interleukins,51/370,396/8368,2.52981518822508e-12,2.1807006922500203e-9,1.99189659030775e-9,2534/240/7431/6813/11213/3594/4792/4318/50615/9466/7040/3718/1440/5608/3587/867/5777/4001/1154/6364/7850/8809/2185/729230/5782/3656/3559/3569/10068/834/6775/3561/6935/9446/1489/3716/6283/1230/1278/6850/64127/3575/3635/3684/1901/1435/8356/7124/6351/6349/6348,51,up,Reactome,CMV.nasal,FALSE,1,8.661403938559035,8.661403938559035
R-HSA-67837834,R-HSA-6783783,Interleukin-10 signaling,13/370,40/8368,8.13455933811235e-9,3.50599507472642e-6,3.20244757100423e-6,1440/3587/6364/7850/729230/3569/3716/1230/1435/7124/6351/6349/6348,13,up,Reactome,CMV.nasal,FALSE,1,5.455188698345087,5.455188698345087
R-HSA-67986955,R-HSA-6798695,Neutrophil degranulation,47/370,445/8368,1.61972257210881e-8,4.65400285719266e-6,4.25106134714875e-6,2268/3683/240/6515/8514/8773/51382/4318/1522/23406/230/51411/4048/5777/8876/3071/7130/158747/272/1794/121260/53831/7226/6518/963/6278/2040/79888/2207/3101/6283/2992/1536/3903/11314/3684/126014/160364/3310/5265/10533/4860/1378/3304/3303/5004/100049587,47,up,Reactome,CMV.nasal,FALSE,1,5.332173354426464,5.332173354426464
R-HSA-96581954,R-HSA-9658195,Leishmania infection,26/370,170/8368,2.39409148626478e-8,5.15926715290061e-6,4.71258008348963e-6,2268/695/2534/7454/5744/5027/2687/10096/7456/113/3709/3071/79651/10095/3569/834/53831/2209/9844/114548/10109/6850/5734/9332/54331/2214,26,up,Reactome,CMV.nasal,FALSE,1,5.287411983267106,5.287411983267106
R-HSA-1989334,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,19/370,98/8368,4.07506229592339e-8,7.02540739817192e-6,6.41715073126462e-6,3683/933/57823/2213/10859/3384/89790/2209/114836/1278/3903/11314/1281/126014/11006/353514/916/2214/4277,19,up,Reactome,CMV.nasal,FALSE,1,5.15332848627728,5.15332848627728
R-HSA-96644074,R-HSA-9664407,Parasite infection,12/370,58/8368,6.59381819926006e-6,5.000544309251e-4,4.5675993934788e-4,2268/695/2534/7454/10096/7456/3071/10095/9844/10109/6850/2214,12,up,Reactome,CMV.nasal,FALSE,1,3.3009827201363535,3.3009827201363535
R-HSA-96644174,R-HSA-9664417,Leishmania phagocytosis,12/370,58/8368,6.59381819926006e-6,5.000544309251e-4,4.5675993934788e-4,2268/695/2534/7454/10096/7456/3071/10095/9844/10109/6850/2214,12,up,Reactome,CMV.nasal,FALSE,1,3.3009827201363535,3.3009827201363535
R-HSA-96644224,R-HSA-9664422,FCGR3A-mediated phagocytosis,12/370,58/8368,6.59381819926006e-6,5.000544309251e-4,4.5675993934788e-4,2268/695/2534/7454/10096/7456/3071/10095/9844/10109/6850/2214,12,up,Reactome,CMV.nasal,FALSE,1,3.3009827201363535,3.3009827201363535
R-HSA-96628514,R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,15/370,89/8368,6.96131458364419e-6,5.000544309251e-4,4.5675993934788e-4,2268/2534/5744/2687/113/3709/79651/3569/53831/2209/6850/5734/9332/54331/2214,15,up,Reactome,CMV.nasal,FALSE,1,3.3009827201363535,3.3009827201363535
