"Module","enrichment_category","Term","Overlap","Adjusted.P.value","Genes"
"NasalRNAseq_mod1","GO_Biological_Process_2021","regulation of interleukin-1 beta production (GO:0032651)","40/83",2.04586927239458e-18,"ORM1;TNFAIP3;LPL;NLRC4;NOD2;LILRA2;MEFV;ORM2;TNF;AGER;LILRA5;CLEC7A;ZC3H12A;CASP1;CCL3;SIRPA;NLRP3;CCR7;FFAR1;CD33;GBP5;EGR1;SERPINB1;RIPK2;CARD8;APOA1;LILRB4;P2RX7;IL6;NLRP12;AIM2;TYROBP;CARD17;TLR8;GHRL;MNDA;CARD16;TLR6;TLR4;MYD88"
"NasalRNAseq_mod1","GO_Biological_Process_2021","cellular response to molecule of bacterial origin (GO:0071219)","47/115",4.13979598658454e-18,"CD86;CD274;CXCL6;CXCL8;LY96;TNFAIP3;CXCL1;NOD2;CXCL3;CXCL2;CXCL5;ZFP36;SBNO2;IL36B;ZC3H12A;ANKRD1;CASP1;PDE4B;SIRPA;NLRP3;CCL2;CTSG;CD14;IL10;MEF2C;DEFA4;ACOD1;DEFA3;LILRB1;PPBP;LILRB2;TICAM1;TNFRSF1B;IRGM;IL1F10;IL1A;IL6;IL1B;TNIP3;CARD17;CARD16;VIM;CD68;FCGR2B;TLR4;MYD88;TLR2"
"NasalRNAseq_mod1","GO_Biological_Process_2021","positive regulation of response to external stimulus (GO:0032103)","52/139",4.16325136145725e-18,"TREM2;TNF;OASL;THBD;NFKBIZ;SCARF1;GPSM3;CCR2;PDGFRB;ZBP1;GBP5;ACOD1;CYBA;IL16;F2;EREG;IL17RA;TNFRSF1A;PLSCR1;IL23A;IL1B;NINJ1;TLR9;TLR8;ADAM8;S100A9;TLR4;S100A8;TLR2;GRN;PDGFB;LPL;LY96;CD1D;FPR2;PLA2G7;AIF1;THBS1;LILRA5;CCL3;S100A12;STX4;STX3;AKIRIN2;TGFB1;PDE2A;OSM;GPR4;BMP6;NFKBIA;NLRP12;TNIP1"
"NasalRNAseq_mod1","GO_Biological_Process_2021","innate immune response (GO:0045087)","81/302",4.78767471325275e-18,"IFITM3;FCN1;IFITM1;IFITM2;NRROS;NCF1;NCF2;CRISP3;SLA;PIK3CD;TREM2;IFIT1;WFDC5;TREM1;PIK3CG;SIRPB1;CXCL16;IFIH1;KYNU;CLEC5A;TRIM25;PGLYRP1;CAMP;FCER1G;CR1;SYK;RIPK2;DDX58;SLC11A1;KRT1;CYBB;CYBA;RNASE3;RNASE2;HLA-E;FGR;HCK;CLEC4D;TYROBP;BTK;TLR9;IRF7;TLR8;CD300E;TRIM58;BPI;CLEC4E;TLR4;TLR2;CFD;WFDC12;COLEC12;NLRC5;NOD2;CFP;MEFV;AGER;CORO1A;RELB;CLEC7A;PLCG2;CD300LB;S100A12;PI3;LYN;TRIM40;SIGLEC14;DEFA4;CARD9;DEFA3;ISG15;IRGM;TREML1;VNN1;FES;CLEC6A;REL;PTX3;APOBEC3A;MYD88;MSRB1"
"NasalRNAseq_mod1","GO_Biological_Process_2021","response to lipopolysaccharide (GO:0032496)","54/159",1.16541567039517e-16,"CD86;CXCL6;CXCL8;TNFAIP3;CXCL1;PTPN22;CXCL3;CXCL2;CXCL5;ZFP36;IL36B;ZC3H12A;ANKRD1;CASP1;PDE4B;SIRPA;CTSG;GGT1;IL10;MEF2C;SLC11A1;ACOD1;IRAK3;TICAM1;TNFRSF1B;IL1A;IL1B;CARD17;PELI1;CARD16;TRIB1;S100A9;TLR4;S100A8;CD274;LY96;NOD2;SBNO2;NLRP3;CCL2;CD14;GGT5;DEFA4;DEFA3;LILRB1;PPBP;LILRB2;IRGM;IL1F10;IL6;TNIP3;VIM;CD68;MYD88"
"NasalRNAseq_mod1","GO_Biological_Process_2021","positive regulation of interleukin-6 production (GO:0032755)","34/76",2.3270193934827e-14,"LPL;TWIST1;NOD2;LILRA2;TNF;AGER;AIF1;LILRA5;IFIH1;CLEC7A;PLCG2;IL6R;SYK;DDX58;CARD9;CYBA;IL16;LILRB2;MMP8;POU2F2;EREG;IL17RA;TLR1;IL1A;IL6;TYROBP;IL1B;LEP;TLR9;TLR8;TLR6;TLR4;MYD88;TLR2"
"NasalRNAseq_mod1","GO_Biological_Process_2021","positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)","35/81",3.00707935953586e-14,"CD86;ORM1;LPL;LY96;TWIST1;NOD2;LILRA2;ORM2;AGER;THBS1;LILRA5;IFIH1;CLEC7A;CCL3;PLCG2;TNFRSF8;CD14;CCR2;HAVCR2;SYK;DDX58;CYBA;MMP8;HLA-E;TLR1;IL1A;IL6;TYROBP;PTPRC;IL23A;OAS3;TLR9;ADAM8;TLR4;TLR2"
"NasalRNAseq_mod1","GO_Biological_Process_2021","neutrophil migration (GO:1990266)","34/77",3.45532731387436e-14,"CXCL6;CXCL8;ITGB2;PIK3CD;CXCL1;CXCL3;CXCL2;CXCL5;PIK3CG;CCL8;CCL7;CXCR1;CCL4;CXCR2;PDE4B;CCL3;CCL2;S100A12;NCKAP1L;CCL18;CD177;CCL24;EDN1;EDN2;FCER1G;CCL22;SYK;CCL20;PPBP;JAML;PECAM1;S100A9;CKLF;S100A8"
"NasalRNAseq_mod1","GO_Biological_Process_2021","granulocyte chemotaxis (GO:0071621)","33/73",3.86159583419675e-14,"CXCL6;CXCL8;ITGB2;PIK3CD;CXCL1;CXCL3;CXCL2;CXCL5;PIK3CG;ADGRE2;CCL8;CCL7;CXCR1;CCL4;CXCR2;PDE4B;CCL3;CCL2;S100A12;NCKAP1L;CCL18;CCL24;EDN1;EDN2;FCER1G;CCL22;SYK;CCL20;PPBP;JAML;S100A9;CKLF;S100A8"
"NasalRNAseq_mod1","GO_Biological_Process_2021","neutrophil chemotaxis (GO:0030593)","32/70",7.05020040587443e-14,"CXCL6;CXCL8;ITGB2;PIK3CD;CXCL1;CXCL3;CXCL2;CXCL5;PIK3CG;CCL8;CCL7;CXCR1;CCL4;CXCR2;PDE4B;CCL3;CCL2;S100A12;NCKAP1L;CCL18;CCL24;EDN1;EDN2;FCER1G;CCL22;SYK;CCL20;PPBP;JAML;S100A9;CKLF;S100A8"
