"Module","gene_id","gene_name"
"NasalRNAseq_mod0","ENSG00000120094","HOXB1"
"NasalRNAseq_mod0","ENSG00000120322","PCDHB8"
"NasalRNAseq_mod0","ENSG00000120328","PCDHB12"
"NasalRNAseq_mod0","ENSG00000121075","TBX4"
"NasalRNAseq_mod0","ENSG00000121207","LRAT"
"NasalRNAseq_mod0","ENSG00000121211","MND1"
"NasalRNAseq_mod0","ENSG00000121270","ABCC11"
"NasalRNAseq_mod0","ENSG00000121440","PDZRN3"
"NasalRNAseq_mod0","ENSG00000121743","GJA3"
"NasalRNAseq_mod0","ENSG00000121769","FABP3"
"NasalRNAseq_mod0","ENSG00000121898","CPXM2"
"NasalRNAseq_mod0","ENSG00000121905","HPCA"
"NasalRNAseq_mod0","ENSG00000122012","SV2C"
"NasalRNAseq_mod0","ENSG00000122194","PLG"
"NasalRNAseq_mod0","ENSG00000122543","OCM"
"NasalRNAseq_mod0","ENSG00000122728","TAF1L"
"NasalRNAseq_mod0","ENSG00000123901","GPR83"
"NasalRNAseq_mod0","ENSG00000123999","INHA"
"NasalRNAseq_mod0","ENSG00000124019","FAM124B"
"NasalRNAseq_mod0","ENSG00000124157","SEMG2"
"NasalRNAseq_mod0","ENSG00000124159","MATN4"
"NasalRNAseq_mod0","ENSG00000124249","KCNK15"
"NasalRNAseq_mod0","ENSG00000124251","TP53TG5"
"NasalRNAseq_mod0","ENSG00000124479","NDP"
"NasalRNAseq_mod0","ENSG00000124507","PACSIN1"
"NasalRNAseq_mod0","ENSG00000124610","HIST1H1A"
"NasalRNAseq_mod0","ENSG00000124713","GNMT"
"NasalRNAseq_mod0","ENSG00000124721","DNAH8"
"NasalRNAseq_mod0","ENSG00000124818","OPN5"
"NasalRNAseq_mod0","ENSG00000125148","MT2A"
"NasalRNAseq_mod0","ENSG00000125337","KIF25"
"NasalRNAseq_mod0","ENSG00000125355","TMEM255A"
"NasalRNAseq_mod0","ENSG00000125384","PTGER2"
"NasalRNAseq_mod0","ENSG00000125508","SRMS"
"NasalRNAseq_mod0","ENSG00000125551","PLGLB2"
"NasalRNAseq_mod0","ENSG00000125618","PAX8"
"NasalRNAseq_mod0","ENSG00000125730","C3"
"NasalRNAseq_mod0","ENSG00000125780","TGM3"
"NasalRNAseq_mod0","ENSG00000125869","LAMP5"
"NasalRNAseq_mod0","ENSG00000125965","GDF5"
"NasalRNAseq_mod0","ENSG00000125998","FAM83C"
"NasalRNAseq_mod0","ENSG00000126545","CSN1S1"
"NasalRNAseq_mod0","ENSG00000126562","WNK4"
"NasalRNAseq_mod0","ENSG00000126709","IFI6"
"NasalRNAseq_mod0","ENSG00000126895","AVPR2"
"NasalRNAseq_mod0","ENSG00000127074","RGS13"
"NasalRNAseq_mod0","ENSG00000127083","OMD"
"NasalRNAseq_mod0","ENSG00000127241","MASP1"
"NasalRNAseq_mod0","ENSG00000127329","PTPRB"
"NasalRNAseq_mod0","ENSG00000127423","AUNIP"
"NasalRNAseq_mod0","ENSG00000127561","SYNGR3"
"NasalRNAseq_mod0","ENSG00000127928","GNGT1"
"NasalRNAseq_mod0","ENSG00000128052","KDR"
"NasalRNAseq_mod0","ENSG00000128218","VPREB3"
"NasalRNAseq_mod0","ENSG00000128298","BAIAP2L2"
"NasalRNAseq_mod0","ENSG00000128886","ELL3"
"NasalRNAseq_mod0","ENSG00000129170","CSRP3"
