Module (or Feature),Analysis,P value,Adj. p value,Direction
CD4pos_T_Cell__naive_,Visit 1 analysis Child population - overall,7.655389195917251e-6,3.775416632637753e-5,Mild
CD4pos_Treg__CD39hi_,Visit 1 analysis Child population - overall,5.337691037075439e-7,4.625998898798713e-6,Mild
CD4pos_Treg__naive_,Visit 1 analysis Child population - overall,0.014386955990296896,0.031171737978976606,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - overall,1.1522991785206054e-5,4.993296440255956e-5,Mild
CD8pos_T_Cell__CD161pos_MAIT_,Visit 1 analysis Child population - overall,0.004208849993199665,0.01042191426887536,Mild
CD8pos_T_Cell__CM_,Visit 1 analysis Child population - overall,1.9360063453984725e-4,6.292020622545036e-4,Mild
CD8pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - overall,7.574779029934127e-7,5.626978707951066e-6,Mild
CD8pos_T_Cell__EMRA_CD57hi_,Visit 1 analysis Child population - overall,5.169081585700651e-6,2.986580471738154e-5,Mild
CD8pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - overall,7.986458261349093e-6,3.775416632637753e-5,Mild
CD8pos_T_Cell__activated_,Visit 1 analysis Child population - overall,0.01771624779247247,0.03684979540834274,Mild
CD8pos_T_Cell__naive_,Visit 1 analysis Child population - overall,2.787842820414162e-5,1.1151371281656648e-4,Mild
Conventional_DC,Visit 1 analysis Child population - overall,7.765672221373802e-4,0.0023753820912437514,Mild
Monocytes__CD14posCD16pos_,Visit 1 analysis Child population - overall,9.956056809094492e-4,0.002876194189293964,Mild
Monocytes__CD14posCD16neg_,Visit 1 analysis Child population - overall,1.1211275906627113e-4,4.1641881938900705e-4,Mild
Monocytes__CD14negCD16pos_,Visit 1 analysis Child population - overall,0.04339598257671579,0.08059253907104362,Mild
NK_Cell__CD56hi_CD16low_,Visit 1 analysis Child population - overall,0.04195471207540923,0.08059253907104362,Mild
NK_Cell__CD56low_CD16hi_CD57hi_,Visit 1 analysis Child population - overall,0.008504385043606687,0.019227305315980336,Mild
NK_Cell__CD56low_CD16hi_CD57low_,Visit 1 analysis Child population - overall,1.2036575496088018e-4,4.172679505310513e-4,Mild
Neutrophil__CD16hi_,Visit 1 analysis Child population - overall,2.3960996116805407e-7,3.1149294951847027e-6,Severe
Plasmacytoid_DC,Visit 1 analysis Child population - overall,0.002313490908547072,0.006230140684992982,Mild
gd_T_Cell,Visit 1 analysis Child population - overall,0.0023962079557665315,0.006230140684992982,Mild
T_Cell,Visit 1 analysis Child population - overall,3.022757118631832e-14,1.5718337016885526e-12,Mild
Basophil,Visit 1 analysis Child population - 1|2,0.0018517877436607258,0.015729146716171895,Mild
Basophil,Visit 1 analysis Child population - 1|4,5.8945946604520504e-6,2.8710025331532085e-4,Mild
Basophil,Visit 1 analysis Child population - 1|5,0.03129521593573249,0.1320505452897981,Mild
Basophil,Visit 1 analysis Child population - 2|4,2.15132713563786e-4,0.0030339316968900167,Mild
Basophil,Visit 1 analysis Child population - 3|4,5.436330905325971e-5,0.001282479881756445,Mild
Basophil,Visit 1 analysis Child population - 3|5,0.03256307145354624,0.13307270932590945,Mild
CD4pos_T_Cell__activated_,Visit 1 analysis Child population - 1|4,4.0389641558795234e-4,0.004991005706908269,Mild
CD4pos_T_Cell__activated_,Visit 1 analysis Child population - 1|5,0.03170692724041694,0.1325115266562224,Mild
CD4pos_T_Cell__activated_,Visit 1 analysis Child population - 2|4,0.0053248933963340175,0.03543102144483789,Mild
CD4pos_T_Cell__activated_,Visit 1 analysis Child population - 3|4,0.01595951645480975,0.07964412538506019,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - 1|2,1.7228196652665243e-4,0.0027565735618660164,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - 1|3,1.5433583126564794e-4,0.0025838805298990736,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - 1|4,1.0923757411382746e-7,1.684236995531358e-5,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - 1|5,0.0018790117464405733,0.015729146716171895,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - 2|4,4.335059687859198e-5,0.0010713790371423447,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - 2|5,0.00632209020356394,0.038601939007643346,Mild
CD4pos_T_Cell__CM_,Visit 1 analysis Child population - 3|4,0.0031734806995682295,0.02441527384918155,Mild
CD4pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 1|2,0.01200779768826775,0.06491715625219753,Mild
CD4pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 1|4,4.5922943458027295e-8,1.1917003827358082e-5,Mild
CD4pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 1|5,0.017843170908850254,0.08736420473295549,Mild
CD4pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 2|4,1.0707512775449972e-4,0.002058221900169828,Mild
CD4pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 2|5,0.034111698140173355,0.1361843948826921,Mild
CD4pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 3|4,1.2673967100871835e-4,0.0023492103304830294,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - 1|2,2.2860746104821816e-4,0.003122296639053295,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - 1|4,1.298063195014534e-7,1.684236995531358e-5,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - 1|5,0.003137716046445309,0.02441527384918155,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - 2|4,6.145931565778052e-6,2.8710025331532085e-4,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - 2|5,0.0032571445902862856,0.02441527384918155,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - 3|4,1.4799088495605453e-5,4.518074664246606e-4,Mild
CD4pos_T_Cell__EM_CD27low_,Visit 1 analysis Child population - 3|5,0.03225829543524766,0.13287345500709152,Mild
CD4pos_T_Cell__EM_CD57hi_,Visit 1 analysis Child population - 1|4,1.9288879675157765e-5,5.561626973003822e-4,Mild
CD4pos_T_Cell__EM_CD57hi_,Visit 1 analysis Child population - 2|4,7.180692385556315e-4,0.007261198026211884,Mild
CD4pos_T_Cell__EM_CD57hi_,Visit 1 analysis Child population - 3|4,0.019380292374096254,0.09227863983629317,Mild
CD4pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 2|4,0.025417569530009305,0.11274973150491308,Mild
CD4pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 3|4,0.008654278747340148,0.049357919449115786,Mild
CD4pos_T_Cell__naive_,Visit 1 analysis Child population - 1|4,8.380483099189563e-5,0.0017397882913917533,Mild
CD4pos_T_Cell__naive_,Visit 1 analysis Child population - 2|4,5.090095271867136e-4,0.0057429553176066165,Mild
CD4pos_T_Cell__naive_,Visit 1 analysis Child population - 2|5,0.007860074830739555,0.04556222294272988,Mild
CD4pos_T_Cell__naive_,Visit 1 analysis Child population - 3|4,0.0239715818471455,0.10818479111885665,Mild
CD4pos_Treg__CD39hi_,Visit 1 analysis Child population - 1|2,2.4123800633174342e-6,1.788607504088212e-4,Mild
CD4pos_Treg__CD39hi_,Visit 1 analysis Child population - 1|3,0.0019376715642780273,0.015962722886671367,Mild
CD4pos_Treg__CD39hi_,Visit 1 analysis Child population - 1|4,2.4666497328346396e-5,6.40095605670589e-4,Mild
CD4pos_Treg__CD39hi_,Visit 1 analysis Child population - 1|5,0.023498005240165164,0.10792446654553735,Mild
CD4pos_Treg__CD39hi_,Visit 1 analysis Child population - 3|4,0.014028439575486745,0.07262320597777644,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - 1|2,7.275188773853911e-4,0.007261198026211884,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - 1|3,0.030748356061771395,0.13080653111524063,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - 1|4,8.150161381735416e-4,0.007981007088906946,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - 1|5,0.04395961288114143,0.1653263701834232,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - 2|4,0.014132839698950713,0.07262320597777644,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - 3|4,0.004511452826671649,0.03121925356056781,Mild
CD8pos_NKT_Cell,Visit 1 analysis Child population - 4|5,0.013714145395114712,0.07189536828348016,Severe
CD8pos_T_Cell__activated_,Visit 1 analysis Child population - 1|4,1.0193184559549835e-4,0.00203471645631014,Mild
CD8pos_T_Cell__activated_,Visit 1 analysis Child population - 2|4,0.0339915623196133,0.1361843948826921,Mild
CD8pos_T_Cell__activated_,Visit 1 analysis Child population - 3|4,0.016822842659305007,0.08315290800170762,Mild
CD8pos_T_Cell__CD161pos_MAIT_,Visit 1 analysis Child population - 1|4,0.034071387254804145,0.1361843948826921,Mild
CD8pos_T_Cell__CD161pos_MAIT_,Visit 1 analysis Child population - 2|4,0.01218456442992474,0.06519370040341176,Mild
CD8pos_T_Cell__CD161pos_MAIT_,Visit 1 analysis Child population - 3|4,0.007138330706194781,0.04258383490247231,Mild
CD8pos_T_Cell__CM_,Visit 1 analysis Child population - 1|2,0.003988308639780396,0.027972056541162502,Mild
CD8pos_T_Cell__CM_,Visit 1 analysis Child population - 1|4,0.0013555661308499397,0.012342786349317871,Mild
CD8pos_T_Cell__CM_,Visit 1 analysis Child population - 1|5,0.01554495182866884,0.07832844659300124,Mild
CD8pos_T_Cell__CM_,Visit 1 analysis Child population - 3|4,0.023811563786221377,0.10818479111885665,Mild
CD8pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 1|2,3.886422268485457e-4,0.004919641847180372,Mild
CD8pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 1|4,1.980400426359424e-4,0.0030230230037662973,Mild
CD8pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 1|5,0.015088161844508178,0.07677211762058572,Mild
CD8pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 2|4,0.02884130087699155,0.12551328076380017,Mild
CD8pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 3|4,0.0032991448977052772,0.02441527384918155,Mild
CD8pos_T_Cell__EM_CD27hi_,Visit 1 analysis Child population - 3|5,0.04771562148416248,0.17439723626957976,Mild
CD8pos_T_Cell__EMRA_CD57hi_,Visit 1 analysis Child population - 1|2,0.0033400470969015225,0.02441527384918155,Mild
CD8pos_T_Cell__EMRA_CD57hi_,Visit 1 analysis Child population - 1|3,0.029020411737294832,0.12551328076380017,Mild
CD8pos_T_Cell__EMRA_CD57hi_,Visit 1 analysis Child population - 1|4,1.3562250814106388e-5,4.39925510782576e-4,Mild
CD8pos_T_Cell__EMRA_CD57hi_,Visit 1 analysis Child population - 1|5,0.006155392614008895,0.038489744176754416,Mild
CD8pos_T_Cell__EMRA_CD57hi_,Visit 1 analysis Child population - 2|4,0.003307494053691959,0.02441527384918155,Mild
CD8pos_T_Cell__EMRA_CD57hi_,Visit 1 analysis Child population - 3|4,0.0013237216194138305,0.012268062865638892,Mild
CD8pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 1|2,0.0013059016029470126,0.012268062865638892,Mild
CD8pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 1|3,0.019970889712622068,0.09422628873500775,Mild
CD8pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 1|4,2.345791623513135e-5,6.40095605670589e-4,Mild
CD8pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 1|5,0.004686727964892547,0.03200541860235831,Mild
CD8pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 2|4,0.012916852872338307,0.06840659837493451,Mild
CD8pos_T_Cell__EMRA_CD57low_,Visit 1 analysis Child population - 3|4,0.006133955414126254,0.038489744176754416,Mild
CD8pos_T_Cell__naive_,Visit 1 analysis Child population - 1|2,0.04201942582763254,0.16128198206350222,Mild
CD8pos_T_Cell__naive_,Visit 1 analysis Child population - 1|3,0.031915107576161464,0.1325115266562224,Mild
CD8pos_T_Cell__naive_,Visit 1 analysis Child population - 1|4,7.736116965553847e-5,0.0016729352938010195,Mild
CD8pos_T_Cell__naive_,Visit 1 analysis Child population - 2|4,6.221243976886162e-4,0.006726720050008163,Mild
CD8pos_T_Cell__naive_,Visit 1 analysis Child population - 3|4,0.0025697119006383774,0.02051816117586643,Mild
Conventional_DC,Visit 1 analysis Child population - 1|2,0.011635966230864615,0.06491715625219753,Mild
Conventional_DC,Visit 1 analysis Child population - 1|4,1.0320941691506927e-5,3.826120527065782e-4,Mild
Conventional_DC,Visit 1 analysis Child population - 2|4,3.60460239019282e-4,0.004676971601275184,Mild
Conventional_DC,Visit 1 analysis Child population - 3|4,2.777755137790813e-4,0.003696551067983159,Mild
Conventional_DC,Visit 1 analysis Child population - 4|5,6.751871364202042e-4,0.007151471914328285,Severe
gd_T_Cell,Visit 1 analysis Child population - 1|4,0.04342099851248207,0.16449268779546128,Mild
Monocytes__CD14negCD16pos_,Visit 1 analysis Child population - 1|4,1.1242044264258334e-5,3.889747315433384e-4,Mild
Monocytes__CD14negCD16pos_,Visit 1 analysis Child population - 2|4,0.0018407448822541348,0.015729146716171895,Mild
Monocytes__CD14negCD16pos_,Visit 1 analysis Child population - 3|4,0.0033979313154729146,0.024493421565700592,Mild
Monocytes__CD14posCD16neg_,Visit 1 analysis Child population - 1|2,0.04753842147866883,0.17439723626957976,Mild
Monocytes__CD14posCD16neg_,Visit 1 analysis Child population - 1|4,5.765563014196736e-4,0.006366653626315119,Mild
Monocytes__CD14posCD16neg_,Visit 1 analysis Child population - 2|4,0.0010699076663823865,0.010283001460230715,Mild
Monocytes__CD14posCD16neg_,Visit 1 analysis Child population - 3|4,0.006018291183448509,0.038489744176754416,Mild
Monocytes__CD14posCD16pos_,Visit 1 analysis Child population - 1|4,2.0792516935176715e-4,0.0030339316968900167,Mild
Monocytes__CD14posCD16pos_,Visit 1 analysis Child population - 2|4,4.88967910854648e-4,0.005740391821411619,Mild
Monocytes__CD14posCD16pos_,Visit 1 analysis Child population - 3|4,2.1629185507693763e-4,0.0030339316968900167,Mild
Neutrophil__CD16hi_,Visit 1 analysis Child population - 1|2,0.011826703767234775,0.06491715625219753,Severe
Neutrophil__CD16hi_,Visit 1 analysis Child population - 1|4,4.148298857073355e-6,2.691208883526339e-4,Severe
Neutrophil__CD16hi_,Visit 1 analysis Child population - 1|5,0.01863714262063556,0.09039885065523229,Severe
Neutrophil__CD16hi_,Visit 1 analysis Child population - 2|4,6.63815614601898e-6,2.8710025331532085e-4,Severe
Neutrophil__CD16hi_,Visit 1 analysis Child population - 2|5,0.0017073119528565224,0.015277498336767848,Severe
Neutrophil__CD16hi_,Visit 1 analysis Child population - 3|4,4.97721834226441e-4,0.005740391821411619,Severe
NK_Cell__CD56hi_CD16low_,Visit 1 analysis Child population - 1|3,0.005938239630614527,0.038489744176754416,Mild
NK_Cell__CD56low_CD16hi_CD57hi_,Visit 1 analysis Child population - 1|4,0.009680450356898698,0.05461036668728722,Mild
NK_Cell__CD56low_CD16hi_CD57hi_,Visit 1 analysis Child population - 2|4,0.005808035324494413,0.038156586498893676,Mild
NK_Cell__CD56low_CD16hi_CD57hi_,Visit 1 analysis Child population - 3|4,0.02955631809362086,0.12677462058338204,Mild
NK_Cell__CD56low_CD16hi_CD57low_,Visit 1 analysis Child population - 1|4,1.44070316334842e-4,0.0025783618681994138,Mild
NK_Cell__CD56low_CD16hi_CD57low_,Visit 1 analysis Child population - 2|4,4.5792248958166014e-4,0.00552701795564841,Mild
NK_Cell__CD56low_CD16hi_CD57low_,Visit 1 analysis Child population - 3|4,0.0036175028289008046,0.025718958468486545,Mild
Plasmacytoid_DC,Visit 1 analysis Child population - 1|4,7.986638259107501e-7,8.290130512953585e-5,Mild
Plasmacytoid_DC,Visit 1 analysis Child population - 2|4,7.134712757647567e-4,0.007261198026211884,Mild
Plasmacytoid_DC,Visit 1 analysis Child population - 3|4,6.731209669319495e-5,0.0015189120949464425,Mild
T_Cell,Visit 1 analysis Child population - 1|2,9.359890772203434e-6,3.736756392902755e-4,Mild
T_Cell,Visit 1 analysis Child population - 1|3,1.5416412883528671e-4,0.0025838805298990736,Mild
T_Cell,Visit 1 analysis Child population - 1|4,4.703507304004819e-12,2.4411202907785012e-9,Mild
T_Cell,Visit 1 analysis Child population - 1|5,1.752734634712496e-4,0.0027565735618660164,Mild
T_Cell,Visit 1 analysis Child population - 2|4,1.698634629998097e-6,1.4693189549483537e-4,Mild
T_Cell,Visit 1 analysis Child population - 2|5,0.0017611804540305829,0.015492417892235127,Mild
T_Cell,Visit 1 analysis Child population - 3|4,6.071415787246033e-6,2.8710025331532085e-4,Mild
T_Cell,Visit 1 analysis Child population - 3|5,0.021576701941238088,0.09998489560270149,Mild
B_Cell,Visit 1 analysis Parent population of non granulocytes - overall,0.014503390278785916,0.022791041866663583,Severe
CD4pos_T_Cell,Visit 1 analysis Parent population of non granulocytes - overall,6.1588812075950226e-6,2.965402234798296e-5,Mild
CD8pos_T_Cell,Visit 1 analysis Parent population of non granulocytes - overall,3.2482682247021613e-4,8.932737617930943e-4,Mild
gd_T_Cell,Visit 1 analysis Parent population of non granulocytes - overall,0.023567986830261362,0.03240598189160937,Mild
Hematopoetic_progrenitor_Cell,Visit 1 analysis Parent population of non granulocytes - overall,0.0034583713543615215,0.006340347482996123,Severe
Monocytes,Visit 1 analysis Parent population of non granulocytes - overall,8.087460640358989e-6,2.965402234798296e-5,Severe
Plasmacytoid_DC,Visit 1 analysis Parent population of non granulocytes - overall,0.002399731147071337,0.005279408523556942,Mild
T_Cell,Visit 1 analysis Parent population of non granulocytes - overall,3.35062106694248e-10,3.6856831736367276e-9,Mild
B_Cell,Visit 1 analysis Parent population of non granulocytes - 1|2,0.015767281285868493,0.05980692901536325,Severe
B_Cell,Visit 1 analysis Parent population of non granulocytes - 1|4,1.5440980807531374e-4,0.002123134861035564,Severe
B_Cell,Visit 1 analysis Parent population of non granulocytes - 3|4,0.0084040027974412,0.03601396905276633,Severe
CD4pos_T_Cell,Visit 1 analysis Parent population of non granulocytes - 1|4,3.903966523312298e-5,7.157271959405879e-4,Mild
CD4pos_T_Cell,Visit 1 analysis Parent population of non granulocytes - 1|5,0.024748762727881422,0.08006952647255755,Mild
CD4pos_T_Cell,Visit 1 analysis Parent population of non granulocytes - 2|4,0.001557261409455858,0.010076397355302611,Mild
CD4pos_T_Cell,Visit 1 analysis Parent population of non granulocytes - 2|5,0.008675049681107055,0.03601396905276633,Mild
