"","virus_compartment","feature","shape","average","summed_virus_smooth_coefficients","average_virus_smooth_coefficients","average_coefficient","virus_n","control_n","shape.adj","average.adj"
"271","Human alphaherpesvirus 1 (HSV1).nasal","SULT1A1","0.138874517348818","0.0797506159232452","-1.36111534330724","-0.151235038145249","-0.122634664416583","99","492",0.251662050730787,0.282194487113021
"272","Human alphaherpesvirus 1 (HSV1).nasal","STAMBP","0.529768127016697","0.837336334406644","0.420707928673659","0.0467453254081843","0.0110204845761588","99","492",0.587212863681158,0.928131840547123
"273","Human alphaherpesvirus 1 (HSV1).nasal","IL5","0.113812156254375","0.427068062685952","0.682960650456844","0.0758845167174271","-0.0496006072554701","99","492",0.216558819698402,0.80367760305448
"274","Human alphaherpesvirus 1 (HSV1).nasal","ADA","0.0248751839092426","0.554610482039124","0.904552961840904","0.100505884648989","-0.0251242211735917","99","492",0.0653861977042948,0.864753000361218
"275","Human alphaherpesvirus 1 (HSV1).nasal","LTA","0.621713562011645","0.000571605058665934","0.205851655211711","0.0228724061346345","-0.155092796512493","99","492",0.672913502412604,0.0251819372454529
"276","Human alphaherpesvirus 1 (HSV1).nasal","CSF1","0.19071241873141","0.766772647254875","0.260302393236866","0.0289224881374296","0.00631441220407002","99","492",0.304221394973018,0.892883609590682
"277","Human alphaherpesvirus 2 (HSV2).nasal","CXCL8","0.0777500682184384","0.585436766482798","5.78203831021666","0.642448701135185","0.161907384752179","4","492",0.556447951012128,0.928623836489955
"278","Human alphaherpesvirus 2 (HSV2).nasal","VEGFA","0.0832121851972795","0.0284496005031345","-1.59767600417355","-0.177519556019283","0.457534918527456","4","492",0.556447951012128,0.327170405786047
"279","Human alphaherpesvirus 2 (HSV2).nasal","CD8A","0.377021091276516","0.7172937709982","1.76893604553424","0.196548449503804","0.120860713390112","4","492",0.770798675498655,0.930066677418294
"280","Human alphaherpesvirus 2 (HSV2).nasal","CCL7","0.12350409116661","0.526540815627973","4.34337003010151","0.482596670011278","0.234392245598543","4","492",0.556447951012128,0.925560004644588
"281","Human alphaherpesvirus 2 (HSV2).nasal","GDNF","0.320759762857445","0.838221999462996","-0.945522020670941","-0.105058002296771","-0.0360568653888711","4","492",0.756664055971409,0.94392665852948
"282","Human alphaherpesvirus 2 (HSV2).nasal","CDCP1","0.688000553091096","0.55690275593453","0.56811766338721","0.0631241848208011","0.139543167287063","4","492",0.880449850387906,0.925560004644588
"283","Human alphaherpesvirus 2 (HSV2).nasal","CD244","0.168863371316377","0.819366416243092","-1.19746142006874","-0.133051268896526","0.0337527978703212","4","492",0.577846288209341,0.94392665852948
"284","Human alphaherpesvirus 2 (HSV2).nasal","IL7","0.357394284536703","0.63233577626641","-1.60811781859065","-0.178679757621183","0.105610516808888","4","492",0.76465753900876,0.930066677418294
"285","Human alphaherpesvirus 2 (HSV2).nasal","TNFRSF11B","0.541784277895138","0.513894632366534","0.698372616247227","0.077596957360803","0.103666464871034","4","492",0.878749208740717,0.925560004644588
"286","Human alphaherpesvirus 2 (HSV2).nasal","TGFB1","0.010653655340403","0.294450764617991","-2.33736563695006","-0.259707292994451","0.145280529232936","4","492",0.414244316028411,0.899371715101128
"287","Human alphaherpesvirus 2 (HSV2).nasal","PLAU","0.573265205746148","0.665005781545921","0.5593327708124","0.0621480856458222","-0.0636168342477495","4","492",0.880449850387906,0.930066677418294
"288","Human alphaherpesvirus 2 (HSV2).nasal","IL6","0.087848143002054","0.534827372653952","7.31296064998495","0.812551183331661","0.277758195504623","4","492",0.556447951012128,0.925560004644588
"289","Human alphaherpesvirus 2 (HSV2).nasal","IL17C","0.902294620971022","0.274282170210938","0.342771802460561","0.0380857558289512","0.349128253216481","4","492",0.974510179668434,0.899371715101128
"290","Human alphaherpesvirus 2 (HSV2).nasal","CCL2","0.13295743809022","0.899356804046528","3.24243074609086","0.360270082898984","-0.0306260390182577","4","492",0.556447951012128,0.945827113898989
"291","Human alphaherpesvirus 2 (HSV2).nasal","IL17A","0.478653812034291","0.963311750949919","-1.44308002516649","-0.160342225018499","-0.0113871636835895","4","491",0.846849052060669,0.963311750949919
"292","Human alphaherpesvirus 2 (HSV2).nasal","CXCL11","0.106895458169286","0.205100570827346","3.80014259533779","0.422238066148643","0.471171102299665","4","492",0.556447951012128,0.899371715101128
"293","Human alphaherpesvirus 2 (HSV2).nasal","AXIN1","0.0889098026154365","0.0281980562737958","-4.14816591574204","-0.460907323971338","0.500941282648695","4","492",0.556447951012128,0.327170405786047
"294","Human alphaherpesvirus 2 (HSV2).nasal","TNFSF10","0.543008145257782","0.450588932392078","-0.776441368851721","-0.0862712632057468","0.100597101432735","4","492",0.878749208740717,0.925560004644588
"295","Human alphaherpesvirus 2 (HSV2).nasal","IL20RA","0.76536440303637","0.83523558930322","0.269247727973713","0.0299164142193015","0.0327507452774549","4","492",0.914461364666832,0.94392665852948
"296","Human alphaherpesvirus 2 (HSV2).nasal","CXCL9","0.220686950174836","0.0509678874620771","-3.41827555440821","-0.379808394934245","0.711915082185927","4","492",0.615248467154088,0.468904564651109
"297","Human alphaherpesvirus 2 (HSV2).nasal","CST5","0.150453045059456","0.480280530967615","-2.09091832485169","-0.232324258316855","-0.180670835606672","4","492",0.577216780245688,0.925560004644588
"298","Human alphaherpesvirus 2 (HSV2).nasal","IL2RB","0.0564549591712464","0.655007495856121","-1.90321382570698","-0.211468202856331","0.0537711633836673","4","492",0.556447951012128,0.930066677418294
"299","Human alphaherpesvirus 2 (HSV2).nasal","IL1A","0.689047708999231","0.894663678618262","0.689945303905448","0.0766605893228276","-0.0189240518158006","4","492",0.880449850387906,0.945827113898989
