"","event_date","predicted","std.error","conf.low","conf.high","virus"
"37",18,6.79916964370494,0.0905586439427283,6.62167796308841,6.97666132432147,"Control"
"38",18,6.81531657762542,0.0957106102994791,6.6277272285001,7.00290592675075,"EBV.pbmc"
"39",19,6.79270100189678,0.0921386390963469,6.61211258768341,6.97328941611016,"Control"
"40",19,6.81007879025648,0.0972002925544577,6.61956971756299,7.00058786294998,"EBV.pbmc"
"41",20,6.79014319306719,0.0940007376493763,6.60590513275421,6.97438125338016,"Control"
"42",20,6.80882919180474,0.098920801726943,6.6149479830981,7.00271040051137,"EBV.pbmc"
"43",21,6.78996805332137,0.0959203680220538,6.60196758661432,6.97796852002842,"Control"
"44",21,6.81001727539718,0.100719494893735,6.6126106928644,7.00742385792997,"EBV.pbmc"
"45",22,6.79066137662068,0.0969916445614439,6.60056124647894,6.98076150676242,"Control"
"46",22,6.81210648974716,0.101787198024984,6.61260724753095,7.01160573196338,"EBV.pbmc"
"47",23,6.79154642829391,0.096978068690262,6.60147290637075,6.98161995021708,"Control"
"48",23,6.81439761874808,0.101930156663607,6.61461818274889,7.01417705474728,"EBV.pbmc"
"49",24,6.79324455428944,0.0967498078841373,6.60361841532536,6.98287069325352,"Control"
"50",24,6.81748931582245,0.101979924336998,6.61761233697581,7.01736629466908,"EBV.pbmc"
"51",25,6.79648876340463,0.0966719876059045,6.60701514938316,6.98596237742611,"Control"
"52",25,6.82209187908344,0.102278900936341,6.62162891686987,7.022554841297,"EBV.pbmc"
"53",26,6.80201206443685,0.0962481672220281,6.61336912310369,6.99065500577001,"Control"
"54",26,6.82891560664423,0.10235156352314,6.62831022837751,7.02952098491095,"EBV.pbmc"
"55",27,6.81010596286242,0.0950131331371089,6.62388364385538,6.99632828186947,"Control"
"56",27,6.83823003881637,0.101773770668765,6.63875711373475,7.03770296389799,"EBV.pbmc"
"57",28,6.81929595087355,0.0938827621548394,6.63528911828093,7.00330278346618,"Control"
"58",28,6.84854168470481,0.101446404052485,6.64971038640084,7.04737298300878,"EBV.pbmc"
"59",29,6.8276660173414,0.0937811473741472,6.64385834605923,7.01147368862357,"Control"
"60",29,6.85791629561285,0.102260542116732,6.65748931602452,7.05834327520119,"EBV.pbmc"
"61",30,6.83330015113714,0.0946492555187644,6.64779101915683,7.01880928311745,"Control"
"62",30,6.86441962284382,0.104177734873979,6.66023501449986,7.06860423118778,"EBV.pbmc"
"63",31,6.83444912643698,0.0957858519353385,6.64671230641523,7.02218594645873,"Control"
"64",31,6.86628652670308,0.10657960080999,6.65739434762884,7.07517870577732,"EBV.pbmc"
"65",32,6.8313025965884,0.0972714825969703,6.64065399397553,7.02195119920128,"Control"
"66",32,6.86371775964496,0.109567331032419,6.64896973693924,7.07846578235068,"EBV.pbmc"
"67",33,6.82530110472681,0.0996508681398015,6.62998899214465,7.02061321730897,"Control"
"68",33,6.85818239163924,0.113636418067633,6.63545910489454,7.08090567838393,"EBV.pbmc"
"69",34,6.81790604215072,0.10290088671094,6.61622401022004,7.01958807408139,"Control"
"70",34,6.85117063128095,0.118751340805275,6.61842228018677,7.08391898237513,"EBV.pbmc"
"71",35,6.81056857311192,0.106574691186394,6.60168601672311,7.01945112950074,"Control"
"72",35,6.8441623225033,0.124503167956245,6.60014059734792,7.08818404765869,"EBV.pbmc"
"73",36,6.8041262390584,0.111031420058886,6.58650865459064,7.02174382352615,"Control"
"74",36,6.83801542953031,0.13117726286307,6.58091271872815,7.09511814033247,"EBV.pbmc"
"75",37,6.79846546609215,0.117899126582138,6.56738742418243,7.02954350800187,"Control"
"76",37,6.83262400303669,0.140106252799641,6.55802079354053,7.10722721253285,"EBV.pbmc"
"77",38,6.79339086394137,0.128656262807184,6.54122922245377,7.04555250542897,"Control"
"78",40,6.78421861099891,0.162662669700267,6.46540563675726,7.10303158524057,"Control"
