name,nt_e_value3,omic
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),7.564844408332787e-61,PBMC
Human gammaherpesvirus 4 (EBV),6.20297455978814e-57,PBMC
Human gammaherpesvirus 4 (EBV),5.788952685656589e-44,PBMC
Human gammaherpesvirus 4 (EBV),4.424864743556623e-47,PBMC
Human gammaherpesvirus 4 (EBV),9.824263447582708e-56,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.970981859118748e-60,PBMC
Human gammaherpesvirus 4 (EBV),2.5852348395621992e-51,PBMC
Human gammaherpesvirus 4 (EBV),1.3474107253443834e-79,PBMC
Human gammaherpesvirus 4 (EBV),7.331620890272138e-91,PBMC
Human betaherpesvirus 5 (CMV),2.2542392121524003e-113,PBMC
Human gammaherpesvirus 4 (EBV),3.7239170625456675e-177,PBMC
Human betaherpesvirus 5 (CMV),2.582260190634633e-192,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human betaherpesvirus 6,1.38388499358418e-47,PBMC
Human betaherpesvirus 5 (CMV),6.660395212984273e-51,PBMC
Human gammaherpesvirus 4 (EBV),3.584264080437154e-55,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,1.645508007373559e-29,PBMC
Human gammaherpesvirus 4 (EBV),1.574345329142937e-53,PBMC
Anelloviridae,1.8100892952707557e-30,PBMC
Human gammaherpesvirus 4 (EBV),1.73620099190143e-55,PBMC
Human gammaherpesvirus 4 (EBV),2.3911124459496883e-47,PBMC
Human betaherpesvirus 5 (CMV),3.962780342554515e-153,PBMC
Human gammaherpesvirus 4 (EBV),1.1601122161480601e-36,PBMC
Human betaherpesvirus 5 (CMV),7.888601176185388e-152,PBMC
Human betaherpesvirus 5 (CMV),2.4154608344449946e-186,PBMC
Human betaherpesvirus 5 (CMV),9.14113241470277e-152,PBMC
Anelloviridae,2.1907862171648534e-41,PBMC
Human gammaherpesvirus 4 (EBV),1.0866758111644186e-47,PBMC
Human gammaherpesvirus 4 (EBV),9.30679183162657e-49,PBMC
Human gammaherpesvirus 4 (EBV),5.112107761177368e-53,PBMC
Human gammaherpesvirus 4 (EBV),1.684224575082697e-44,PBMC
Anelloviridae,7.943282347242919e-120,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,1.2277218920273213e-76,PBMC
Anelloviridae,1.2823305826560336e-185,PBMC
Anelloviridae,1.0939563662720975e-103,PBMC
Anelloviridae,5.477722156556654e-81,PBMC
Human immunodeficiency virus 1,6.240221421389785e-52,PBMC
Anelloviridae,8.280529502265174e-32,PBMC
Anelloviridae,1.1392000621865326e-35,PBMC
Human gammaherpesvirus 4 (EBV),7.828886556130186e-55,PBMC
Anelloviridae,4.458615279480711e-56,PBMC
Anelloviridae,7.024250644645044e-45,PBMC
Human betaherpesvirus 5 (CMV),1.9032682375763446e-50,PBMC
Anelloviridae,2.7745975598804436e-72,PBMC
Anelloviridae,9.8627948563121e-44,PBMC
Anelloviridae,1.5024499029989145e-88,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,7.0827188054674685e-47,PBMC
Human gammaherpesvirus 4 (EBV),8.808460273622535e-47,PBMC
Anelloviridae,4.1209751909732533e-125,PBMC
Anelloviridae,3.9865755604057835e-79,PBMC
Human gammaherpesvirus 4 (EBV),2.0234850496919657e-56,PBMC
Anelloviridae,1.3797487205075005e-32,PBMC
Human gammaherpesvirus 4 (EBV),2.0234850496919657e-56,PBMC
Human gammaherpesvirus 4 (EBV),1.1371035097106449e-47,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),5.00841145299823e-50,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.7346026278792732e-51,PBMC
Human gammaherpesvirus 4 (EBV),6.689597686316119e-57,PBMC
Human gammaherpesvirus 4 (EBV),6.709652064618821e-99,PBMC
Human gammaherpesvirus 4 (EBV),8.476176666354862e-42,PBMC
Human gammaherpesvirus 4 (EBV),7.382441258430477e-55,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.5846396357698318e-55,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.769798141192211e-55,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.499684835502331e-132,PBMC
Human gammaherpesvirus 4 (EBV),6.3212068200527175e-55,PBMC
Human gammaherpesvirus 4 (EBV),2.3768402866249026e-180,PBMC
Human gammaherpesvirus 4 (EBV),1.4702798319828361e-82,PBMC
Human gammaherpesvirus 4 (EBV),1.1662724050819666e-53,PBMC
Human gammaherpesvirus 4 (EBV),1.2779092095662787e-96,PBMC
Human gammaherpesvirus 4 (EBV),5.6754460540853496e-167,PBMC
Human gammaherpesvirus 4 (EBV),3.0255198038723213e-49,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.87528490103389e-127,PBMC
Human gammaherpesvirus 4 (EBV),1.4897040552577048e-54,PBMC
Anelloviridae,4.895533198139602e-75,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.2854852039744446e-119,PBMC
Anelloviridae,1.8680994819277538e-62,PBMC
Human gammaherpesvirus 4 (EBV),8.192189693228594e-75,PBMC
Anelloviridae,6.732866448596891e-63,PBMC
Human gammaherpesvirus 4 (EBV),2.0234850496919657e-56,PBMC
Human gammaherpesvirus 4 (EBV),1.329535689979108e-88,PBMC
Human gammaherpesvirus 4 (EBV),9.567533686182458e-39,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.0234850496919657e-56,PBMC
Anelloviridae,1.0849257074936352e-27,PBMC
