name,percent,day,compartment,virus
Anelloviridae.ea,11.11111111111111,32,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,44.44444444444444,32,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,32,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,11.11111111111111,32,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,11.11111111111111,32,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,55.55555555555556,32,ea,SARS-CoV-2
Anelloviridae.ea,33.33333333333333,33,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,0,33,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,33,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,33,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,33,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,66.66666666666666,33,ea,SARS-CoV-2
Anelloviridae.ea,100,34,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,0,34,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,34,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,34,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,34,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,100,34,ea,SARS-CoV-2
