tissue,trajectory_group,count,freq,day
pbmc,4,86,43.87755102040816,22
pbmc,5,23,11.73469387755102,22
pbmc,1,21,11.475409836065573,23
pbmc,2,26,14.207650273224044,23
pbmc,3,33,18.0327868852459,23
pbmc,4,84,45.90163934426229,23
pbmc,5,19,10.382513661202186,23
pbmc,1,21,12.138728323699421,24
pbmc,2,25,14.450867052023122,24
pbmc,3,29,16.76300578034682,24
pbmc,4,76,43.93063583815029,24
pbmc,5,22,12.716763005780345,24
pbmc,1,22,13.580246913580247,25
pbmc,2,17,10.493827160493826,25
pbmc,3,25,15.432098765432098,25
pbmc,4,76,46.913580246913575,25
pbmc,5,22,13.580246913580247,25
pbmc,1,22,14.76510067114094,26
pbmc,2,13,8.724832214765101,26
pbmc,3,27,18.120805369127517,26
pbmc,4,68,45.63758389261745,26
pbmc,5,19,12.751677852348994,26
pbmc,1,21,14.893617021276595,27
pbmc,2,14,9.929078014184398,27
pbmc,3,25,17.73049645390071,27
pbmc,4,63,44.680851063829785,27
pbmc,5,18,12.76595744680851,27
pbmc,1,14,11.38211382113821,28
pbmc,2,11,8.94308943089431,28
pbmc,3,24,19.51219512195122,28
pbmc,4,57,46.34146341463415,28
pbmc,5,17,13.821138211382115,28
pbmc,1,12,9.917355371900827,29
pbmc,2,13,10.743801652892563,29
pbmc,3,28,23.140495867768596,29
pbmc,4,56,46.28099173553719,29
pbmc,5,12,9.917355371900827,29
pbmc,1,12,9.836065573770492,30
pbmc,2,17,13.934426229508196,30
pbmc,3,30,24.59016393442623,30
pbmc,4,51,41.80327868852459,30
pbmc,5,12,9.836065573770492,30
pbmc,1,12,9.67741935483871,31
pbmc,2,19,15.32258064516129,31
pbmc,3,27,21.774193548387096,31
pbmc,4,55,44.354838709677416,31
pbmc,5,11,8.870967741935484,31
pbmc,1,17,13.709677419354838,32
pbmc,2,20,16.129032258064516,32
pbmc,3,28,22.58064516129032,32
pbmc,4,51,41.12903225806452,32
pbmc,5,8,6.451612903225806,32
pbmc,1,18,14.516129032258066,33
pbmc,2,20,16.129032258064516,33
pbmc,3,29,23.387096774193548,33
pbmc,4,49,39.516129032258064,33
pbmc,5,8,6.451612903225806,33
pbmc,1,19,16.52173913043478,34
pbmc,2,23,20,34
pbmc,3,27,23.47826086956522,34
pbmc,4,39,33.91304347826087,34
pbmc,5,7,6.086956521739131,34
pbmc,1,21,18.91891891891892,35
pbmc,2,20,18.01801801801802,35
pbmc,3,25,22.52252252252252,35
pbmc,4,40,36.03603603603604,35
pbmc,5,5,4.504504504504505,35
pbmc,1,22,22.448979591836736,36
pbmc,2,17,17.346938775510203,36
pbmc,3,27,27.55102040816326,36
pbmc,4,29,29.591836734693878,36
pbmc,5,3,3.061224489795918,36
pbmc,1,21,21.21212121212121,37
pbmc,2,20,20.2020202020202,37
pbmc,3,29,29.292929292929294,37
pbmc,4,26,26.262626262626267,37
pbmc,5,3,3.0303030303030303,37
pbmc,1,21,22.340425531914892,38
pbmc,2,20,21.27659574468085,38
pbmc,3,25,26.595744680851062,38
pbmc,4,25,26.595744680851062,38
pbmc,5,3,3.1914893617021276,38
pbmc,1,21,22.58064516129032,39
pbmc,2,16,17.20430107526882,39
pbmc,3,24,25.806451612903224,39
pbmc,4,29,31.182795698924732,39
pbmc,5,3,3.225806451612903,39
pbmc,1,18,21.686746987951807,40
pbmc,2,13,15.66265060240964,40
pbmc,3,26,31.32530120481928,40
pbmc,4,23,27.710843373493976,40
pbmc,5,3,3.614457831325301,40
