"","name","percent","count","sum","day","upper_CI","lower_CI","compartment","virus"
"51","Human betaherpesvirus 5 (CMV).nasal",1.01137800252845,791,8,6,0.0206581526881149,0.00471018382783034,"nasal","Human betaherpesvirus 5 (CMV)"
"52","Human betaherpesvirus 5 (CMV).pbmc",1.16279069767442,860,10,6,0.0220163221842652,0.00591960024714988,"pbmc","Human betaherpesvirus 5 (CMV)"
"53","Human gammaherpesvirus 4 (EBV).nasal",4.551201011378,791,36,6,0.0630866530199107,0.0325190093852727,"nasal","Human gammaherpesvirus 4 (EBV)"
"54","Human gammaherpesvirus 4 (EBV).pbmc",20.9302325581395,860,180,6,0.23836049131744,0.182884695613786,"pbmc","Human gammaherpesvirus 4 (EBV)"
"55","Anelloviridae.nasal",2.83018867924528,636,18,7,0.0452401338147694,0.017363982082826,"nasal","Anelloviridae"
"56","Anelloviridae.pbmc",12.9261363636364,704,91,7,0.156833564847147,0.105827793790083,"pbmc","Anelloviridae"
"57","Enterovirus.nasal",2.35849056603774,636,15,7,0.0395110363460343,0.0137488015697051,"nasal","Enterovirus"
"58","Human alphaherpesvirus 1 (HSV1).nasal",6.09951845906902,623,38,7,0.0835231797665492,0.0440746421686933,"nasal","Human alphaherpesvirus 1 (HSV1)"
"59","Human alphaherpesvirus 2 (HSV2).nasal",0.158227848101266,632,1,7,0.0102113750528531,8.26006999669064e-05,"nasal","Human alphaherpesvirus 2 (HSV2)"
"60","Human betaherpesvirus 5 (CMV).nasal",0.628930817610063,636,4,7,0.0171718910246024,0.00201661792243635,"nasal","Human betaherpesvirus 5 (CMV)"
"61","Human betaherpesvirus 5 (CMV).pbmc",1.42045454545455,704,10,7,0.0268567723356393,0.00723422128816238,"pbmc","Human betaherpesvirus 5 (CMV)"
"62","Human gammaherpesvirus 4 (EBV).nasal",5.0314465408805,636,32,7,0.0710694609833536,0.0352051079835558,"nasal","Human gammaherpesvirus 4 (EBV)"
"63","Human gammaherpesvirus 4 (EBV).pbmc",17.6136363636364,704,124,7,0.206762286221867,0.149113968969516,"pbmc","Human gammaherpesvirus 4 (EBV)"
"64","Anelloviridae.nasal",2.80561122244489,499,14,8,0.047771527583784,0.016033564873847,"nasal","Anelloviridae"
"65","Anelloviridae.pbmc",13.4892086330935,556,75,8,0.166776924831294,0.108175288428029,"pbmc","Anelloviridae"
"66","Enterovirus.nasal",3.0060120240481,499,15,8,0.0502254025225561,0.0175402287254842,"nasal","Enterovirus"
"67","Human alphaherpesvirus 1 (HSV1).nasal",6.92464358452139,491,34,8,0.0963663076142026,0.0491132480937781,"nasal","Human alphaherpesvirus 1 (HSV1)"
"68","Human alphaherpesvirus 2 (HSV2).nasal",0.201207243460765,497,1,8,0.0129626068807425,0.000105039421287909,"nasal","Human alphaherpesvirus 2 (HSV2)"
"69","Human betaherpesvirus 5 (CMV).nasal",1.00200400801603,499,5,8,0.0246180780746986,0.00369470182712294,"nasal","Human betaherpesvirus 5 (CMV)"
"70","Human betaherpesvirus 5 (CMV).pbmc",1.43884892086331,556,8,8,0.0293075530686406,0.00670551967308502,"pbmc","Human betaherpesvirus 5 (CMV)"
"71","Human gammaherpesvirus 4 (EBV).nasal",4.80961923847695,499,24,8,0.0717401405645767,0.0317179152799415,"nasal","Human gammaherpesvirus 4 (EBV)"
"72","Human gammaherpesvirus 4 (EBV).pbmc",16.9064748201439,556,94,8,0.203423986516302,0.139377355242739,"pbmc","Human gammaherpesvirus 4 (EBV)"
"73","Anelloviridae.nasal",2.9810298102981,369,11,9,0.054283201252545,0.0157511831973263,"nasal","Anelloviridae"
"74","Anelloviridae.pbmc",14.4607843137255,408,59,9,0.183383062766192,0.112698323657329,"pbmc","Anelloviridae"
"75","Enterovirus.nasal",3.2520325203252,369,12,9,0.0576585785290183,0.0177084139116974,"nasal","Enterovirus"
"76","Human alphaherpesvirus 1 (HSV1).nasal",8.83977900552486,362,32,9,0.123694377487058,0.0621468591178942,"nasal","Human alphaherpesvirus 1 (HSV1)"
"77","Human alphaherpesvirus 2 (HSV2).nasal",0,367,0,9,0.0129130820920618,0,"nasal","Human alphaherpesvirus 2 (HSV2)"
"78","Human betaherpesvirus 5 (CMV).nasal",1.0840108401084,369,4,9,0.0294430436927517,0.00347815869964615,"nasal","Human betaherpesvirus 5 (CMV)"
"79","Human betaherpesvirus 5 (CMV).pbmc",1.7156862745098,408,7,9,0.0366038384646748,0.00753841678096565,"pbmc","Human betaherpesvirus 5 (CMV)"
"80","Human gammaherpesvirus 4 (EBV).nasal",4.6070460704607,369,17,9,0.0741611257011155,0.0279094613195975,"nasal","Human gammaherpesvirus 4 (EBV)"
"81","Human gammaherpesvirus 4 (EBV).pbmc",15.4411764705882,408,63,9,0.19400732768457,0.121486495637574,"pbmc","Human gammaherpesvirus 4 (EBV)"
"82","Anelloviridae.nasal",2.7027027027027,259,7,10,0.0572511321500735,0.011893863688984,"nasal","Anelloviridae"
"83","Anelloviridae.pbmc",14.7887323943662,284,42,10,0.19579833312851,0.109770242269805,"pbmc","Anelloviridae"
"84","Enterovirus.nasal",3.08880308880309,259,8,10,0.0622412628084523,0.0144326079464515,"nasal","Enterovirus"
"85","Human alphaherpesvirus 1 (HSV1).nasal",7.96812749003984,251,20,10,0.122189491962002,0.0505793806196927,"nasal","Human alphaherpesvirus 1 (HSV1)"
