"","name","plate","trajectory_group","count","freq"
"57","HSV1.nasal","3A_9","3",2,0.0232558139534884
"58","HSV1.nasal","3A_9","4",1,0.0116279069767442
"59","HSV1.nasal","3A_9","5",5,0.0581395348837209
"60","HSV1.nasal","3B_1","2",1,0.0117647058823529
"61","HSV1.nasal","3B_1","3",1,0.0117647058823529
"62","HSV1.nasal","3B_1","4",7,0.0823529411764706
"63","HSV1.nasal","3B_2","1",1,0.0116279069767442
"64","HSV1.nasal","3B_2","5",1,0.0116279069767442
"65","HSV1.nasal","3B_3","4",2,0.0263157894736842
"66","HSV1.nasal","3B_4","1",3,0.036144578313253
"67","HSV1.nasal","3B_4","2",12,0.144578313253012
"68","HSV1.nasal","3B_4","3",19,0.228915662650602
"69","HSV1.nasal","3B_4","4",14,0.168674698795181
"70","HSV1.nasal","3B_4","5",10,0.120481927710843
"71","HSV1.nasal","3B_5","3",3,0.0348837209302326
"72","HSV1.nasal","3B_5","4",5,0.0581395348837209
"73","HSV1.nasal","3B_6","4",2,0.0338983050847458
"74","HSV1.nasal","3B_7","1",1,0.0121951219512195
"75","HSV1.nasal","3B_7","2",1,0.0121951219512195
"76","HSV1.nasal","3B_7","3",1,0.0121951219512195
"77","HSV1.nasal","3B_7","4",10,0.121951219512195
"78","HSV2.nasal","1_1","2",1,0.0117647058823529
"79","HSV2.nasal","1_1","3",1,0.0117647058823529
"80","HSV2.nasal","1_2","5",1,0.0147058823529412
"81","HSV2.nasal","1_3","4",1,0.012987012987013
"82","HSV2.nasal","1_4",NA,NA,0
"83","HSV2.nasal","1_5",NA,NA,0
"84","HSV2.nasal","2_1","5",3,0.0365853658536585
"85","HSV2.nasal","2_10",NA,NA,0
"86","HSV2.nasal","2_2","4",1,0.0117647058823529
"87","HSV2.nasal","2_3",NA,NA,0
"88","HSV2.nasal","2_4",NA,NA,0
"89","HSV2.nasal","2_5","1",1,0.0123456790123457
"90","HSV2.nasal","2_5","4",1,0.0123456790123457
"91","HSV2.nasal","2_6",NA,NA,0
"92","HSV2.nasal","2_7","4",1,0.0117647058823529
"93","HSV2.nasal","2_8",NA,NA,0
"94","HSV2.nasal","2_9",NA,NA,0
"95","HSV2.nasal","3A_1","2",1,0.0116279069767442
"96","HSV2.nasal","3A_10","4",1,0.0119047619047619
"97","HSV2.nasal","3A_11","4",3,0.0344827586206897
"98","HSV2.nasal","3A_2",NA,NA,0
"99","HSV2.nasal","3A_3","1",1,0.0113636363636364
"100","HSV2.nasal","3A_3","3",1,0.0113636363636364
"101","HSV2.nasal","3A_4","5",1,0.0117647058823529
"102","HSV2.nasal","3A_5","2",1,0.0117647058823529
"103","HSV2.nasal","3A_5","4",2,0.0235294117647059
"104","HSV2.nasal","3A_6",NA,NA,0
"105","HSV2.nasal","3A_7","5",2,0.0224719101123595
"106","HSV2.nasal","3A_8","1",2,0.0222222222222222
"107","HSV2.nasal","3A_8","3",1,0.0111111111111111
"108","HSV2.nasal","3A_8","4",1,0.0111111111111111
"109","HSV2.nasal","3A_9","5",5,0.0581395348837209
"110","HSV2.nasal","3B_1","4",1,0.0117647058823529
"111","HSV2.nasal","3B_2",NA,NA,0
"112","HSV2.nasal","3B_3",NA,NA,0
"113","HSV2.nasal","3B_4","3",2,0.0240963855421687
"114","HSV2.nasal","3B_4","5",3,0.036144578313253
"115","HSV2.nasal","3B_5","4",1,0.0116279069767442
"116","HSV2.nasal","3B_6",NA,NA,0
"117","HSV2.nasal","3B_7","4",3,0.0365853658536585
"118","CMV.nasal","1_1",NA,NA,0
"119","CMV.nasal","1_2",NA,NA,0
"120","CMV.nasal","1_3","4",1,0.012987012987013
"121","CMV.nasal","1_4","5",1,0.0136986301369863
"122","CMV.nasal","1_5",NA,NA,0
"123","CMV.nasal","2_1","3",1,0.0121951219512195
"124","CMV.nasal","2_1","5",1,0.0121951219512195
"125","CMV.nasal","2_10",NA,NA,0
"126","CMV.nasal","2_2","4",2,0.0235294117647059
"127","CMV.nasal","2_3",NA,NA,0
"128","CMV.nasal","2_4","4",2,0.0235294117647059
"129","CMV.nasal","2_5",NA,NA,0
"130","CMV.nasal","2_6",NA,NA,0
"131","CMV.nasal","2_7","4",2,0.0235294117647059
"132","CMV.nasal","2_8","5",1,0.0117647058823529
"133","CMV.nasal","2_9",NA,NA,0
"134","CMV.nasal","3A_1",NA,NA,0
"135","CMV.nasal","3A_10","4",1,0.0119047619047619
"136","CMV.nasal","3A_11","4",1,0.0114942528735632
"137","CMV.nasal","3A_2",NA,NA,0
"138","CMV.nasal","3A_3",NA,NA,0
"139","CMV.nasal","3A_4",NA,NA,0
"140","CMV.nasal","3A_5","4",1,0.0117647058823529
"141","CMV.nasal","3A_6",NA,NA,0
"142","CMV.nasal","3A_7",NA,NA,0
"143","CMV.nasal","3A_8","3",1,0.0111111111111111
"144","CMV.nasal","3A_9","5",2,0.0232558139534884
"145","CMV.nasal","3B_1","4",1,0.0117647058823529
"146","CMV.nasal","3B_2",NA,NA,0
"147","CMV.nasal","3B_3","2",1,0.0131578947368421
"148","CMV.nasal","3B_3","3",1,0.0131578947368421
"149","CMV.nasal","3B_3","4",4,0.0526315789473684
"150","CMV.nasal","3B_4","3",1,0.0120481927710843
"151","CMV.nasal","3B_4","5",2,0.0240963855421687
"152","CMV.nasal","3B_5","5",1,0.0116279069767442
