name,percent,day,compartment,virus
Human betaherpesvirus 5 (CMV).ea,1.3333333333333335,10,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.16286644951140067,10,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.3021148036253776,10,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,10,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.0944625407166124,10,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,20.84592145015106,10,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,92,10,ea,SARS-CoV-2
SARS-CoV-2.nasal,93.64820846905538,10,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,10,pbmc,SARS-CoV-2
Anelloviridae.ea,4.10958904109589,11,ea,Anelloviridae
Anelloviridae.nasal,1.5463917525773196,11,nasal,Anelloviridae
Anelloviridae.pbmc,9.076433121019107,11,pbmc,Anelloviridae
Enterovirus.nasal,1.8900343642611683,11,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,21.91780821917808,11,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,4.601769911504425,11,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,11,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,11,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,11,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.1718213058419244,11,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.6369426751592357,11,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,11,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.436426116838488,11,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,20.222929936305732,11,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,89.04109589041096,11,ea,SARS-CoV-2
SARS-CoV-2.nasal,93.47079037800687,11,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,11,pbmc,SARS-CoV-2
Anelloviridae.ea,5.714285714285714,12,ea,Anelloviridae
Anelloviridae.nasal,1.7509727626459144,12,nasal,Anelloviridae
Anelloviridae.pbmc,9.236234458259325,12,pbmc,Anelloviridae
Enterovirus.nasal,1.9455252918287937,12,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,18.571428571428573,12,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,4.3999999999999995,12,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,12,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,12,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,12,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.38910505836575876,12,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.5328596802841918,12,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,12,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.501945525291829,12,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,19.893428063943162,12,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,91.42857142857143,12,ea,SARS-CoV-2
SARS-CoV-2.nasal,92.41245136186771,12,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,12,pbmc,SARS-CoV-2
Anelloviridae.ea,4.10958904109589,13,ea,Anelloviridae
Anelloviridae.nasal,1.4314928425357873,13,nasal,Anelloviridae
Anelloviridae.pbmc,9.328358208955224,13,pbmc,Anelloviridae
Enterovirus.nasal,1.4314928425357873,13,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,27.397260273972602,13,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,4.3841336116910234,13,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,13,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,13,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,13,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.408997955010225,13,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.5597014925373134,13,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,1.36986301369863,13,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.6809815950920246,13,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,18.84328358208955,13,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,89.04109589041096,13,ea,SARS-CoV-2
SARS-CoV-2.nasal,92.22903885480572,13,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,13,pbmc,SARS-CoV-2
Anelloviridae.ea,4.3478260869565215,14,ea,Anelloviridae
Anelloviridae.nasal,1.55902004454343,14,nasal,Anelloviridae
Anelloviridae.pbmc,10.22964509394572,14,pbmc,Anelloviridae
Enterovirus.nasal,1.7817371937639197,14,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,23.18840579710145,14,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,4.751131221719457,14,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,14,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,14,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,14,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.6681514476614699,14,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,1.0438413361169103,14,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,1.4492753623188406,14,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.5634743875278394,14,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,19.41544885177453,14,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,86.95652173913044,14,ea,SARS-CoV-2
SARS-CoV-2.nasal,92.20489977728286,14,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,14,pbmc,SARS-CoV-2
Anelloviridae.ea,3.1746031746031744,15,ea,Anelloviridae
Anelloviridae.nasal,1.3192612137203166,15,nasal,Anelloviridae
Anelloviridae.pbmc,11.576354679802956,15,pbmc,Anelloviridae
Enterovirus.nasal,2.1108179419525066,15,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,25.396825396825395,15,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,5.361930294906166,15,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,15,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,15,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,15,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.5277044854881267,15,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.9852216748768473,15,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,1.5873015873015872,15,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.6939313984168867,15,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,17.48768472906404,15,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,84.12698412698413,15,ea,SARS-CoV-2
SARS-CoV-2.nasal,90.50131926121372,15,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,15,pbmc,SARS-CoV-2
Anelloviridae.ea,1.5873015873015872,16,ea,Anelloviridae
Anelloviridae.nasal,1.4450867052023122,16,nasal,Anelloviridae
Anelloviridae.pbmc,13.421052631578947,16,pbmc,Anelloviridae
Enterovirus.nasal,1.4450867052023122,16,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,26.984126984126984,16,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,5.813953488372093,16,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,16,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0.5780346820809248,16,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,16,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.8670520231213872,16,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.7894736842105263,16,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,1.5873015873015872,16,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.1791907514450863,16,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,16.315789473684212,16,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,85.71428571428571,16,ea,SARS-CoV-2
SARS-CoV-2.nasal,88.4393063583815,16,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,16,pbmc,SARS-CoV-2
Anelloviridae.ea,0,17,ea,Anelloviridae
Anelloviridae.nasal,1.5772870662460567,17,nasal,Anelloviridae
Anelloviridae.pbmc,13.94658753709199,17,pbmc,Anelloviridae
Enterovirus.nasal,1.8927444794952681,17,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,31.147540983606557,17,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,6.070287539936102,17,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,17,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0.6309148264984227,17,nasal,Human alphaherpesvirus 2 (HSV2)
