Rows,name,value
HSV1.nasal,SARS-CoV-2.nasal,94.11764705882352
HSV1.nasal,SARS-CoV-2.pbmc,1.9607843137254901
HSV2.ea,Anelloviridae.ea,0
HSV2.ea,Anelloviridae.nasal,0
HSV2.ea,Anelloviridae.pbmc,0
HSV2.ea,CMV.ea,0
HSV2.ea,CMV.nasal,0
HSV2.ea,CMV.pbmc,0
HSV2.ea,EBV.ea,0
HSV2.ea,EBV.nasal,0
HSV2.ea,EBV.pbmc,0
HSV2.ea,Enterovirus.nasal,0
HSV2.ea,Enterovirus.pbmc,0
HSV2.ea,HSV1.ea,0
HSV2.ea,HSV1.nasal,0
HSV2.ea,HSV2.nasal,0
HSV2.ea,SARS-CoV-2.ea,0
HSV2.ea,SARS-CoV-2.nasal,0
HSV2.ea,SARS-CoV-2.pbmc,0
HSV2.nasal,Anelloviridae.ea,0
HSV2.nasal,Anelloviridae.nasal,0
HSV2.nasal,Anelloviridae.pbmc,50
HSV2.nasal,CMV.ea,0
HSV2.nasal,CMV.nasal,25
HSV2.nasal,CMV.pbmc,50
HSV2.nasal,EBV.ea,0
HSV2.nasal,EBV.nasal,0
HSV2.nasal,EBV.pbmc,50
HSV2.nasal,Enterovirus.nasal,0
HSV2.nasal,Enterovirus.pbmc,0
HSV2.nasal,HSV1.ea,0
HSV2.nasal,HSV1.nasal,0
HSV2.nasal,HSV2.nasal,100
HSV2.nasal,SARS-CoV-2.ea,0
HSV2.nasal,SARS-CoV-2.nasal,100
HSV2.nasal,SARS-CoV-2.pbmc,0
SARS-CoV-2.ea,Anelloviridae.ea,5.333333333333334
SARS-CoV-2.ea,Anelloviridae.nasal,6
SARS-CoV-2.ea,Anelloviridae.pbmc,33.33333333333333
SARS-CoV-2.ea,CMV.ea,6.666666666666667
SARS-CoV-2.ea,CMV.nasal,8.666666666666668
SARS-CoV-2.ea,CMV.pbmc,12.666666666666668
SARS-CoV-2.ea,EBV.ea,7.333333333333333
SARS-CoV-2.ea,EBV.nasal,20
SARS-CoV-2.ea,EBV.pbmc,46
SARS-CoV-2.ea,Enterovirus.nasal,4.666666666666667
SARS-CoV-2.ea,Enterovirus.pbmc,0
SARS-CoV-2.ea,HSV1.ea,43.333333333333336
SARS-CoV-2.ea,HSV1.nasal,26.666666666666668
SARS-CoV-2.ea,HSV2.nasal,0
SARS-CoV-2.ea,SARS-CoV-2.ea,100
SARS-CoV-2.ea,SARS-CoV-2.nasal,90
SARS-CoV-2.ea,SARS-CoV-2.pbmc,3.3333333333333335
SARS-CoV-2.nasal,Anelloviridae.ea,0.8040201005025126
SARS-CoV-2.nasal,Anelloviridae.nasal,3.4170854271356785
SARS-CoV-2.nasal,Anelloviridae.pbmc,16.381909547738694
SARS-CoV-2.nasal,CMV.ea,1.0050251256281406
SARS-CoV-2.nasal,CMV.nasal,2.21105527638191
SARS-CoV-2.nasal,CMV.pbmc,3.618090452261306
SARS-CoV-2.nasal,EBV.ea,1.0050251256281406
SARS-CoV-2.nasal,EBV.nasal,7.738693467336684
SARS-CoV-2.nasal,EBV.pbmc,26.733668341708544
SARS-CoV-2.nasal,Enterovirus.nasal,4.824120603015075
SARS-CoV-2.nasal,Enterovirus.pbmc,0
SARS-CoV-2.nasal,HSV1.ea,6.331658291457286
SARS-CoV-2.nasal,HSV1.nasal,9.64824120603015
SARS-CoV-2.nasal,HSV2.nasal,0.4020100502512563
SARS-CoV-2.nasal,SARS-CoV-2.ea,13.5678391959799
SARS-CoV-2.nasal,SARS-CoV-2.nasal,100
SARS-CoV-2.nasal,SARS-CoV-2.pbmc,0.8040201005025126
SARS-CoV-2.pbmc,Anelloviridae.ea,0
SARS-CoV-2.pbmc,Anelloviridae.nasal,0
SARS-CoV-2.pbmc,Anelloviridae.pbmc,30
