"","name","percent","day","compartment","virus"
"212","Human alphaherpesvirus 2 (HSV2).nasal",5.63380281690141,24,"nasal","Human alphaherpesvirus 2 (HSV2)"
"213","Human betaherpesvirus 5 (CMV).nasal",8.45070422535211,24,"nasal","Human betaherpesvirus 5 (CMV)"
"214","Human betaherpesvirus 5 (CMV).pbmc",6.74157303370786,24,"pbmc","Human betaherpesvirus 5 (CMV)"
"215","Human gammaherpesvirus 4 (EBV).nasal",5.63380281690141,24,"nasal","Human gammaherpesvirus 4 (EBV)"
"216","Human gammaherpesvirus 4 (EBV).pbmc",6.74157303370786,24,"pbmc","Human gammaherpesvirus 4 (EBV)"
"217","Anelloviridae.nasal",4.10958904109589,25,"nasal","Anelloviridae"
"218","Anelloviridae.pbmc",9.87654320987654,25,"pbmc","Anelloviridae"
"219","Enterovirus.nasal",1.36986301369863,25,"nasal","Enterovirus"
"220","Human alphaherpesvirus 1 (HSV1).nasal",13.6986301369863,25,"nasal","Human alphaherpesvirus 1 (HSV1)"
"221","Human alphaherpesvirus 2 (HSV2).nasal",4.10958904109589,25,"nasal","Human alphaherpesvirus 2 (HSV2)"
"222","Human betaherpesvirus 5 (CMV).nasal",8.21917808219178,25,"nasal","Human betaherpesvirus 5 (CMV)"
"223","Human betaherpesvirus 5 (CMV).pbmc",9.87654320987654,25,"pbmc","Human betaherpesvirus 5 (CMV)"
"224","Human gammaherpesvirus 4 (EBV).nasal",5.47945205479452,25,"nasal","Human gammaherpesvirus 4 (EBV)"
"225","Human gammaherpesvirus 4 (EBV).pbmc",3.7037037037037,25,"pbmc","Human gammaherpesvirus 4 (EBV)"
"226","Anelloviridae.nasal",2.97029702970297,26,"nasal","Anelloviridae"
"227","Anelloviridae.pbmc",8,26,"pbmc","Anelloviridae"
"228","Enterovirus.nasal",0.99009900990099,26,"nasal","Enterovirus"
"229","Human alphaherpesvirus 1 (HSV1).nasal",8.91089108910891,26,"nasal","Human alphaherpesvirus 1 (HSV1)"
"230","Human alphaherpesvirus 2 (HSV2).nasal",1.98019801980198,26,"nasal","Human alphaherpesvirus 2 (HSV2)"
"231","Human betaherpesvirus 5 (CMV).nasal",2.97029702970297,26,"nasal","Human betaherpesvirus 5 (CMV)"
"232","Human betaherpesvirus 5 (CMV).pbmc",7,26,"pbmc","Human betaherpesvirus 5 (CMV)"
"233","Human gammaherpesvirus 4 (EBV).nasal",3.96039603960396,26,"nasal","Human gammaherpesvirus 4 (EBV)"
"234","Human gammaherpesvirus 4 (EBV).pbmc",7,26,"pbmc","Human gammaherpesvirus 4 (EBV)"
"235","Anelloviridae.nasal",2.32558139534884,27,"nasal","Anelloviridae"
"236","Anelloviridae.pbmc",7.46268656716418,27,"pbmc","Anelloviridae"
"237","Enterovirus.nasal",1.55038759689922,27,"nasal","Enterovirus"
"238","Human alphaherpesvirus 1 (HSV1).nasal",7.75193798449612,27,"nasal","Human alphaherpesvirus 1 (HSV1)"
"239","Human alphaherpesvirus 2 (HSV2).nasal",1.55038759689922,27,"nasal","Human alphaherpesvirus 2 (HSV2)"
"240","Human betaherpesvirus 5 (CMV).nasal",2.32558139534884,27,"nasal","Human betaherpesvirus 5 (CMV)"
"241","Human betaherpesvirus 5 (CMV).pbmc",5.97014925373134,27,"pbmc","Human betaherpesvirus 5 (CMV)"
"242","Human gammaherpesvirus 4 (EBV).nasal",3.10077519379845,27,"nasal","Human gammaherpesvirus 4 (EBV)"
"243","Human gammaherpesvirus 4 (EBV).pbmc",6.71641791044776,27,"pbmc","Human gammaherpesvirus 4 (EBV)"
"244","Anelloviridae.nasal",1.14285714285714,28,"nasal","Anelloviridae"
"245","Anelloviridae.pbmc",7.02702702702703,28,"pbmc","Anelloviridae"
"246","Enterovirus.nasal",1.14285714285714,28,"nasal","Enterovirus"
"247","Human alphaherpesvirus 1 (HSV1).nasal",6.28571428571429,28,"nasal","Human alphaherpesvirus 1 (HSV1)"
"248","Human alphaherpesvirus 2 (HSV2).nasal",1.14285714285714,28,"nasal","Human alphaherpesvirus 2 (HSV2)"
"249","Human betaherpesvirus 5 (CMV).nasal",2.85714285714286,28,"nasal","Human betaherpesvirus 5 (CMV)"
"250","Human betaherpesvirus 5 (CMV).pbmc",5.94594594594595,28,"pbmc","Human betaherpesvirus 5 (CMV)"
"251","Human gammaherpesvirus 4 (EBV).nasal",4,28,"nasal","Human gammaherpesvirus 4 (EBV)"
"252","Human gammaherpesvirus 4 (EBV).pbmc",7.56756756756757,28,"pbmc","Human gammaherpesvirus 4 (EBV)"
"253","Anelloviridae.nasal",0.518134715025907,29,"nasal","Anelloviridae"
"254","Anelloviridae.pbmc",6.18556701030928,29,"pbmc","Anelloviridae"
"255","Enterovirus.nasal",1.03626943005181,29,"nasal","Enterovirus"
"256","Human alphaherpesvirus 1 (HSV1).nasal",7.25388601036269,29,"nasal","Human alphaherpesvirus 1 (HSV1)"
