tissue,trajectory_group,count,freq,day
pbmc,1,3,3.3707865168539324,24
pbmc,2,3,3.3707865168539324,24
pbmc,3,15,16.853932584269664,24
pbmc,4,60,67.41573033707866,24
pbmc,5,8,8.98876404494382,24
pbmc,1,9,11.11111111111111,25
pbmc,2,9,11.11111111111111,25
pbmc,3,13,16.049382716049383,25
pbmc,4,44,54.32098765432099,25
pbmc,5,6,7.4074074074074066,25
pbmc,1,18,18,26
pbmc,2,18,18,26
pbmc,3,21,21,26
pbmc,4,40,40,26
pbmc,5,3,3,26
pbmc,1,28,20.8955223880597,27
pbmc,2,27,20.149253731343283,27
pbmc,3,30,22.388059701492537,27
pbmc,4,48,35.82089552238806,27
pbmc,5,1,0.7462686567164178,27
pbmc,1,42,22.702702702702705,28
pbmc,2,40,21.62162162162162,28
pbmc,3,41,22.162162162162165,28
pbmc,4,61,32.972972972972975,28
pbmc,5,1,0.5405405405405406,28
pbmc,1,43,22.164948453608247,29
pbmc,2,43,22.164948453608247,29
pbmc,3,45,23.195876288659793,29
pbmc,4,62,31.958762886597935,29
pbmc,5,1,0.5154639175257731,29
pbmc,1,39,21.428571428571427,30
pbmc,2,41,22.52747252747253,30
pbmc,3,44,24.175824175824175,30
pbmc,4,57,31.318681318681318,30
pbmc,5,1,0.5494505494505495,30
pbmc,1,35,24.305555555555554,31
pbmc,2,33,22.916666666666664,31
pbmc,3,35,24.305555555555554,31
pbmc,4,41,28.47222222222222,31
pbmc,1,25,24.03846153846154,32
pbmc,2,24,23.076923076923077,32
pbmc,3,29,27.884615384615387,32
pbmc,4,26,25,32
pbmc,1,15,26.31578947368421,33
pbmc,2,12,21.052631578947366,33
pbmc,3,21,36.84210526315789,33
pbmc,4,9,15.789473684210526,33
pbmc,1,18,38.297872340425535,34
pbmc,2,12,25.53191489361702,34
pbmc,3,15,31.914893617021278,34
pbmc,4,2,4.25531914893617,34
pbmc,1,18,41.86046511627907,35
pbmc,2,8,18.6046511627907,35
pbmc,3,14,32.55813953488372,35
pbmc,4,3,6.976744186046512,35
pbmc,1,13,36.11111111111111,36
pbmc,2,6,16.666666666666664,36
pbmc,3,14,38.88888888888889,36
pbmc,4,3,8.333333333333332,36
pbmc,1,12,38.70967741935484,37
pbmc,2,6,19.35483870967742,37
pbmc,3,10,32.25806451612903,37
pbmc,4,3,9.67741935483871,37
pbmc,1,9,36,38
pbmc,2,4,16,38
pbmc,3,8,32,38
pbmc,4,4,16,38
pbmc,1,5,27.77777777777778,39
pbmc,2,1,5.555555555555555,39
pbmc,3,8,44.44444444444444,39
pbmc,4,4,22.22222222222222,39
pbmc,1,2,18.181818181818183,40
pbmc,3,7,63.63636363636363,40
pbmc,4,2,18.181818181818183,40
