"","Anelloviridae.pbmc","HSV1.nasal","CMV.pbmc","EBV.nasal","EBV.pbmc"
"cis-4-decenoylcarnitine (C10:1)",0,0,2.42694823339393,0,0
"linoleoylcarnitine (C18:2)*",0,0,3.12627397703893,0,0
"2-aminooctanoate",0,0,-3.75204087316262,0,0
"2-piperidinone",0,0,-2.52076260505912,0,0
"N-delta-acetylornithine",0,0,-15.698970004336,0,0
"2-aminoheptanoate",0,0,-3.43860704116167,0,0
"C-glycosyltryptophan",0,0,2.44295525137672,0,0
"linoleoyl ethanolamide",0,0,2.14137977655283,0,0
"1,2-dilinoleoyl-GPC (18:2/18:2)",0,0,-2.11424360116748,0,0
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)",0,0,-2.52182549238129,0,0
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0,0,-2.20299751548697,0,0
"oleate/vaccenate (18:1)",0,0,2.74055081294975,0,0
"1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*",0,0,-3.31308092428976,0,0
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0,0,-2.44019302311381,0,0
"glycochenodeoxycholate glucuronide (1)",0,0,2.33447122895411,0,0
"palmitoleoylcarnitine (C16:1)*",0,0,2.26604786080051,0,0
"sphingomyelin (d18:1/19:0, d19:1/18:0)*",0,0,-3.69012535311581,0,0
"sphingomyelin (d18:2/21:0, d16:2/23:0)*",0,0,-2.15862963696243,0,0
"sphingomyelin (d17:2/16:0, d18:2/15:0)*",0,0,-2.66588493313102,0,0
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",0,0,-2.19030615909285,0,0
"glucuronide of C10H18O2 (1)*",0,0,-2.86706418305942,0,0
"N-acetyl-2-aminooctanoate*",0,0,-2.62972284695506,0,0
"N,N,N-trimethyl-alanylproline betaine (TMAP)",0,0,3.85271198788867,0,0
"sulfate of piperine metabolite C16H19NO3 (3)*",0,0,-2.06074900974714,0,-2.06063125814559
"hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**",0,0,-2.08074361717012,0,0
