...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-67837836,R-HSA-6783783,Interleukin-10 signaling,29/1233,40/8368,2.54084517920033e-16,2.86653533398874e-14,2.45088223984109e-14,7133/7132/2920/3383/7076/1440/6347/3587/3552/6364/7850/941/729230/3553/3976/3569/3557/1234/2919/1230/3627/5724/3576/2357/1435/7124/6351/6349/6348,29,up,Reactome,HSV1.nasal,FALSE,1,13.54264270057978,13.54264270057978
R-HSA-5007926,R-HSA-500792,GPCR ligand binding,73/1233,204/8368,3.39699294546919e-14,2.63479265332954e-12,2.25274269015326e-12,9170/1906/2920/5744/64748/6354/6347/3274/6364/1889/8111/9034/729230/7852/976/2914/6372/5732/4987/8698/2867/1236/1907/30817/79924/135/27202/57007/9718/133/8324/1234/58191/60675/3577/2921/6374/5473/2919/1230/3627/6373/5724/3576/1901/2358/2357/5734/5031/719/2783/1240/2015/9934/151306/6752/53637/3579/53829/338442/29933/2865/54331/2833/27198/728/56670/3640/8843/6351/6349/6348/6753,73,up,Reactome,HSV1.nasal,FALSE,1,11.579253556185014,11.579253556185014
R-HSA-3801086,R-HSA-380108,Chemokine receptors bind chemokines,26/1233,38/8368,8.504124370803391e-14,5.863121302315e-12,5.012957523842e-12,2920/6354/6347/6364/9034/729230/7852/6372/1236/57007/1234/58191/3577/2921/6374/5473/2919/1230/3627/6373/3576/3579/2833/6351/6349/6348,26,up,Reactome,HSV1.nasal,FALSE,1,11.231871120589025,11.231871120589025
R-HSA-1095826,R-HSA-109582,Hemostasis,127/1233,474/8368,1.45171237667037e-12,6.434196640885479e-11,5.5012258484351004e-11,2268/3683/5329/30846/960/3937/2769/10235/87/10335/60/6813/54518/3797/5027/5155/7076/8140/1445/5327/7040/5054/5023/5216/1277/10938/6404/5777/7422/6678/2771/2335/5341/965/23046/962/6543/10672/51744/5328/5552/4778/1088/2162/54210/3659/7277/5880/9732/2161/3021/1794/5025/64780/2995/7094/7057/3687/409/23533/9123/1893/388/10184/3779/139818/9046/710/83706/51571/9056/2207/3689/80228/10603/3678/10630/5473/5580/1278/6850/5579/90990/5345/6520/3635/3684/1084/2783/4973/8793/84617/391/2885/7056/161882/6546/2621/653604/23764/146909/54331/6402/12/2316/4097/8356/5265/5154/1675/5336/140885/54863/7975/57126/5004/4282/4067/3690/8355/8353/8354/8350/84876/146850/8968/8357,127,up,Reactome,HSV1.nasal,FALSE,1,10.191505670392942,10.191505670392942
R-HSA-96581956,R-HSA-9658195,Leishmania infection,57/1233,170/8368,4.35133058552491e-10,1.20000027925254e-8,1.02599794858693e-8,2268/695/7454/1535/60/4791/5744/5027/4650/2687/2678/3055/4210/29108/4790/3274/2771/3552/7456/113/5732/3553/79924/135/79651/10095/5025/3569/834/109/53831/9051/5045/2212/133/2209/8324/9844/114548/6850/64174/2850/5734/719/2783/5970/9332/3725/2885/151306/54331/5336/919/2214/10093/3640/4067,57,up,Reactome,HSV1.nasal,FALSE,1,7.920818652887522,7.920818652887522
R-HSA-9097335,R-HSA-909733,Interferon alpha/beta signaling,28/1233,56/8368,4.55224707473797e-10,1.22811709124996e-8,1.05003776918441e-8,3430/4940/5777/3437/3433/1958/3659/3663/684/91543/8638/3662/3394/10410/24138/2634/3669/4600/9021/10581/8651/3665/3434/8519/9636/3133/3135/3134,28,up,Reactome,HSV1.nasal,FALSE,1,7.910760224677353,7.910760224677353
R-HSA-4519275,R-HSA-451927,Interleukin-2 family signaling,20/1233,36/8368,1.38208678314592e-8,3.11849035978924e-7,2.66630330604992e-7,9846/1439/3560/50615/3718/5777/2185/6776/3559/3601/84868/6775/3561/6850/3635/5293/6777/2885/3563/1438,20,up,Reactome,HSV1.nasal,FALSE,1,6.506055594148302,6.506055594148302
R-HSA-3727906,R-HSA-372790,Signaling by GPCR,111/1233,473/8368,1.43059512176848e-7,2.68995234259801e-6,2.29990411920675e-6,84254/695/2769/9170/10235/9138/1906/2920/5744/64857/64748/6354/6347/10645/1839/3274/2771/6364/9181/1889/8111/10672/113/9034/729230/7852/976/57580/2914/6372/5732/4987/8698/2867/1236/89846/1907/30817/79924/135/27202/109/53831/409/23533/6004/388/57007/9718/221472/6001/133/4314/8324/26086/1234/58191/60675/3577/2921/6374/5473/2919/151056/1230/5580/5579/10636/3627/6373/5724/3576/2850/1901/2358/2357/5734/5031/10287/719/2783/156/1240/2015/9934/2885/151306/6752/53637/3579/53829/338442/29933/5142/2865/54331/2833/390036/27198/728/2870/56670/63940/3640/8843/6351/9560/6349/146850/6348/6753,111,up,Reactome,HSV1.nasal,FALSE,1,5.570255414246682,5.570255414246682
R-HSA-8773006,R-HSA-877300,Interferon gamma signaling,30/1233,80/8368,4.05676495203598e-7,7.09076803588261e-6,6.06259313810566e-6,960/3383/4940/5777/2633/7706/4502/3659/3663/6737/85363/8638/3662/5371/3394/4684/2209/115362/3460/2634/115361/5580/5724/9021/8651/3665/3133/3135/3134/10437,30,up,Reactome,HSV1.nasal,FALSE,1,5.1493067217025965,5.1493067217025965
R-HSA-760026,R-HSA-76002,"Platelet activation, signaling and aggregation",58/1233,214/8368,1.45757803680122e-6,2.34916148528611e-5,2.00852858659689e-5,3937/2769/10235/87/6813/54518/5155/7076/1445/7040/5054/5216/1277/5777/7422/6678/2771/2335/5341/10672/5552/2162/7277/5880/7094/7057/409/23533/1893/388/10184/710/83706/51571/2207/10630/5473/5580/1278/6850/5579/5345/2783/391/2885/2621/54331/12/2316/5265/5154/1675/5336/54863/5004/4067/3690/146850,58,up,Reactome,HSV1.nasal,FALSE,1,4.629087128067813,4.629087128067813
R-HSA-9135316,R-HSA-913531,Interferon Signaling,49/1233,174/8368,2.94343107074975e-6,4.50962710963017e-5,3.85572257221019e-5,960/3430/3383/23586/4940/5777/2633/3437/3433/1958/7706/4502/3659/3663/684/6737/85363/91543/8638/3662/51191/5371/3394/9775/10410/4684/2209/24138/115362/9246/3460/2634/115361/5580/5724/3669/4600/9021/10581/8651/3665/3434/8519/9636/2316/3133/3135/3134/10437,49,up,Reactome,HSV1.nasal,FALSE,1,4.345859367418088,4.345859367418088
R-HSA-68055675,R-HSA-6805567,Keratinization,20/1233,67/8368,0.00114371613008448,0.00907336654017347,0.00775771107552895,7051/5266/3872/1824/5045/2312/84648/6703/26085/6699/196374/286887/43849/3868/3861/643418/1041/3853/6700/6705,20,up,Reactome,HSV1.nasal,FALSE,1,2.042231544412114,2.042231544412114
R-HSA-68093715,R-HSA-6809371,Formation of the cornified envelope,20/1233,67/8368,0.00114371613008448,0.00907336654017347,0.00775771107552895,7051/5266/3872/1824/5045/2312/84648/6703/26085/6699/196374/286887/43849/3868/3861/643418/1041/3853/6700/6705,20,up,Reactome,HSV1.nasal,FALSE,1,2.042231544412114,2.042231544412114
