"","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","virus","knock_in"
"87494","ENSG00000015532",0.000927440207517762,4.40887673537982,0.00953968246608502,0.992389517760334,0.994374296795855,-6.53496737446241,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87495","ENSG00000015676",-0.115184813812964,5.68583615599659,-2.19789077380943,0.0280730843477996,0.0616759747731683,-4.27789965193063,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87496","ENSG00000016082",-0.455787862898603,1.76538253579491,-3.96140144445062,7.71677907028859e-05,0.000640645503243043,1.31799319215324,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87497","ENSG00000016391",-0.276811813719009,2.86828673135076,-3.09672268615746,0.00198435334823213,0.00767998662665548,-1.67432454282434,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87498","ENSG00000016402",-0.259871632071562,4.73614775540656,-2.48371016569726,0.0130849002863781,0.0335884304347682,-3.49857546242225,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87499","ENSG00000016602",0.0912415636922753,5.43028101833766,0.685067519341294,0.493382056828354,0.594439663625438,-6.41729584889469,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87500","ENSG00000016864",-0.156293103569626,5.33000677366793,-1.84591823256358,0.0650542968908109,0.120727280562855,-4.91560519532752,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87501","ENSG00000017260",-0.123943164377113,6.63231351890362,-2.57467566156976,0.0101059505462276,0.0274601375511766,-3.43614610734274,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87502","ENSG00000017427",-0.468113038300393,1.80096342190452,-4.14682237306753,3.51456908785907e-05,0.000352402859058001,2.01378963183884,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87503","ENSG00000017483",0.451668776223272,0.211371714034236,3.84554533617708,0.000124112686013271,0.000924734982095803,0.903613374559399,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87504","ENSG00000017797",0.0200182410145283,6.36921986162657,0.497464016159528,0.61891749072142,0.704390283128868,-6.56724160984609,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87505","ENSG00000018189",-0.209396194208028,5.1906737575265,-3.64372516339168,0.000275687375858025,0.0016963921260169,-0.142550752759922,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87506","ENSG00000018236",-0.0514170275112585,-0.728276139111343,-0.413235249492146,0.679479320758791,0.755271597529223,-5.98007440317464,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87507","ENSG00000018280",0.801931378059895,5.81911534206078,3.53045373985828,0.000424393930109597,0.0023595302462707,-0.567591263244452,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87508","ENSG00000018408",-0.271112297616299,5.61085190538041,-4.08400862335186,4.60399752277642e-05,0.000432954563161285,1.5129181181003,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87509","ENSG00000018510",-0.0849509692033377,5.28673698133968,-1.41246692988812,0.157970758949293,0.243373617710758,-5.66864298260545,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87510","ENSG00000018610",-0.0662262763447063,3.71985004086233,-1.2750770425014,0.202432600406267,0.295949210233714,-5.63167834244646,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87511","ENSG00000018699",-0.167705008979983,3.78013854397264,-2.12910875851664,0.033369199523496,0.0709010090489724,-4.24226949405647,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87512","ENSG00000018869",0.0260268921687086,0.71186050069611,0.282352847737154,0.777702680811951,0.835125073874119,-6.07742264159577,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87513","ENSG00000019102",-0.262669913078924,6.07100885633667,-2.59377442109008,0.0095633363810206,0.0262806344391618,-3.27774603890608,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87514","ENSG00000019144",0.197016468995535,2.00333313565429,2.12887173557493,0.0333888361287815,0.0709323585487741,-4.13727203753147,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87515","ENSG00000019169",0.983683447186635,-0.611899793479994,5.41791937329622,6.76976073997424e-08,3.74669989085061e-06,7.7474649577204,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87516","ENSG00000019186",0.263021699905261,2.50536410944012,1.97203936319459,0.0487450551908295,0.0961206442545552,-4.45095943946604,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87517","ENSG00000019485",-0.208107973018589,2.45929980074584,-2.72904661471379,0.00640834223259945,0.0192648053584601,-2.76135975529347,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87518","ENSG00000019549",0.192834092084155,0.507619861584486,1.22970054337141,0.218956367756627,0.31531539965666,-5.39833218922518,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87519","ENSG00000019582",0.0514748789896309,9.63114266924102,0.601145500797656,0.547812366297028,0.643424888434075,-6.4794341573134,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87520","ENSG00000019991",0.0877047551795421,0.489717103373807,0.675546296789191,0.499408178093509,0.600345152266963,-5.90459020821473,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87521","ENSG00000019995",-0.0456266050701784,4.97461195985381,-0.901558821507532,0.36740168063731,0.472685787534449,-6.25842020487178,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87522","ENSG00000020129",0.119560053379578,3.85793713134301,1.35665975891566,0.17504506594139,0.2642316636948,-5.606334281682,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87523","ENSG00000020256",-0.121323422221729,3.52248091835251,-1.64056625553252,0.101047413609372,0.170751090059383,-5.10761860158157,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87524","ENSG00000020426",-0.222323033454289,4.48620187706962,-3.17129548725813,0.00154100096315892,0.0063121519576363,-1.59793064406785,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87525","ENSG00000020577",-0.0737933431362999,3.32786026091335,-0.907033857536011,0.364500025481562,0.469612562757968,-6.09583739028581,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87526","ENSG00000020633",0.344610247058268,3.45793116950966,3.26548855955799,0.00111153162171597,0.00488784592370196,-1.26173154614709,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87527","ENSG00000020922",-0.226676615984123,4.8969072895764,-4.54445965759694,5.84224469962616e-06,9.47343451348978e-05,3.47393833806436,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87528","ENSG00000021300",-0.0932418665547914,4.32197358768019,-0.507080976576615,0.612154859819455,0.698774195342305,-6.35756821008963,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87529","ENSG00000021355",0.264078335745628,7.83855941561365,3.29612005349236,0.000997741975556637,0.00450486201617799,-1.35568952515407,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87530","ENSG00000021488",-0.0903011834567004,-0.894455297855616,-1.02381055520908,0.306050691869635,0.409750322721519,-5.55927665421691,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87531","ENSG00000021574",0.0816701052211192,4.85062091032721,1.60953373308965,0.107660193510891,0.179751201048005,-5.36012453379547,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87532","ENSG00000021645",-0.145977416836142,0.857907446863032,-1.18870674976865,0.234698613628977,0.33287154992341,-5.46341493616491,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87533","ENSG00000021762",0.0135136629282962,3.99857797382918,0.154270882748036,0.877411985452184,0.913546679755083,-6.51712573329975,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87534","ENSG00000021776",-0.178100035372079,6.11496798942826,-4.29398535591008,1.84037049693687e-05,0.000215809063357512,2.35199467549963,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87535","ENSG00000021826",-0.0842332562358887,-0.599983643107425,-0.810192595134694,0.417927525544061,0.523228696133534,-5.76036249781485,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87536","ENSG00000022267",-0.100811059226279,0.653989123650281,-0.865841327987681,0.386682804374074,0.492126354655827,-5.75865508293922,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87537","ENSG00000022277",0.187551892030541,5.76018620934016,2.83562469090651,0.0046204005290033,0.0148813565253578,-2.69370487868623,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87538","ENSG00000022556",0.152056630701691,1.30250631751306,1.11759000539449,0.26387865937723,0.364792167433731,-5.59291380041597,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87539","ENSG00000022567",0.32459728191292,5.73449519879759,4.30109225237184,1.78285179534985e-05,0.000210000130282223,2.38118832754748,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87540","ENSG00000022840",-0.00241214222608437,7.81762627564552,-0.0634516399398207,0.949413316239795,0.965157155866778,-6.69470432248955,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87541","ENSG00000022976",-0.0931408018364507,3.4515755002381,-1.78441941756316,0.0745096690947127,0.134212316838851,-4.90483907119454,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87542","ENSG00000023041",0.0135744017908778,5.28041407007082,0.315299915146246,0.752567404950217,0.815669662552906,-6.56459979993495,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87543","ENSG00000023171",0.0111611089152237,4.763082185505,0.169859211316582,0.865138331797869,0.904428435244076,-6.62643128416086,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
