"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dir","database","virus","knock_in"
"R-HSA-453279","R-HSA-453279","Mitotic G1 phase and G1/S transition","27/487","149/8020",2.33996934920672e-07,1.86398124745182e-05,1.72663526079747e-05,"55388/4171/4998/23594/8318/990/5427/4605/1869/4173/898/7153/1875/891/91768/207/890/993/7465/81620/7083/983/6241/9134/7298/5426/1719",27,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69206","R-HSA-69206","G1/S Transition","25/487","131/8020",2.35450262836019e-07,1.86398124745182e-05,1.72663526079747e-05,"55388/4171/4998/23594/8318/990/5427/1869/4173/898/1875/891/91768/207/890/993/7465/81620/7083/983/6241/9134/7298/5426/1719",25,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-141424","R-HSA-141424","Amplification of signal from the kinetochores","20/487","93/8020",5.26367954236102e-07,3.57178254660212e-05,3.30859856948407e-05,"332/79019/2491/1058/991/1063/11130/55143/57082/11004/83540/57405/220134/701/1780/147841/5347/699/9212/55920",20,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-141444","R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","20/487","93/8020",5.26367954236102e-07,3.57178254660212e-05,3.30859856948407e-05,"332/79019/2491/1058/991/1063/11130/55143/57082/11004/83540/57405/220134/701/1780/147841/5347/699/9212/55920",20,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","13/487","42/8020",6.524392975965e-07,4.1321155514445e-05,3.8276438792328e-05,"3674/1286/3693/6678/3911/3915/351/3339/3680/1293/7148/1285/3690",13,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-5663220","R-HSA-5663220","RHO GTPases Activate Formins","24/487","130/8020",7.76276693872592e-07,4.60914286986851e-05,4.26952181629926e-05,"332/79019/81027/2491/6722/1058/991/1063/11130/55143/57082/81624/11004/83540/57405/220134/701/1780/1857/147841/5347/699/9212/55920",24,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69273","R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition","10/487","25/8020",8.87958367766307e-07,4.96212029045878e-05,4.59649037431971e-05,"2305/9088/891/890/9133/995/993/7465/5347/983",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","19/487","88/8020",9.51033470303884e-07,5.01934331549272e-05,4.6494969659301e-05,"91522/1308/1286/1511/4318/4324/4317/1300/3911/3915/11131/5045/3339/80274/1293/5654/2200/1285/1991",19,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-9648025","R-HSA-9648025","EML4 and NUDC in mitotic spindle formation","21/487","108/8020",1.59311626378218e-06,7.96558131891088e-05,7.37864374804377e-05,"332/79019/81027/2491/1058/991/1063/11130/55143/57082/11004/83540/57405/220134/701/1780/147841/5347/699/9212/55920",21,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","10/487","27/8020",2.0517329244562e-06,9.74573139116693e-05,9.02762486760726e-05,"990/4605/1869/898/7153/1875/890/993/983/9134",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69618","R-HSA-69618","Mitotic Spindle Checkpoint","21/487","110/8020",2.17600452915173e-06,9.75618489998386e-05,9.03730811787979e-05,"332/79019/2491/1058/991/1063/11130/55143/57082/11004/83540/57405/220134/701/1780/147841/5347/699/11065/9212/55920",21,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors","38/487","281/8020",2.25932702946995e-06,9.75618489998386e-05,9.03730811787979e-05,"10787/2017/332/79019/81027/10398/2491/6722/1058/991/1063/9928/11130/11113/7533/10810/55143/57082/81624/11004/83540/57405/220134/701/995/1780/1857/147841/5579/5347/699/9212/55920/128239/5600/3014/2316/8355",38,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","29/487","194/8020",5.19054087226952e-06,0.000214391905593741,0.000198594607286834,"5577/332/79019/81027/2491/64151/1058/991/4751/1063/23397/11130/891/55143/57082/11004/83540/113130/57405/220134/701/9133/1780/147841/5347/699/983/9212/55920",29,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-194315","R-HSA-194315","Signaling by Rho GTPases","47/487","395/8020",5.49823817374569e-06,0.000217638594377434,0.000201602066370675,"55789/395/7984/10787/9886/2017/332/79019/81027/10398/2491/9828/6722/1058/991/1063/9928/11130/11113/7533/10810/55143/57082/81624/11004/83540/57405/220134/701/995/1780/1857/147841/10395/143872/5579/5347/699/9212/55920/128239/5600/613/3014/2316/8355/57636",47,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","16/487","75/8020",8.10932445448185e-06,0.00030815432927031,0.000285448220797761,"3479/4052/10272/1511/54757/7466/3485/10117/3915/10970/351/11167/2200/7184/255738/2621",16,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-140877","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","9/487","26/8020",1.28454682187014e-05,0.00046015930737782,0.000426252832097349,"7450/5270/5196/2815/2814/5627/2811/5657/57126",9,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","11/487","39/8020",1.30782118938959e-05,0.00046015930737782,0.000426252832097349,"91522/1308/1286/4318/4324/4317/1300/5045/1293/1285/1991",11,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-68962","R-HSA-68962","Activation of the pre-replicative complex","10/487","33/8020",1.61636619622893e-05,0.000548409959434814,0.000508000804529091,"55388/4171/4998/23594/8318/990/5427/4173/81620/5426",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-983231","R-HSA-983231","Factors involved in megakaryocyte development and platelet production","21/487","126/8020",1.99359476426667e-05,0.000653074146914943,0.000604952893984368,"5577/30845/30846/24137/81027/2623/10112/4602/91768/9493/3832/11004/10603/56992/7465/90990/161882/146909/3046/3833/8355",21,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6791312","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","11/487","47/8020",8.72495435494335e-05,0.00276290221239873,0.00255931994411672,"6790/1869/898/79733/891/10498/890/995/144455/983/9134",11,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6804116","R-HSA-6804116","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest","6/487","14/8020",9.59964772463301e-05,0.00294182752851657,0.00272506128957324,"1869/898/79733/890/144455/9134",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69242","R-HSA-69242","S Phase","23/487","161/8020",0.000100793045494948,0.00299229353813126,0.00277180875111106,"4171/4998/23594/8318/990/5427/9837/1869/4173/898/51659/1875/91768/207/890/113130/993/7465/81620/157570/11065/9134/5426",23,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1650814","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","10/487","41/8020",0.000126064381977325,0.00362912614783208,0.00336171685272866,"91522/1308/1286/9509/1300/5352/1293/26577/1285/255631",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-76009","R-HSA-76009","Platelet Aggregation (Plug Formation)","8/487","27/8020",0.000138564435628423,0.00387165334844124,0.00358637362802978,"3674/7450/207/150/2815/2814/2811/3690",8,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-140837","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation","6/487","15/8020",0.000151833187523019,0.00412118651848196,0.00381752014343592,"7450/5270/2815/2814/5627/2811",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","13/487","68/8020",0.000187129059283515,0.00493812795331498,0.00457426589359703,"4052/10272/54757/7466/10117/3915/10970/351/11167/2200/7184/255738/2621",13,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-8948216","R-HSA-8948216","Collagen chain trimerization","7/487","22/8020",0.000223333611100036,0.005734241366082,0.00531171831805491,"91522/1308/1286/1300/1293/1285/255631",7,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2467813","R-HSA-2467813","Separation of Sister Chromatids","24/487","181/8020",0.000232035359116141,0.00580088397790353,0.00537345042163696,"332/79019/81027/2491/1058/991/1063/11130/55143/9700/57082/11004/83540/113130/57405/220134/701/1780/147841/5347/699/11065/9212/55920",24,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2514853","R-HSA-2514853","Condensation of Prometaphase Chromosomes","5/487","11/8020",0.000275123932183299,0.00644214622687886,0.0059674617680562,"64151/23397/891/9133/983",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-176187","R-HSA-176187","Activation of ATR in response to replication stress","9/487","37/8020",0.00028067530005015,0.00644214622687886,0.0059674617680562,"55388/4171/4998/23594/8318/990/4173/995/993",9,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","10/487","45/8020",0.000288057184538437,0.00644214622687886,0.0059674617680562,"1286/3693/6382/1300/3911/3915/2247/3339/1285/3690",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-983189","R-HSA-983189","Kinesins","10/487","45/8020",0.000288057184538437,0.00644214622687886,0.0059674617680562,"24137/81027/10112/9493/3832/11004/56992/90990/146909/3833",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","12/487","62/8020",0.000291591881848201,0.00644214622687886,0.0059674617680562,"3674/91522/1286/3693/7450/1300/3339/3680/1293/2200/1285/3690",12,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-176974","R-HSA-176974","Unwinding of DNA","5/487","12/8020",0.000448209721176689,0.00925650511125771,0.00857444683990189,"4171/8318/9837/4173/51659",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-75035","R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","5/487","12/8020",0.000448209721176689,0.00925650511125771,0.00857444683990189,"7533/891/995/7465/983",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-75892","R-HSA-75892","Platelet Adhesion to exposed collagen","5/487","12/8020",0.000448209721176689,0.00925650511125771,0.00857444683990189,"51206/7450/2815/2814/2811",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-68882","R-HSA-68882","Mitotic Anaphase","27/487","225/8020",0.00049982399138839,0.0101028253578504,0.00935840664727199,"332/79019/81027/2491/1058/991/1063/11130/891/55143/9700/57082/11004/83540/113130/57405/220134/701/9133/1780/147841/5347/699/983/11065/9212/55920",27,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1474290","R-HSA-1474290","Collagen formation","11/487","57/8020",0.000532317011198137,0.0103948685754519,0.00962893089094493,"91522/1308/1286/9509/4318/1300/5352/1293/26577/1285/255631",11,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2555396","R-HSA-2555396","Mitotic Metaphase and Anaphase","27/487","226/8020",0.000536156379154888,0.0103948685754519,0.00962893089094493,"332/79019/81027/2491/1058/991/1063/11130/891/55143/9700/57082/11004/83540/113130/57405/220134/701/9133/1780/147841/5347/699/983/11065/9212/55920",27,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1592389","R-HSA-1592389","Activation of Matrix Metalloproteinases","6/487","19/8020",0.000667977403246072,0.0126915706616754,0.0117564022971309,"1511/4318/4324/4317/5045/1991",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-975576","R-HSA-975576","N-glycan antennae elongation in the medial/trans-Golgi","6/487","20/8020",0.000905860360901128,0.0168490139984534,0.0156075077038305,"8704/64377/4248/9334/11282/4122",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","16/487","110/8020",0.000922261818862713,0.0168490139984534,0.0156075077038305,"634/4680/51206/8140/857/6382/1088/29802/3512/90952/5196/6403/2621/5627/57126/3690",16,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-140875","R-HSA-140875","Common Pathway of Fibrin Clot Formation","5/487","14/8020",0.00102344191806621,0.0180049967067203,0.0166783127388567,"5270/5196/5627/5657/57126",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-162658","R-HSA-162658","Golgi Cisternae Pericentriolar Stack Reorganization","5/487","14/8020",0.00102344191806621,0.0180049967067203,0.0166783127388567,"891/9133/5347/983/81876",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69306","R-HSA-69306","DNA Replication","17/487","127/8020",0.00165969926320724,0.028667532728125,0.0265551882113158,"55388/4171/4998/23594/8318/990/5427/9837/1869/4173/898/51659/890/81620/11065/9134/5426",17,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1362300","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","5/487","16/8020",0.00201774203711751,0.0342295524153863,0.0317073748689895,"4605/1869/1875/890/983",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69481","R-HSA-69481","G2/M Checkpoints","19/487","154/8020",0.00239481805599807,0.0399136342666344,0.0369726296364614,"55388/4171/51512/4998/23594/8318/990/4173/9088/7533/891/9133/995/993/7465/983/9156/116028/3014",19,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-373760","R-HSA-373760","L1CAM interactions","13/487","89/8020",0.00261351608430643,0.0424954432591954,0.0393642000716758,"3674/6710/24137/81027/1759/5605/3915/3680/6328/6708/6331/3690/100133941",13,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-68886","R-HSA-68886","M Phase","37/487","379/8020",0.00263919068662372,0.0424954432591954,0.0393642000716758,"5577/332/79019/81027/2491/64151/10112/1058/991/4751/1063/23397/11130/891/55143/9700/9493/57082/11004/83540/113130/57405/220134/701/9133/1780/147841/5579/5347/699/983/81876/11065/9212/55920/3014/8355",37,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6804114","R-HSA-6804114","TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest","5/487","17/8020",0.00271755963830542,0.0430280276065024,0.0398575413618128,"6790/891/10498/995/983",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-68689","R-HSA-68689","CDC6 association with the ORC:origin complex","4/487","11/8020",0.0031451944995706,0.047427536104636,0.0439328755495576,"4998/23594/990/1869",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-9651496","R-HSA-9651496","Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)","4/487","11/8020",0.0031451944995706,0.047427536104636,0.0439328755495576,"7450/2815/2814/2811",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-9671793","R-HSA-9671793","Diseases of hemostasis","4/487","11/8020",0.0031451944995706,0.047427536104636,0.0439328755495576,"7450/2815/2814/2811",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","42/487","451/8020",0.00336613455438618,0.0499660597916698,0.04628435012281,"4353/8993/4057/23250/634/4680/10321/1511/4318/671/10562/56729/4790/4317/383/1088/1118/6947/10970/8836/6518/3934/932/6283/5473/820/1669/6036/6037/566/154664/199675/5657/1991/57126/5004/81567/5273/441864/3240/8972/23601",42,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1362277","R-HSA-1362277","Transcription of E2F targets under negative control by DREAM complex","5/487","19/8020",0.00461673579369856,0.0674753692925175,0.0625034999762267,"990/1869/7153/1875/993",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","7/487","36/8020",0.00521928886837109,0.075126127650796,0.0695905182449478,"1308/1286/4318/1300/1293/1285/255631",7,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69239","R-HSA-69239","Synthesis of DNA","15/487","119/8020",0.00542099824531093,0.0768649004932146,0.0712011709831883,"4171/4998/23594/8318/990/5427/9837/4173/898/51659/890/81620/11065/9134/5426",15,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-4641262","R-HSA-4641262","Disassembly of the destruction complex and recruitment of AXIN to the membrane","6/487","28/8020",0.00582009835941138,0.0813101976682473,0.0753189199453238,"857/1857/4041/10023/2535/23401",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-418346","R-HSA-418346","Platelet homeostasis","10/487","67/8020",0.00676105405162193,0.0930869760730556,0.0862279357308304,"2983/489/2782/5026/6547/7225/7804/2982/5592/5138",10,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-113510","R-HSA-113510","E2F mediated regulation of DNA replication","5/487","22/8020",0.00899350714629405,0.122054739842562,0.113061232696268,"4998/23594/1869/891/983",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","20/487","189/8020",0.0105619078326059,0.141321301985572,0.130908153418214,"5577/3161/51512/6790/22974/4605/81027/1869/2305/4751/1063/9088/891/890/9133/995/993/7465/5347/983",20,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-392154","R-HSA-392154","Nitric oxide stimulates guanylate cyclase","4/487","15/8020",0.010715475080453,0.141384740644865,0.130966917649981,"2983/2982/5592/5138",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-3000157","R-HSA-3000157","Laminin interactions","5/487","23/8020",0.0109308756854599,0.142251121934067,0.131769460317872,"1286/3911/3915/3339/1285",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1566948","R-HSA-1566948","Elastic fibre formation","6/487","32/8020",0.0114008036172693,0.144410179152078,0.133769429109293,"4052/3693/84034/5045/2200/3690",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-445717","R-HSA-445717","Aquaporin-mediated transport","6/487","32/8020",0.0114008036172693,0.144410179152078,0.133769429109293,"5577/2782/89872/4645/112/358",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-6811434","R-HSA-6811434","COPI-dependent Golgi-to-ER retrograde traffic","11/487","84/8020",0.0122541263493084,0.151187273140818,0.14004715827781,"24137/81027/10112/9493/3832/11004/56992/90990/81876/146909/3833",11,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69002","R-HSA-69002","DNA Replication Pre-Initiation","11/487","84/8020",0.0122541263493084,0.151187273140818,0.14004715827781,"55388/4171/4998/23594/8318/990/5427/1869/4173/81620/5426",11,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-445355","R-HSA-445355","Smooth Muscle Contraction","6/487","33/8020",0.0132394834757798,0.161250119256293,0.149368531521618,"2983/3693/10398/800/8291/2982",6,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2129379","R-HSA-2129379","Molecules associated with elastic fibres","5/487","25/8020",0.0156199960207042,0.187835395185683,0.173994892382527,"4052/3693/84034/2200/3690",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-69275","R-HSA-69275","G2/M Transition","19/487","187/8020",0.0186022192342099,0.220901353406243,0.204624411576309,"5577/3161/51512/6790/22974/4605/81027/2305/4751/1063/9088/891/890/9133/995/993/7465/5347/983",19,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-1912420","R-HSA-1912420","Pre-NOTCH Processing in Golgi","4/487","18/8020",0.0207934353348407,0.237997151422875,0.220460519212769,"4854/489/3955/5045",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-3928664","R-HSA-3928664","Ephrin signaling","4/487","18/8020",0.0207934353348407,0.237997151422875,0.220460519212769,"8440/28964/1948/2049",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-445095","R-HSA-445095","Interaction between L1 and Ankyrins","4/487","18/8020",0.0207934353348407,0.237997151422875,0.220460519212769,"6710/6328/6708/6331",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","5/487","27/8020",0.0214878783425686,0.243017671731431,0.225111106445957,"1380/1191/930/5627/1991",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-8856688","R-HSA-8856688","Golgi-to-ER retrograde transport","13/487","117/8020",0.0247223952551655,0.274990948789243,0.254728457825825,"24137/81027/10112/9493/3832/11004/51560/1780/56992/90990/81876/146909/3833",13,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-2173782","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","5/487","28/8020",0.024893917469342,0.274990948789243,0.254728457825825,"6678/3512/10525/7184/3240",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-372708","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","3/487","11/8020",0.0254594001712202,0.278004944398381,0.257520369547974,"3674/7450/3690",3,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-432040","R-HSA-432040","Vasopressin regulates renal water homeostasis via Aquaporins","5/487","29/8020",0.0286279739611353,0.309051991625892,0.286279739611353,"5577/2782/4645/112/358",5,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
"R-HSA-176412","R-HSA-176412","Phosphorylation of the APC/C","4/487","20/8020",0.0299206037811072,0.312357951561009,0.289342102498619,"891/5347/983/11065",4,"up","Reactome","Human gammaherpesvirus 4 (EBV).pbmc",FALSE
