"","group_id","timepoint","shannon"
"188","Other ABX","Day 4-6",1.77065856638512
"189","Azithromycin","Day 4-6",1.05492016798614
"190","Azithromycin","Day 0-2",1.4201164366885
"191","Azithromycin","Day 0-2",1.38629436111989
"192","Azithromycin","Day 0-2",1.8047302458538
"193","Azithromycin","Day 0-2",1.63079910458564
"194","No ABX","Day 0-2",1.82938744634874
"195","Azithromycin","Day 0-2",1.01326902624973
"196","Azithromycin","Day 0-2",0.470235962355249
"197","Azithromycin","Day 0-2",1.06094424079075
"198","Other ABX","Day 0-2",1.38629436111989
"199","Other ABX","Day 0-2",1.01140426470735
"200","Azithromycin","Day 0-2",1.32966134885476
"201","No ABX","Day 4-6",1.53672246943722
"202","Other ABX","Day 0-2",0.693147180559945
"203","Other ABX","Day 0-2",1.850000785203
"204","Other ABX","Day 0-2",0.583891540603351
"205","Azithromycin","Day 4-6",1.80650716526167
"206","Azithromycin","Day 0-2",1.01266311038503
"207","Azithromycin","Day 0-2",1.56071040904141
"208","Azithromycin","Day 0-2",2.02532622077007
"209","Azithromycin","Day 0-2",1.16828245017656
"210","No ABX","Day 0-2",0.859414744009602
"211","Other ABX","Day 0-2",1.60402712056444
"212","Other ABX","Day 0-2",1.89362522458425
"213","Other ABX","Day 0-2",1.97434208489782
"214","Azithromycin","Day 4-6",0
"215","Azithromycin","Day 0-2",1.80891138493597
"216","Azithromycin","Day 0-2",0.679193265991526
"217","Azithromycin","Day 0-2",1.35286742177536
"218","No ABX","Day 0-2",0.958691859325372
"219","Other ABX","Day 0-2",1.20735283738435
"220","Azithromycin","Day 4-6",0
"221","Azithromycin","Day 4-6",1.09861228866811
"222","Azithromycin","Day 4-6",1.33217904021012
"223","Other ABX","Day 0-2",0.325082973391448
"224","Azithromycin","Day 0-2",1.83027035364005
"225","Azithromycin","Day 0-2",1.30082930175919
"226","No ABX","Day 4-6",1.03972077083992
"227","No ABX","Day 0-2",0.636514168294813
"228","Azithromycin","Day 0-2",1.05492016798614
"229","Other ABX","Day 0-2",0.682908104700472
"230","Other ABX","Day 0-2",0.410116318288409
"231","Other ABX","Day 0-2",0.693147180559945
"232","Other ABX","Day 0-2",0.61286945246195
"233","No ABX","Day 0-2",0
"234","Other ABX","Day 0-2",0
"235","Azithromycin","Day 0-2",1.67262544615032
"236","Azithromycin","Day 0-2",0.693147180559945
"237","No ABX","Day 0-2",1.03972077083992
"238","Other ABX","Day 0-2",1.6218592463856
"239","Azithromycin","Day 0-2",0.682908104700472
"240","Other ABX","Day 0-2",0
"241","Other ABX","Day 0-2",0.759547391474863
"242","Other ABX","Day 0-2",0
"243","Other ABX","Day 4-6",0
"244","Azithromycin","Day 0-2",2.16919257038803
"245","No ABX","Day 0-2",1.16851840574309
"246","Azithromycin","Day 0-2",1.88246678973838
"247","Azithromycin","Day 0-2",0.995026990179521
"248","Azithromycin","Day 0-2",1.22060726455302
"249","No ABX","Day 4-6",0.693147180559945
"250","Other ABX","Day 0-2",1.99764701053057
"251","Other ABX","Day 0-2",1.94638801626879
"252","Azithromycin","Day 0-2",1.242453324894
"253","Other ABX","Day 0-2",0
"254","Other ABX","Day 0-2",0.523630631495933
"255","No ABX","Day 0-2",0.636514168294813
"256","Azithromycin","Day 0-2",0.500402423538188
"257","Other ABX","Day 0-2",1.80763165619193
