Predicted_celltype,CD45,GranzymeB,IgA,CD11b,IgM,CD69,IgG,CCR6,ICOS,CD123,CD19,CD4,CD8a,CD11c,CD16,CD45RO,CD45RA,CD161,CCR4,CD25,CD27,CD57,CXCR3,CXCR5,CD39,CD28,CD38,CD169,CD56,TCRgd,CD64,CD294,CCR7,CD14,CD71,CD3,CD20,CD66b,HLADR,IgD,PD-1,CD127,CD61,Tier1
CD4+ NKT Cell,6.91565640321277,0.957106517237392,0.852044229032034,0.200571982913219,0.691531449231723,0.197240484604802,1.38478115612737,1.19151505026584,0.575320180639938,0.252432570847636,1.12225081771948,4.02148905280761,1.21485675534186,0.206761552458162,0.932113944308344,1.39657406500433,4.49575642781941,0.861954724990858,0.521787033609341,0.284842771065795,4.87357082353431,1.02128797159129,2.23780556642787,0.292225430372141,0.562599358041454,3.9461642877404,1.53115828287409,0.570963556987414,1.19166775145761,0.463948463690051,0.163564196649145,0.471719361884747,1.7294790601951,0.35396661164404,0.378980822407042,5.73609088714229,0.422789682452984,0.468822389532883,0.446507950007322,0.292629760738274,0.611818319071616,5.33535923160907,0.337375488959759,CD4+ T Cell
CD4+ T Cell (activated),6.94211227863036,0.685006502908091,0.659973527643373,0.149530660298176,0.494854166303017,0.119248682818248,1.43001319163599,0.967356101739677,2.66075770910979,0.217292812219764,0.640672209471637,5.2631258663275,1.39309063992553,0.220320934313085,0.766712687965292,4.23296047052916,0.847613537982551,0.574875698294964,3.36226993217127,0.970486672547309,3.65699107234916,0.401424285535146,4.26807352965151,0.695218287888955,1.89327606871641,4.71562724849174,4.04396306415648,0.505990950598196,0.209929835674858,0.206997335061951,0.222310951980501,0.345079412777179,1.8807917208164,0.456869824686894,1.83584413623683,5.7102441458501,0.341086578065646,0.514952594097501,3.46291210201147,0.376567049300275,1.62843914078423,1.95702332036141,0.369484522457923,CD4+ T Cell
CD4+ T Cell (CM),6.9126272298076,0.512216901126002,0.614154093136826,0.144652114118289,0.389965863053058,0.130472514432212,1.24294479158824,0.813814714241037,0.773111822363048,0.181821532459852,0.627425459494171,5.24332290474861,1.29502479170648,0.216526819433197,0.529665969745454,3.43140955823697,0.711124260583291,0.431275457922148,1.83864156636261,0.666192927125858,4.67130319518874,0.263077494699734,0.836292921984453,0.672326112941591,0.360815949823592,3.8399147991227,1.51689547088222,0.163498872725785,0.0955572543621843,0.131896632764807,0.179019748921649,0.420270477708789,4.03111403066633,0.692069352488825,0.381678276837548,5.74979474561254,0.333772288255441,0.389919530231862,0.271914547039428,0.23528953633142,0.919757539466809,5.48941229760551,0.34943984216187,CD4+ T Cell
CD4+ T Cell (EM CD27hi),6.7561200939254,0.506957072339499,0.590674141095639,0.154846447620621,0.331415763358642,0.138967551987741,1.22401181065534,1.89010014774425,0.53169094498263,0.161536502977262,0.561516639216674,5.14415984515987,1.25378566202486,0.198041044286892,0.449464576383034,3.56691255539467,0.650792505111403,0.572949078542036,1.1849000088355,0.84589537252465,4.06435279459015,0.277273177958154,4.21023821484546,0.362336797466132,0.316019636699572,3.59849713338973,1.06485331483595,0.118928794698496,0.0803976149801661,0.114289996996664,0.177014727202694,0.264666260195923,1.4277761471073,0.310265670401641,0.357652408395581,5.18502801434641,0.24829850421142,0.383982978083862,0.245766284270501,0.250710403215434,0.923563524540558,5.68453355035833,0.428693969730043,CD4+ T Cell
CD4+ T Cell (EM CD27low),6.77997356014882,0.5813000520658,0.565289773561891,0.175087219534801,0.361002020623287,0.139008714180674,1.17683864314873,1.51980128879716,0.595526266106677,0.181751007912195,0.590830160842191,5.18590746865651,1.28058149500538,0.201872935374679,0.579742820329773,3.76379630656512,0.735820836033988,0.444256951831381,3.03936632200478,0.891479014338442,0.527222897049059,0.22606977617204,2.95513906820934,0.273275640535732,0.377863306492969,3.72640816170767,1.11039390136491,0.133252307357504,0.0865957490151914,0.111177068518998,0.193509789224666,0.347637083977148,1.14302378692021,0.335015976272735,0.474327010136585,5.0366772783453,0.251039533667889,0.367559628702314,0.412995136745347,0.279376389252213,0.923214240968998,5.78220713315167,0.362642124621484,CD4+ T Cell
CD4+ T Cell (EM CD57hi),7.03743258721752,2.76140676876339,0.688198880213202,0.328814171342195,0.562346728132496,0.135511598577943,1.31175035965869,0.500187152015944,0.719977010385708,0.172707035129436,0.955191564548125,5.14775187344548,1.2901430793592,0.197825825202464,0.787066820321523,4.52069929308172,1.07140492295508,0.459368178914524,0.301024906854129,0.190814776940413,0.460300558204382,5.536281156551,3.62984833953536,0.356714175488885,0.272997074098485,1.43087662190249,1.21740480681068,0.122062102526454,0.12326906197892,0.136205597777049,0.227246762622738,0.26829168272915,0.375227264529882,0.328539675941731,0.204239584364141,5.87332842384951,0.89280270870993,0.572385200639599,0.720933582684559,0.196227906800897,1.69341215078596,4.29007765206809,0.465373833744574,CD4+ T Cell
CD4+ T Cell (EMRA CD57hi),7.02014063896181,3.8083068066217,0.749866478689682,0.377343179567191,0.777169084227978,0.114203254558287,1.20436667546151,0.734229058865048,0.964499463828051,0.511436652781705,2.42574021986262,5.29073433174554,1.53017537730384,0.193295892702573,0.583840778267041,0.507261869575751,6.44108031630961,2.10265612001088,0.236130467661944,0.323523179519562,0.294294997318109,7.18624129973,2.33910829126179,0.153593183219559,0.189577054663109,0.27760108387005,1.16219570726285,0.123598056791776,0.201349175159072,0.121135162869131,0.0984681853388907,1.58391927454977,0.268522447586316,0.335653975960798,0.17923376007007,6.00250147122597,1.85310516215967,0.550101288968465,1.61782104447426,0.188823132389798,0.872344158803821,1.59659996995203,0.580814713619202,CD4+ T Cell
CD4+ T Cell (EMRA CD57low),6.57300695918508,0.568839155438309,0.555763103592766,0.183113134370871,0.358290585193639,0.138741825260476,1.06671497865013,0.617664275692976,0.584225942438786,0.240826240715936,1.00594607135396,5.00605651841053,1.32492696299455,0.230951984684252,0.534672022913511,1.14021195752996,2.94454920030279,0.502051397313831,0.892182575564627,0.997872262416768,2.97292209994515,0.347324376070105,3.28272054153524,0.27829119105844,0.416370448298699,3.03833744204135,0.911916640956409,0.113327812385401,0.0953391016341382,0.112333030598438,0.122411376744511,0.59215285107188,0.83552397948272,0.301421462274889,0.347567961107821,4.89803535169029,0.231821889192279,0.37473483255458,0.35520363903002,0.259891073707887,0.977010458719061,5.28680318637266,0.358770755219934,CD4+ T Cell
CD4+ T Cell (naive),6.81646325812218,0.494352846623584,0.480757428276178,0.137022889748373,0.436132747592315,0.120978221339054,1.01813905047263,0.265885923109738,0.696889648057059,0.285006774766733,1.64087713493229,5.26215408463502,1.51209230066232,0.212177534431512,0.463227485469601,0.256048362178382,5.32902922102277,0.224567271113372,0.368496608794683,0.309227821354742,5.00594246609859,0.236200145142785,0.244586452449143,0.227260853092861,0.247446550653074,3.56971131551025,3.17209725359667,0.25196409861704,0.12934195710137,0.159647359708161,0.136331960977064,1.10515599364476,5.23678812270307,1.18995632332308,0.304288458535362,6.18910850691046,0.407164738575906,0.347618204144929,0.250857081097272,0.201072591366929,0.335307479713407,5.20627601455667,0.353673314940433,CD4+ T Cell
CD4+ Treg (CD39hi),6.6296593542827,0.508085746375237,0.618334299003384,0.137866442602476,0.463851898404443,0.119350531258388,1.12186714795695,1.79304289272206,1.68043000840889,0.206488770994778,0.637657756496093,4.90475859383151,1.16318446071405,0.224324247230363,0.703985820853404,4.00690845018009,0.737073636048954,0.361320021383481,4.02345187954464,3.17564008321097,4.56714705149277,0.262504717737772,0.959245932181827,0.375105712711071,4.50839380022685,3.90721764932418,1.38758859015723,0.192841923461098,0.107778724172064,0.138260536849518,0.205434427770227,0.260303369967235,1.45519635570792,0.389802051832247,1.07023981066268,5.31684480757135,0.276353399586145,0.391013172594494,1.77923750837129,0.205511323749981,1.08180689724064,1.9744663043087,0.328033416298163,CD4+ T Cell
CD4+ Treg (CD39low),6.5681095518272,0.383367162033462,0.510910791059586,0.126425730422999,0.316142969423279,0.0926104372039852,1.33305586138042,2.67817417721357,0.971667249075957,0.154248032471676,0.549029209389104,4.84169523210358,1.00293484126646,0.192562373610595,0.436276771074603,3.70366041171801,0.622266208518817,0.328520866187588,3.62532474505159,2.4770417077766,4.24824805684815,0.204242435652431,1.33820654108971,0.344419518176441,0.959571803646062,3.46046078905038,1.10485603273744,0.127934645656044,0.0727804737668027,0.110220896157474,0.174617094053293,0.226253071412147,1.28196494700266,0.371669655788155,0.471741423465538,5.15918194424911,0.19761459707642,0.280940429778527,0.764342752817594,0.145261953400625,0.939348698383827,1.81063046515361,0.557352027165479,CD4+ T Cell
B Cell (CD71+ activated),6.6273821357933,0.925200634988229,1.77718911948982,0.333397225127664,1.46978734002238,0.119455176919977,1.79927113297913,4.64081837414221,1.02579546509745,0.919680938674724,6.97002561344348,0.974255149885203,1.35254642476761,0.971631586276464,1.13322233383509,0.201736222429552,6.84592537899878,0.476038852092946,0.245269272455975,0.656142181442337,2.16300451536878,0.474121768556874,0.65804407735923,2.77133997258143,3.86747615716466,2.35338995825222,1.03217698707801,0.150128483154589,0.208064811902944,0.261339203038781,0.125064036199214,2.16861223935475,1.38685119978409,0.167807586796047,2.63245710470607,0.504543545537049,5.24019206324081,1.40371584624099,4.55089659508714,0.888959874439061,0.520674564192104,0.468844250455023,0.269812471763808,CD8+ T Cell
CD4-CD8- T Cell,6.65748535706248,3.90330572729853,1.03296793241833,0.50971150923395,1.08467526207302,0.220050012489151,1.33591827572063,2.06134590108333,1.14667250626298,0.486059720124425,4.53279020956568,1.09754318381619,1.60252229237974,0.260743476004485,0.954006286031909,0.380281431165748,6.71340612308358,1.02546076437338,0.409445031867428,0.604700396777256,1.88102700463284,2.29226430031168,0.993208040486865,0.159949679696969,0.29375863376899,2.18939134898286,0.384075090781832,0.191427447629092,0.592649066016949,0.219612179717994,0.154373282712186,2.10567765391394,0.366608257988534,0.308342724066061,0.197519405805551,5.50579014395984,0.392959761497945,0.32117333076213,0.298767067823414,0.142891196994023,0.697308012899253,2.00825655037641,0.329253996013387,CD8+ T Cell
CD4+ NKT Cell,6.91565640321277,0.957106517237392,0.852044229032034,0.200571982913219,0.691531449231723,0.197240484604802,1.38478115612737,1.19151505026584,0.575320180639938,0.252432570847636,1.12225081771948,4.02148905280761,1.21485675534186,0.206761552458162,0.932113944308344,1.39657406500433,4.49575642781941,0.861954724990858,0.521787033609341,0.284842771065795,4.87357082353431,1.02128797159129,2.23780556642787,0.292225430372141,0.562599358041454,3.9461642877404,1.53115828287409,0.570963556987414,1.19166775145761,0.463948463690051,0.163564196649145,0.471719361884747,1.7294790601951,0.35396661164404,0.378980822407042,5.73609088714229,0.422789682452984,0.468822389532883,0.446507950007322,0.292629760738274,0.611818319071616,5.33535923160907,0.337375488959759,CD8+ T Cell
CD4+ T Cell (EM CD27hi),6.7561200939254,0.506957072339499,0.590674141095639,0.154846447620621,0.331415763358642,0.138967551987741,1.22401181065534,1.89010014774425,0.53169094498263,0.161536502977262,0.561516639216674,5.14415984515987,1.25378566202486,0.198041044286892,0.449464576383034,3.56691255539467,0.650792505111403,0.572949078542036,1.1849000088355,0.84589537252465,4.06435279459015,0.277273177958154,4.21023821484546,0.362336797466132,0.316019636699572,3.59849713338973,1.06485331483595,0.118928794698496,0.0803976149801661,0.114289996996664,0.177014727202694,0.264666260195923,1.4277761471073,0.310265670401641,0.357652408395581,5.18502801434641,0.24829850421142,0.383982978083862,0.245766284270501,0.250710403215434,0.923563524540558,5.68453355035833,0.428693969730043,CD8+ T Cell
CD4+ T Cell (EM CD57hi),7.03743258721752,2.76140676876339,0.688198880213202,0.328814171342195,0.562346728132496,0.135511598577943,1.31175035965869,0.500187152015944,0.719977010385708,0.172707035129436,0.955191564548125,5.14775187344548,1.2901430793592,0.197825825202464,0.787066820321523,4.52069929308172,1.07140492295508,0.459368178914524,0.301024906854129,0.190814776940413,0.460300558204382,5.536281156551,3.62984833953536,0.356714175488885,0.272997074098485,1.43087662190249,1.21740480681068,0.122062102526454,0.12326906197892,0.136205597777049,0.227246762622738,0.26829168272915,0.375227264529882,0.328539675941731,0.204239584364141,5.87332842384951,0.89280270870993,0.572385200639599,0.720933582684559,0.196227906800897,1.69341215078596,4.29007765206809,0.465373833744574,CD8+ T Cell
