"","Test","Factor","pval","adj_pval","direction"
"202","Longitudinal_p.intercept.adj_2v4","Factor6",3.72830473699288e-10,1.30490665794751e-09,"Severe"
"203","Longitudinal_p.intercept.adj_2v4","Factor7",0.00887236067756178,0.0155266311857331,"Severe"
"204","Longitudinal_p.intercept.adj_2v5","Factor1",7.65095914716208e-40,5.35567140301345e-39,"Severe"
"205","Longitudinal_p.intercept.adj_2v5","Factor2",0.0653023921472189,0.0901892357490826,"Severe"
"206","Longitudinal_p.intercept.adj_2v5","Factor3",6.99913039533524e-08,2.44969563836733e-07,"Severe"
"207","Longitudinal_p.intercept.adj_2v5","Factor4",0.18045023296771,0.18045023296771,"Severe"
"208","Longitudinal_p.intercept.adj_2v5","Factor5",0.00014833660468157,0.000259589058192748,"Severe"
"209","Longitudinal_p.intercept.adj_2v5","Factor6",1.56552992903345e-06,3.65290316774472e-06,"Severe"
"210","Longitudinal_p.intercept.adj_2v5","Factor7",0.0773050592134994,0.0901892357490826,"Severe"
"211","Longitudinal_p.intercept.adj_3v4","Factor1",1.39292916734952e-19,9.75050417144664e-19,"Severe"
"212","Longitudinal_p.intercept.adj_3v4","Factor2",0.814937337333228,0.814937337333228,"Mild"
"213","Longitudinal_p.intercept.adj_3v4","Factor3",3.02603605916324e-08,1.05911262070713e-07,"Severe"
"214","Longitudinal_p.intercept.adj_3v4","Factor4",0.106992217619053,0.149789104666674,"Mild"
"215","Longitudinal_p.intercept.adj_3v4","Factor5",0.292362231180003,0.341089269710004,"Severe"
"216","Longitudinal_p.intercept.adj_3v4","Factor6",1.20244959309585e-06,2.80571571722365e-06,"Severe"
"217","Longitudinal_p.intercept.adj_3v4","Factor7",0.0425850983188662,0.0745239220580158,"Severe"
"218","Longitudinal_p.intercept.adj_3v5","Factor1",1.7629587381665e-30,1.23407111671655e-29,"Severe"
"219","Longitudinal_p.intercept.adj_3v5","Factor2",0.197324626133212,0.230212063822081,"Severe"
"220","Longitudinal_p.intercept.adj_3v5","Factor3",2.48252088968917e-07,8.6888231139121e-07,"Severe"
"221","Longitudinal_p.intercept.adj_3v5","Factor4",0.362400110206795,0.362400110206795,"Severe"
"222","Longitudinal_p.intercept.adj_3v5","Factor5",0.00735213901359934,0.0128662432737988,"Severe"
"223","Longitudinal_p.intercept.adj_3v5","Factor6",7.31658575361011e-05,0.000170720334250903,"Severe"
"224","Longitudinal_p.intercept.adj_3v5","Factor7",0.185134444248162,0.230212063822081,"Severe"
"225","Longitudinal_p.intercept.adj_4v5","Factor1",2.41296646022449e-08,1.68907652215715e-07,"Severe"
"226","Longitudinal_p.intercept.adj_4v5","Factor2",0.0705975867599754,0.0988366214639656,"Severe"
"227","Longitudinal_p.intercept.adj_4v5","Factor3",0.0423223346188311,0.0744488064909005,"Severe"
"228","Longitudinal_p.intercept.adj_4v5","Factor4",0.0304584419597235,0.0744488064909005,"Severe"
"229","Longitudinal_p.intercept.adj_4v5","Factor5",0.0425421751376574,0.0744488064909005,"Severe"
"230","Longitudinal_p.intercept.adj_4v5","Factor6",0.789675941955054,0.847963437624555,"Severe"
"231","Longitudinal_p.intercept.adj_4v5","Factor7",0.847963437624555,0.847963437624555,"Mild"
