"pathway","database","PPT:direction","PPT:pval","PPT:pval_adj","PPT:leading_edge","PPG:direction","PPG:pval","PPG:pval_adj","PPG:leading_edge","SPT:direction","SPT:pval","SPT:pval_adj","SPT:leading_edge","PMG:direction","PMG:pval","PMG:pval_adj","PMG:leading_edge","NGX:direction","NGX:pval","NGX:pval_adj","NGX:leading_edge","PGX:direction","PGX:pval","PGX:pval_adj","PGX:leading_edge","Joint:direction","Joint:pval","Joint:pval_adj","Joint:leading_edge"
"HALLMARK_COAGULATION","hallmark",1,0.277717559656388,0.580894648829432,"SERPINA1#FGG#FGA#C9#CPB2",1,4.79011205145596e-07,2.39505602572798e-05,"FGA#SERPINA1#C2#CFB#SERPING1#C1QA#MMP14#A2M#PLG#C9#MMP2#CPN1#FGG#F9#F2#FN1#CPB2#PROS1#C8G#F8#PDGFB#ITIH1#C1R#C1S#KLKB1#MBL2#F10#ADAM9",1,0.676825372966067,0.773514711961219,"MMP10#PLAU",NA,NA,NA,NA,1,0.0894049961147817,0.219099224424417,"HPN#MMP8#LTA4H",1,0.000652900327379302,0.00217633442459767,"ADAM9#ACOX2#FURIN#CTSB#MMP9#LAMP2#F12#MSRB2#CLU#TIMP1#GNB2#MMP8#ANG#KLF7#SERPINB2#RAC1#P2RY1",NA,2.39329000781457e-06,1.4958062548841e-05,NA
"HALLMARK_ADIPOGENESIS","hallmark",1,0.279102454546967,0.580894648829432,"ORM1",-1,0.402455174151147,0.508692306421205,"ORM1",1,0.630195891065457,0.756235069278548,"LIFR",NA,NA,NA,NA,-1,0.168979708745785,0.312925386566269,"SPARCL1#REEP6#RAB34#RMDN3#MIGA2#IDH3G#SCP2#CD151#PEMT#ECHS1",1,0.000392379995753922,0.00163491664897468,"PPARG#ITGA7#SQOR#GADD45A#IDH1#FAH#TALDO1#DHCR7#ACOX1#RTN3#CHUK#CDKN2C#BCL6#RETN#POR#APLP2#CRAT#PFKFB3#PRDX3#TKT#GBE1#STOM#PLIN2#COX7B#ESRRA#COX6A1#ME1#GPD2#CD151#PPP1R15B#ITSN1#SDHC#ORM1#IFNGR1#DLD#DHRS7B#UQCR10#RIOK3#CMBL#SLC19A1#ARL4A#UQCRC1",NA,0.00196011574143626,0.00542652629055404,NA
"HALLMARK_APICAL_JUNCTION","hallmark",-1,0.292146669120353,0.580894648829432,"ICAM1#VWF",1,0.00120975677983126,0.0100813064985938,"ACTC1#ACTA1#ACTB#ACTG1",1,0.0899126927461075,0.169828500455461,"CD274#TNFRSF11B#CX3CL1",NA,NA,NA,NA,1,0.339213900099983,0.484591285857118,"INSIG1#COL17A1#ITGA10#MAP3K20#TRAF1#SIRPA",1,0.19742514206109,0.246781427576362,"ADAM9#MAPK14#MMP9#TUBG1#PTEN#ZYX#YWHAH#PIK3CB#CRAT#SKAP2#SIRPA#ICAM5#NECTIN2#ACTB",NA,0.00595317623207358,0.0124024504834866,NA
"HALLMARK_ANDROGEN_RESPONSE","hallmark",-1,0.310991639939008,0.580894648829432,"SELENOP#B2M",-1,0.131541134063891,0.38688568842321,"SELENOP#CDC14B",NA,NA,NA,NA,NA,NA,NA,NA,1,0.0148873991171569,0.0771594418176688,"FKBP5#INSIG1#CAMKK2#HMGCR#PTK2B",1,0.000105791692233681,0.000480871328334914,"GSR#DHCR24#UBE2J1#ELL2#VAPA#ABHD2#ACSL3#PTK2B#CCND3#FKBP5#IDI1#SRF#CENPN#ACTN1#SCD#SLC38A2#RRP12#ABCC4#SEC24D#HMGCR#GNAI3#STEAP4#MYL12A#FADS1#ADRM1#MERTK",NA,0.000419911848792108,0.00139970616264036,NA
"HALLMARK_COMPLEMENT","hallmark",1,0.324510275597827,0.580894648829432,"SERPINA1#C9#APOA4#C1S",1,8.26186051794409e-06,0.000206546512948602,"SERPINA1#C2#CFB#SERPING1#C1QC#C1QA#MMP14#PLG#S100A12#C9#F2#S100A9#FN1#F8#COL4A2#PDGFB#ITIH1#C1R#C1S#KLKB1#F10#ADAM9#F5#CP#HSPA5#HSPA1A",1,0.0794792164357391,0.169828500455461,"IL6",NA,NA,NA,NA,1,6.12000503164012e-05,0.000765000628955015,"FCER1G#S100A12#MMP8#LTA4H#CXCL1#CASP5#DOCK4#LTF#CR1#ITGAM#ANXA5#GNG2#F5#ZEB1#GMFB",1,1.8162298692781e-06,1.29730704948435e-05,"S100A12#CTSD#S100A9#ADAM9#F5#ITGAM#CR1#CTSB#CD55#PLA2G4A#LAMP2#PRKCD#PCSK9#PLSCR1#MSRB1#GCA#CDA#FCER1G#CLU#RHOG#USP15#TIMP1#GNB2#MMP8#VCPIP1#PIM1#ANG#CD46#TIMP2#SERPINB2#WAS#RAF1#DOCK4#C1QC#ME1#GPD2#CD59#ATOX1#CXCL1",NA,7.2676492674532e-06,4.03758292636289e-05,NA
"HALLMARK_IL6_JAK_STAT3_SIGNALING","hallmark",1,0.331939799331104,0.580894648829432,"CD14",1,0.24675489760219,0.474528649234981,"CSF1#A2M#CD14",1,0.0111652717935448,0.116034802829909,"IL6#CCL7#CXCL10",NA,NA,NA,NA,1,5.67329116996085e-06,0.000141832279249021,"IL18R1#FAS#IL1R1#CSF1#TLR2#CXCL1#CD44#IL1R2#EBI3",1,0.00214740063233709,0.00596500175649192,"IL10RB#IL1R2#IL1R1#FAS#IL17RA#IFNGR2#TLR2#IFNAR1#PIM1#STAT3#ACVRL1#LEPR#SOCS3#ACVR1B#CXCL1#PTPN1#CSF3R#IFNGR1#CXCL3#IL18R1",NA,2.8277714008529e-05,0.000141388570042645,NA
"HALLMARK_APOPTOSIS","hallmark",1,0.331939799331104,0.580894648829432,"CD14",1,0.394929208310793,0.508692306421205,"CD14#MMP2#F2#GPX3#PTK2#HSPB1",1,0.0741176074569769,0.169828500455461,"IL6#HGF#CASP8#TNF#IL18",NA,NA,NA,NA,1,0.0227951148054368,0.0876735184824494,"FAS#HMGB2#DPYD#CFLAR#CD44",1,0.0250815009828382,0.046447224042293,"GSR#GADD45A#DNAJC3#CFLAR#FAS#HMGB2#HGF#CLU#TSPO#TIMP1#BIK#DNAJA1#SOD2#GNA15#DAP#IL18#PPP2R5B#TOP2A#TIMP2#IGF2R",NA,0.0522745968962903,0.079203934691349,NA
"HALLMARK_MITOTIC_SPINDLE","hallmark",-1,0.437925232662075,0.664285714285711,"GSN#FLNA",1,0.508106285994752,0.577393506812218,"ARHGDIA#MARCKS",NA,NA,NA,NA,NA,NA,NA,NA,-1,0.168247438848745,0.312925386566269,"OPHN1#EZR#INCENP#CTTN#ARHGAP29#TBCD#TUBGCP6#LLGL1#ARFIP2#CDC42EP4",1,1.22418454989726e-05,7.65115343685785e-05,"WASF1#LMNB1#CDC42BPA#KIF1B#PPP4R2#BUB1#CCNB2#BIRC5#PLK1#ARL8A#KIF3C#AURKA#TPX2#KIF4A#TTK#NEK2#NUSAP1#CDK1#DLGAP5#KIF23#KIF2C#ESPL1#TUBA4A#YWHAE#ECT2#KIF15#ANLN#KPTN#KIF11#TOP2A#CENPE#MAP1S#CENPF#MYH9#RALBP1#SSH2#RANBP9#GSN#DOCK4",NA,4.89653807522216e-05,0.000222569912510098,NA
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","hallmark",-1,0.476190476190474,0.689655172413789,"CAT",-1,0.615470789675055,0.630832062223025,"PRNP",NA,NA,NA,NA,NA,NA,NA,NA,-1,0.0584797671704269,0.16244379769563,"PRDX1#TXNRD2#PDLIM1#STK25#PTPA",1,2.73342230413531e-05,0.000151856794674184,"TXN#GSR#TXNRD1#G6PD#MGST1#SBNO2#FTL#FES#GLRX#GCLM#SRXN1#SOD2",NA,0.000109292478345682,0.000420355685944931,NA
"HALLMARK_E2F_TARGETS","hallmark",-1,0.567691957165642,0.756582365003418,"RAN",1,0.0850207245769498,0.327002786834422,"JPT1#TMPO#ILF3#HMGA1#H2AZ1#HMGB2#STMN1#LMNB1#DEK#MKI67#RAN",NA,NA,NA,NA,NA,NA,NA,NA,1,0.422591110300572,0.54378068013371,"HMGB2#NBN#MTHFD2#LMNB1#LBR#XPO1",1,2.94447632942507e-09,4.90746054904179e-08,"HMGB3#LMNB1#CDKN3#LBR#UBE2S#TUBG1#HMGB2#SPAG5#CCNB2#BIRC5#HMMR#TRIP13#PLK1#CDC20#MTHFD2#MYBL2#DEPDC1#AURKA#CDCA8#AURKB#CDKN2C#MKI67#KIF4A#JPT1#CDK1#CKS2#DLGAP5#RRM2#KIF2C#TK1#CDC25A#KIF18B#DIAPH3#MELK#E2F8#ESPL1#BUB1B",NA,1.17779050063563e-08,1.96298416772605e-07,NA
