Module (or Feature),Analysis,P value,Q value,Direction
globalmet.globalmet_mod2,Visit 1 analysis - 1|3,0.30440278852922076,0.5053326924200503,Mild
globalmet.globalmet_mod2,Visit 1 analysis - 1|4,0.07478770144409125,0.20396645848388523,Mild
globalmet.globalmet_mod2,Visit 1 analysis - 1|5,0.8260864637123181,0.9140539916480654,Mild
globalmet.globalmet_mod2,Visit 1 analysis - 2|3,0.04594301534973897,0.1448211799974268,Severe
globalmet.globalmet_mod2,Visit 1 analysis - 2|4,0.827001230538726,0.9140539916480654,Mild
globalmet.globalmet_mod2,Visit 1 analysis - 2|5,0.017933683027691955,0.07415914975735062,Severe
globalmet.globalmet_mod2,Visit 1 analysis - 3|4,0.04873509439110776,0.145732009243325,Mild
globalmet.globalmet_mod2,Visit 1 analysis - 3|5,0.8819150522175572,0.9339066064349423,Severe
globalmet.globalmet_mod2,Visit 1 analysis - 4|5,0.14143967161182394,0.31101917317783273,Severe
globalmet.globalmet_mod20,Visit 1 analysis - 1|2,0.8601389371565257,0.928316659480004,Mild
globalmet.globalmet_mod20,Visit 1 analysis - 1|3,0.25073281695576327,0.44061833942016976,Severe
globalmet.globalmet_mod20,Visit 1 analysis - 1|4,0.5425044324294112,0.7185833550480472,Severe
globalmet.globalmet_mod20,Visit 1 analysis - 1|5,0.5440702545363786,0.7185833550480472,Mild
globalmet.globalmet_mod20,Visit 1 analysis - 2|3,0.18256132721870313,0.36167810109365717,Severe
globalmet.globalmet_mod20,Visit 1 analysis - 2|4,0.967496927024844,0.97837339167069,Severe
globalmet.globalmet_mod20,Visit 1 analysis - 2|5,0.32246102747858113,0.5229097742895911,Mild
globalmet.globalmet_mod20,Visit 1 analysis - 3|4,0.17021707189058755,0.35203287888640583,Mild
globalmet.globalmet_mod20,Visit 1 analysis - 3|5,0.03112068566885482,0.10713678672884447,Mild
globalmet.globalmet_mod20,Visit 1 analysis - 4|5,0.17145293687119786,0.35203287888640583,Mild
globalmet.globalmet_mod21,Visit 1 analysis - 1|2,0.00454994605056258,0.02729967630337548,Mild
globalmet.globalmet_mod21,Visit 1 analysis - 1|3,0.6895679787467307,0.8251240771328402,Mild
globalmet.globalmet_mod21,Visit 1 analysis - 1|4,0.06305629938904163,0.17894355232025327,Mild
globalmet.globalmet_mod21,Visit 1 analysis - 1|5,0.10037004023497088,0.24652290584027936,Mild
globalmet.globalmet_mod21,Visit 1 analysis - 2|3,0.003286536598560313,0.02029919663816664,Severe
globalmet.globalmet_mod21,Visit 1 analysis - 2|4,0.3803824829894128,0.587355304616005,Severe
globalmet.globalmet_mod21,Visit 1 analysis - 2|5,0.2305387250580078,0.41378745523232163,Severe
globalmet.globalmet_mod21,Visit 1 analysis - 3|4,0.13765402815252417,0.30728753182962926,Mild
globalmet.globalmet_mod21,Visit 1 analysis - 3|5,0.7517180512876623,0.8716708357917978,Mild
globalmet.globalmet_mod21,Visit 1 analysis - 4|5,0.9564063779819886,0.97837339167069,Mild
globalmet.globalmet_mod22,Visit 1 analysis - 1|2,0.33131382086172567,0.531055754615831,Mild
globalmet.globalmet_mod22,Visit 1 analysis - 1|3,0.22649453690325216,0.40827734980900926,Severe
globalmet.globalmet_mod22,Visit 1 analysis - 1|4,0.3338064743299509,0.531055754615831,Mild
globalmet.globalmet_mod22,Visit 1 analysis - 1|5,0.40304612862646066,0.6002814681670691,Mild
globalmet.globalmet_mod22,Visit 1 analysis - 2|3,0.002821887052714903,0.01851863378344155,Severe
globalmet.globalmet_mod22,Visit 1 analysis - 2|4,0.9283458502521409,0.9620512617815891,Severe
globalmet.globalmet_mod22,Visit 1 analysis - 2|5,0.8523048442990093,0.9273817302054217,Mild
globalmet.globalmet_mod22,Visit 1 analysis - 3|4,0.00766322799053178,0.03973525624720182,Mild
globalmet.globalmet_mod22,Visit 1 analysis - 3|5,0.0033819084066669183,0.020585529431885588,Mild
globalmet.globalmet_mod22,Visit 1 analysis - 4|5,0.514189247292901,0.6955421332741891,Mild
globalmet.globalmet_mod23,Visit 1 analysis - 1|2,0.001004647301855019,0.0072750321858466895,Mild
globalmet.globalmet_mod23,Visit 1 analysis - 1|3,0.035118746871492974,0.11435984585844938,Mild
globalmet.globalmet_mod23,Visit 1 analysis - 1|4,0.07098422393249229,0.19614061876083397,Mild
globalmet.globalmet_mod23,Visit 1 analysis - 1|5,0.053933459055063165,0.15840596365822748,Mild
globalmet.globalmet_mod23,Visit 1 analysis - 2|3,0.2068013519697286,0.38802269686570334,Severe
globalmet.globalmet_mod23,Visit 1 analysis - 2|4,0.2621508639905648,0.45310025874912435,Severe
globalmet.globalmet_mod23,Visit 1 analysis - 2|5,0.3185939624527186,0.5186413342253559,Severe
globalmet.globalmet_mod23,Visit 1 analysis - 3|4,0.5558132937488679,0.7205962346553803,Mild
globalmet.globalmet_mod23,Visit 1 analysis - 3|5,0.7059780806652227,0.8352416728997001,Mild
globalmet.globalmet_mod23,Visit 1 analysis - 4|5,0.9703460040348169,0.97837339167069,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 1|2,0.25317700132216214,0.44303000823460775,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 1|3,0.5546387964766277,0.7205962346553803,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 1|4,1.1547224405091843e-5,2.1214381019214772e-4,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 1|5,9.504840406506922e-4,0.00700356661532089,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 2|3,0.5981934639971714,0.7659794356061342,Mild
globalmet.globalmet_mod24,Visit 1 analysis - 2|4,6.229629484382055e-4,0.005031623814308583,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 2|5,0.03459143210589643,0.11435984585844938,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 3|4,1.424090831396941e-4,0.0015739951294387244,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 3|5,0.01728509918424108,0.07259741657381254,Severe
globalmet.globalmet_mod24,Visit 1 analysis - 4|5,0.8620083266600037,0.928316659480004,Severe
globalmet.globalmet_mod25,Visit 1 analysis - 1|2,0.8037485552409313,0.9037526189427034,Mild
globalmet.globalmet_mod25,Visit 1 analysis - 1|3,0.38697367927802384,0.592249417336415,Severe
globalmet.globalmet_mod25,Visit 1 analysis - 1|4,0.10569043218307153,0.2522158040732389,Mild
globalmet.globalmet_mod25,Visit 1 analysis - 1|5,0.4643482696755111,0.6511154524575116,Mild
globalmet.globalmet_mod25,Visit 1 analysis - 2|3,0.4458126270266088,0.636443515073092,Severe
globalmet.globalmet_mod25,Visit 1 analysis - 2|4,0.05533550722181719,0.16139522939696682,Mild
globalmet.globalmet_mod25,Visit 1 analysis - 2|5,0.10872340775315846,0.2559855318287432,Mild
globalmet.globalmet_mod25,Visit 1 analysis - 3|4,0.0059774527528188535,0.03218628405363998,Mild
globalmet.globalmet_mod25,Visit 1 analysis - 3|5,0.08232351975132374,0.21475700804693146,Mild
globalmet.globalmet_mod25,Visit 1 analysis - 4|5,0.68031758618988325,0.8220853687695712,Severe
globalmet.globalmet_mod26,Visit 1 analysis - 1|2,0.5046268058431931,0.6881274625134451,Mild
globalmet.globalmet_mod26,Visit 1 analysis - 1|3,0.19149041332928748,0.37200192988376074,Severe
globalmet.globalmet_mod26,Visit 1 analysis - 1|4,0.4075357081674709,0.6048233124746919,Mild
globalmet.globalmet_mod26,Visit 1 analysis - 1|5,0.7755150103927276,0.885098653165613,Severe
globalmet.globalmet_mod26,Visit 1 analysis - 2|3,0.01801007922678515,0.07415914975735062,Severe
globalmet.globalmet_mod26,Visit 1 analysis - 2|4,0.7554480576862247,0.8716708357917978,Severe
globalmet.globalmet_mod26,Visit 1 analysis - 2|5,0.08918117363939895,0.22163368596773705,Severe
globalmet.globalmet_mod26,Visit 1 analysis - 3|4,0.04769164967895807,0.145732009243325,Mild
globalmet.globalmet_mod26,Visit 1 analysis - 3|5,0.6236059258476249,0.7841070570481271,Mild
globalmet.globalmet_mod26,Visit 1 analysis - 4|5,0.550263426792053,0.7205962346553803,Severe
globalmet.globalmet_mod27,Visit 1 analysis - 1|2,0.41911765427201386,0.6148186836493441,Mild
globalmet.globalmet_mod27,Visit 1 analysis - 1|3,0.22649672025118844,0.40827734980900926,Mild
globalmet.globalmet_mod27,Visit 1 analysis - 1|4,0.0417171365124107,0.13374959797872132,Mild
globalmet.globalmet_mod27,Visit 1 analysis - 1|5,0.30069685644249017,0.5018838971170619,Severe
globalmet.globalmet_mod27,Visit 1 analysis - 2|3,0.8760391510565736,0.9314846669462302,Mild
globalmet.globalmet_mod27,Visit 1 analysis - 2|4,0.08701210228589375,0.2175302557147344,Mild
globalmet.globalmet_mod27,Visit 1 analysis - 2|5,0.046204852665845696,0.1448211799974268,Severe
