Module,Feature
globalprot_mod6,SERPINC1
globalprot_mod6,KNG1
globalprot_mod6,APOA1
globalprot_mod6,APOA2
globalprot_mod6,APOC1
globalprot_mod6,APOC3
globalprot_mod6,APOH
globalprot_mod6,ORM1
globalprot_mod6,AHSG
globalprot_mod6,TTR
globalprot_mod6,HRG
globalprot_mod6,APOD
globalprot_mod6,SERPINA5
globalprot_mod6,SERPINA7
globalprot_mod6,SERPINA6
globalprot_mod6,KIT
globalprot_mod6,LAMP1
globalprot_mod6,LAMP2
globalprot_mod6,ICAM2
globalprot_mod6,LCP1
globalprot_mod6,SELL
globalprot_mod6,IGFBP3
globalprot_mod6,ORM2
globalprot_mod6,CFP
globalprot_mod6,SERPINA4
globalprot_mod6,IL6ST
globalprot_mod6,MAP1B
globalprot_mod6,PTPRJ
globalprot_mod6,CCL14
globalprot_mod6,CC2D2B
globalprot_mod6,PRG4
globalprot_mod6,MENT
globalprot_mod6,MMRN2
globalprot_mod6,CDHR5
globalprot_mod6,IL1RAP
globalprot_mod6,FETUB
globalprot_mod6,HPX
globalprot_mod6,SELENOP
globalprot_mod7,CHL1
globalprot_mod7,PODXL
globalprot_mod7,FCGR3B
globalprot_mod7,ICAM1
globalprot_mod7,ITGB1
globalprot_mod7,CSF1R
globalprot_mod7,FCGR3A
globalprot_mod7,PDGFRB
globalprot_mod7,FGFR1
globalprot_mod7,CEACAM1
globalprot_mod7,PVR
globalprot_mod7,CD44
globalprot_mod7,SELP
globalprot_mod7,SELE
globalprot_mod7,ENG
globalprot_mod7,CEACAM8
globalprot_mod7,ICAM3
globalprot_mod7,TGFBR2
globalprot_mod7,BST1
globalprot_mod7,MERTK
globalprot_mod7,LSAMP
globalprot_mod7,ALCAM
globalprot_mod7,GPNMB
globalprot_mod7,NECTIN1
globalprot_mod7,PI16
globalprot_mod7,CD109
globalprot_mod7,NEGR1
globalprot_mod7,CCDC126
globalprot_mod7,BOC
globalprot_mod7,CADM1
globalprot_mod7,HEG1
globalprot_mod7,PROCR
globalprot_mod7,LYVE1
globalprot_mod7,ICOSLG
globalprot_mod7,CEACAM5
globalprot_mod8,KRT14
globalprot_mod8,KRT18
globalprot_mod8,KRT19
globalprot_mod8,KRT13
globalprot_mod8,KRT15
globalprot_mod8,KRT4
globalprot_mod8,KRT9
globalprot_mod8,KRT17
globalprot_mod8,KRT80
globalprot_mod8,KRT35
globalprot_mod8,KRT1
globalprot_mod8,KRT2
globalprot_mod8,KRT5
globalprot_mod8,KRT6B
globalprot_mod8,KRT6A
globalprot_mod8,KRT77
globalprot_mod8,KRT75
globalprot_mod8,KRT8
globalprot_mod8,KRT16
globalprot_mod8,KRT10
globalprot_mod8,KRT31
globalprot_mod8,KRT33B
globalprot_mod8,KRT36
