Module,Feature
mod0,ENSG00000112855
mod0,ENSG00000112874
mod0,ENSG00000112972
mod0,ENSG00000113108
mod0,ENSG00000113119
mod0,ENSG00000113141
mod0,ENSG00000113194
mod0,ENSG00000113300
mod0,ENSG00000113312
mod0,ENSG00000113318
mod0,ENSG00000113389
mod0,ENSG00000113407
mod0,ENSG00000114021
mod0,ENSG00000114026
mod0,ENSG00000114054
mod0,ENSG00000114124
mod0,ENSG00000114354
mod0,ENSG00000114374
mod0,ENSG00000114405
mod0,ENSG00000114520
mod0,ENSG00000114541
mod0,ENSG00000114650
mod0,ENSG00000114670
mod0,ENSG00000114737
mod0,ENSG00000114742
mod0,ENSG00000114770
mod0,ENSG00000114790
mod0,ENSG00000115112
mod0,ENSG00000115138
mod0,ENSG00000115274
mod0,ENSG00000115306
mod0,ENSG00000115459
mod0,ENSG00000115474
mod0,ENSG00000115556
mod0,ENSG00000115657
mod0,ENSG00000115839
mod0,ENSG00000116014
mod0,ENSG00000116095
mod0,ENSG00000116117
mod0,ENSG00000116128
mod0,ENSG00000116221
mod0,ENSG00000116285
mod0,ENSG00000116288
mod0,ENSG00000116350
mod0,ENSG00000116525
mod0,ENSG00000116539
mod0,ENSG00000116544
mod0,ENSG00000116704
mod0,ENSG00000116761
mod0,ENSG00000116774
mod0,ENSG00000116819
mod0,ENSG00000116830
mod0,ENSG00000116857
mod0,ENSG00000116922
mod0,ENSG00000117013
mod0,ENSG00000117481
mod0,ENSG00000117533
mod0,ENSG00000117569
mod0,ENSG00000117595
mod0,ENSG00000117616
mod0,ENSG00000118276
mod0,ENSG00000118369
mod0,ENSG00000118432
mod0,ENSG00000118515
mod0,ENSG00000118557
mod0,ENSG00000118762
mod0,ENSG00000118939
mod0,ENSG00000118965
mod0,ENSG00000118997
mod0,ENSG00000119042
mod0,ENSG00000119383
mod0,ENSG00000119392
mod0,ENSG00000119397
mod0,ENSG00000119559
mod0,ENSG00000119574
mod0,ENSG00000119630
mod0,ENSG00000119689
mod0,ENSG00000119711
mod0,ENSG00000119771
mod0,ENSG00000119772
mod0,ENSG00000119787
mod0,ENSG00000120158
mod0,ENSG00000120162
mod0,ENSG00000120210
mod0,ENSG00000120215
mod0,ENSG00000120256
mod0,ENSG00000120314
mod0,ENSG00000120451
mod0,ENSG00000120500
mod0,ENSG00000120685
mod0,ENSG00000120738
mod0,ENSG00000121053
mod0,ENSG00000121454
mod0,ENSG00000121481
mod0,ENSG00000121716
mod0,ENSG00000121764
mod0,ENSG00000121769
mod0,ENSG00000121851
mod0,ENSG00000122012
mod0,ENSG00000122481
mod0,ENSG00000122483
mod0,ENSG00000122550
mod0,ENSG00000122674
mod0,ENSG00000122678
mod0,ENSG00000122711
mod0,ENSG00000122729
mod0,ENSG00000122779
mod0,ENSG00000122870
mod0,ENSG00000122877
mod0,ENSG00000122970
mod0,ENSG00000122971
mod0,ENSG00000123104
mod0,ENSG00000123119
mod0,ENSG00000123179
mod0,ENSG00000123191
mod0,ENSG00000123416
mod0,ENSG00000123444
mod0,ENSG00000123562
mod0,ENSG00000123575
mod0,ENSG00000123595
mod0,ENSG00000123892
mod0,ENSG00000123983
mod0,ENSG00000124006
mod0,ENSG00000124019
mod0,ENSG00000124067
mod0,ENSG00000124074
mod0,ENSG00000124151
mod0,ENSG00000124191
mod0,ENSG00000124194
mod0,ENSG00000124217
mod0,ENSG00000124226
mod0,ENSG00000124391
