"","Clinical Variable","Rate of Clinical Event in Virus Negative Participants","Rate of Clinical Event in Virus Positive Participants","Percent Difference","virus"
"980","ncomp","4.1% (6/146)","0% (0/11)",-4.1,"Human betaherpesvirus 5 (CMV).ea"
"981","comp_seizure","2.1% (3/146)","0% (0/11)",-2.1,"Human betaherpesvirus 5 (CMV).ea"
"982","comp_meningitis","2.7% (4/146)","18.2% (2/11)",15.4,"Human betaherpesvirus 5 (CMV).ea"
"983","comp_stroke","6.8% (10/146)","0% (0/11)",-6.8,"Human betaherpesvirus 5 (CMV).ea"
"984","comp_afib","15.8% (23/146)","9.1% (1/11)",-6.7,"Human betaherpesvirus 5 (CMV).ea"
"985","comp_ventricular_arr","8.9% (13/146)","27.3% (3/11)",18.4,"Human betaherpesvirus 5 (CMV).ea"
"986","comp_myocard","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"987","comp_cardarrest","15.1% (22/146)","0% (0/11)",-15.1,"Human betaherpesvirus 5 (CMV).ea"
"988","comp_stemi","2.1% (3/146)","9.1% (1/11)",7,"Human betaherpesvirus 5 (CMV).ea"
"989","comp_nstemi","4.8% (7/146)","0% (0/11)",-4.8,"Human betaherpesvirus 5 (CMV).ea"
"990","comp_chf","8.9% (13/146)","18.2% (2/11)",9.3,"Human betaherpesvirus 5 (CMV).ea"
"991","comp_pneumonia","85.6% (125/146)","81.8% (9/11)",-3.8,"Human betaherpesvirus 5 (CMV).ea"
"992","comp_bronch","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"993","comp_pneumo","8.2% (12/146)","27.3% (3/11)",19.1,"Human betaherpesvirus 5 (CMV).ea"
"994","comp_pneumomed","4.8% (7/146)","0% (0/11)",-4.8,"Human betaherpesvirus 5 (CMV).ea"
"995","comp_aat","3.4% (5/146)","9.1% (1/11)",5.7,"Human betaherpesvirus 5 (CMV).ea"
"996","comp_avthromb","19.9% (29/146)","45.5% (5/11)",25.6,"Human betaherpesvirus 5 (CMV).ea"
"997","comp_shock","65.8% (96/146)","81.8% (9/11)",16.1,"Human betaherpesvirus 5 (CMV).ea"
"998","comp_bac","33.6% (49/146)","63.6% (7/11)",30.1,"Human betaherpesvirus 5 (CMV).ea"
"999","comp_coag","4.8% (7/146)","9.1% (1/11)",4.3,"Human betaherpesvirus 5 (CMV).ea"
"1000","comp_hypogly","3.4% (5/146)","0% (0/11)",-3.4,"Human betaherpesvirus 5 (CMV).ea"
"1001","comp_bleed","13.7% (20/146)","18.2% (2/11)",4.5,"Human betaherpesvirus 5 (CMV).ea"
"1002","comp_anemia","32.2% (47/146)","54.5% (6/11)",22.4,"Human betaherpesvirus 5 (CMV).ea"
"1003","comp_pancreas","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"1004","comp_renal","46.6% (68/146)","63.6% (7/11)",17.1,"Human betaherpesvirus 5 (CMV).ea"
"1005","comp_liver","15.1% (22/146)","18.2% (2/11)",3.1,"Human betaherpesvirus 5 (CMV).ea"
"1006","comp_othlab","4.1% (6/146)","0% (0/11)",-4.1,"Human betaherpesvirus 5 (CMV).ea"
"1007","comp_electrolyte","8.2% (12/146)","9.1% (1/11)",0.9,"Human betaherpesvirus 5 (CMV).ea"
"1008","comp_othinf","5.5% (8/146)","9.1% (1/11)",3.6,"Human betaherpesvirus 5 (CMV).ea"
"1009","comp_unddisease","1.4% (2/146)","0% (0/11)",-1.4,"Human betaherpesvirus 5 (CMV).ea"
"1010","comp_enceph","6.8% (10/146)","18.2% (2/11)",11.3,"Human betaherpesvirus 5 (CMV).ea"
"1011","comp_othneuro","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"1012","comp_hypergly","6.8% (10/146)","9.1% (1/11)",2.2,"Human betaherpesvirus 5 (CMV).ea"
"1013","comp_psych","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"1014","comp_gastroent","0.7% (1/146)","0% (0/11)",-0.7,"Human betaherpesvirus 5 (CMV).ea"
"1015","comorb_htn","57.5% (84/146)","81.8% (9/11)",24.3,"Human gammaherpesvirus 4 (EBV).ea"
"1016","comorb_isaric_dm","47.9% (70/146)","63.6% (7/11)",15.7,"Human gammaherpesvirus 4 (EBV).ea"
"1017","comorb_anyresp_noasthma","21.2% (31/146)","36.4% (4/11)",15.1,"Human gammaherpesvirus 4 (EBV).ea"
"1018","comorb_isaric_asthma","14.4% (21/146)","36.4% (4/11)",22,"Human gammaherpesvirus 4 (EBV).ea"
"1019","comorb_isaric_cardiac","19.2% (28/146)","45.5% (5/11)",26.3,"Human gammaherpesvirus 4 (EBV).ea"
"1020","comorb_isaric_ckd","11.6% (17/146)","36.4% (4/11)",24.7,"Human gammaherpesvirus 4 (EBV).ea"
"1021","comorb_isaric_neoplasm","5.5% (8/146)","18.2% (2/11)",12.7,"Human gammaherpesvirus 4 (EBV).ea"
"1022","comorb_neuro","13% (19/146)","18.2% (2/11)",5.2,"Human gammaherpesvirus 4 (EBV).ea"
"1023","comorb_isaric_liver","6.8% (10/146)","27.3% (3/11)",20.4,"Human gammaherpesvirus 4 (EBV).ea"
"1024","comorb_hxtrans","5.5% (8/146)","9.1% (1/11)",3.6,"Human gammaherpesvirus 4 (EBV).ea"
"1025","comorb_hiv2","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1026","comorb_eversmkvape","28.1% (41/146)","18.2% (2/11)",-9.9,"Human gammaherpesvirus 4 (EBV).ea"
"1027","comorb_anysubstance","4.8% (7/146)","9.1% (1/11)",4.3,"Human gammaherpesvirus 4 (EBV).ea"
"1028","comorb_count","12.3% (18/146)","0% (0/11)",-12.3,"Human gammaherpesvirus 4 (EBV).ea"
"1029","comorb_countcat","12.3% (18/146)","0% (0/11)",-12.3,"Human gammaherpesvirus 4 (EBV).ea"
"1030","timesymptomcat","19.2% (28/146)","18.2% (2/11)",-1,"Human gammaherpesvirus 4 (EBV).ea"
"1031","symptom_allresp","87% (127/146)","100% (11/11)",13,"Human gammaherpesvirus 4 (EBV).ea"
"1032","symptom_cough","53.4% (78/146)","81.8% (9/11)",28.4,"Human gammaherpesvirus 4 (EBV).ea"
"1033","symptom_cough_prod","10.3% (15/146)","0% (0/11)",-10.3,"Human gammaherpesvirus 4 (EBV).ea"
"1034","symptom_haemoptysis","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1035","symptom_sorethroat","6.2% (9/146)","9.1% (1/11)",2.9,"Human gammaherpesvirus 4 (EBV).ea"
"1036","symptom_rhinorrhea","6.2% (9/146)","9.1% (1/11)",2.9,"Human gammaherpesvirus 4 (EBV).ea"
"1037","symptom_wheeze","7.5% (11/146)","9.1% (1/11)",1.6,"Human gammaherpesvirus 4 (EBV).ea"
"1038","symptom_chestpain","19.9% (29/146)","27.3% (3/11)",7.4,"Human gammaherpesvirus 4 (EBV).ea"
"1039","symptom_dyspnea","76% (111/146)","90.9% (10/11)",14.9,"Human gammaherpesvirus 4 (EBV).ea"
"1040","symptom_earpain","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1041","symptom_allsyst","63% (92/146)","45.5% (5/11)",-17.6,"Human gammaherpesvirus 4 (EBV).ea"
"1042","symptom_fever","46.6% (68/146)","36.4% (4/11)",-10.2,"Human gammaherpesvirus 4 (EBV).ea"
"1043","symptom_chills","16.4% (24/146)","18.2% (2/11)",1.7,"Human gammaherpesvirus 4 (EBV).ea"
"1044","symptom_shaking","1.4% (2/146)","0% (0/11)",-1.4,"Human gammaherpesvirus 4 (EBV).ea"
"1045","symptom_fatigue","34.9% (51/146)","9.1% (1/11)",-25.8,"Human gammaherpesvirus 4 (EBV).ea"
"1046","symptom_myalgia","11.6% (17/146)","9.1% (1/11)",-2.6,"Human gammaherpesvirus 4 (EBV).ea"
"1047","symptom_lymphadenopathy","1.4% (2/146)","0% (0/11)",-1.4,"Human gammaherpesvirus 4 (EBV).ea"
"1048","symptom_allneuro","34.2% (50/146)","9.1% (1/11)",-25.2,"Human gammaherpesvirus 4 (EBV).ea"
"1049","symptom_headache","14.4% (21/146)","0% (0/11)",-14.4,"Human gammaherpesvirus 4 (EBV).ea"
"1050","symptom_confusion","11.6% (17/146)","9.1% (1/11)",-2.6,"Human gammaherpesvirus 4 (EBV).ea"
"1051","symptom_syncope","2.1% (3/146)","0% (0/11)",-2.1,"Human gammaherpesvirus 4 (EBV).ea"
"1052","symptom_anosmia","8.9% (13/146)","0% (0/11)",-8.9,"Human gammaherpesvirus 4 (EBV).ea"
"1053","symptom_allGI","28.1% (41/146)","18.2% (2/11)",-9.9,"Human gammaherpesvirus 4 (EBV).ea"
"1054","symptom_abdpain","8.2% (12/146)","0% (0/11)",-8.2,"Human gammaherpesvirus 4 (EBV).ea"
"1055","symptom_nausea","13% (19/146)","18.2% (2/11)",5.2,"Human gammaherpesvirus 4 (EBV).ea"
"1056","symptom_diarrhea","14.4% (21/146)","0% (0/11)",-14.4,"Human gammaherpesvirus 4 (EBV).ea"
"1057","symptom_allderm","1.4% (2/146)","0% (0/11)",-1.4,"Human gammaherpesvirus 4 (EBV).ea"
"1058","symptom_skinrash","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1059","symptom_skinulcer","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1060","symptom_allother","7.5% (11/146)","27.3% (3/11)",19.7,"Human gammaherpesvirus 4 (EBV).ea"
"1061","symptom_arthralgia","2.1% (3/146)","0% (0/11)",-2.1,"Human gammaherpesvirus 4 (EBV).ea"
"1062","symptom_edema","1.4% (2/146)","27.3% (3/11)",25.9,"Human gammaherpesvirus 4 (EBV).ea"
"1063","symptom_nonamb","4.8% (7/146)","0% (0/11)",-4.8,"Human gammaherpesvirus 4 (EBV).ea"
"1064","ever_ever_esc","42.5% (62/146)","45.5% (5/11)",3,"Human gammaherpesvirus 4 (EBV).ea"
"1065","ever_icu","97.9% (143/146)","100% (11/11)",2.1,"Human gammaherpesvirus 4 (EBV).ea"
"1066","diedever","41.8% (61/146)","72.7% (8/11)",30.9,"Human gammaherpesvirus 4 (EBV).ea"
"1067","ever_remdes","66.4% (97/146)","90.9% (10/11)",24.5,"Human gammaherpesvirus 4 (EBV).ea"
"1068","ever_steroids","85.6% (125/146)","90.9% (10/11)",5.3,"Human gammaherpesvirus 4 (EBV).ea"
"1069","ever_azithro","44.5% (65/146)","54.5% (6/11)",10,"Human gammaherpesvirus 4 (EBV).ea"
"1070","ever_otherabx","92.5% (135/146)","100% (11/11)",7.5,"Human gammaherpesvirus 4 (EBV).ea"
"1071","ever_conplas","13.7% (20/146)","9.1% (1/11)",-4.6,"Human gammaherpesvirus 4 (EBV).ea"
"1072","ever_monoclonal","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1073","ever_immsupp","8.2% (12/146)","9.1% (1/11)",0.9,"Human gammaherpesvirus 4 (EBV).ea"
"1074","anycomp","96.6% (141/146)","100% (11/11)",3.4,"Human gammaherpesvirus 4 (EBV).ea"
"1075","ncomp","3.4% (5/146)","9.1% (1/11)",5.7,"Human gammaherpesvirus 4 (EBV).ea"
"1076","comp_seizure","2.1% (3/146)","0% (0/11)",-2.1,"Human gammaherpesvirus 4 (EBV).ea"
"1077","comp_meningitis","3.4% (5/146)","9.1% (1/11)",5.7,"Human gammaherpesvirus 4 (EBV).ea"
"1078","comp_stroke","5.5% (8/146)","18.2% (2/11)",12.7,"Human gammaherpesvirus 4 (EBV).ea"
"1079","comp_afib","14.4% (21/146)","27.3% (3/11)",12.9,"Human gammaherpesvirus 4 (EBV).ea"
"1080","comp_ventricular_arr","10.3% (15/146)","9.1% (1/11)",-1.2,"Human gammaherpesvirus 4 (EBV).ea"
"1081","comp_myocard","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1082","comp_cardarrest","14.4% (21/146)","9.1% (1/11)",-5.3,"Human gammaherpesvirus 4 (EBV).ea"
"1083","comp_stemi","2.1% (3/146)","9.1% (1/11)",7,"Human gammaherpesvirus 4 (EBV).ea"
"1084","comp_nstemi","4.8% (7/146)","0% (0/11)",-4.8,"Human gammaherpesvirus 4 (EBV).ea"
"1085","comp_chf","6.8% (10/146)","45.5% (5/11)",38.6,"Human gammaherpesvirus 4 (EBV).ea"
"1086","comp_pneumonia","85.6% (125/146)","81.8% (9/11)",-3.8,"Human gammaherpesvirus 4 (EBV).ea"
"1087","comp_bronch","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1088","comp_pneumo","9.6% (14/146)","9.1% (1/11)",-0.5,"Human gammaherpesvirus 4 (EBV).ea"
"1089","comp_pneumomed","4.1% (6/146)","9.1% (1/11)",5,"Human gammaherpesvirus 4 (EBV).ea"
"1090","comp_aat","3.4% (5/146)","9.1% (1/11)",5.7,"Human gammaherpesvirus 4 (EBV).ea"
"1091","comp_avthromb","21.2% (31/146)","27.3% (3/11)",6,"Human gammaherpesvirus 4 (EBV).ea"
"1092","comp_shock","65.8% (96/146)","81.8% (9/11)",16.1,"Human gammaherpesvirus 4 (EBV).ea"
"1093","comp_bac","34.2% (50/146)","54.5% (6/11)",20.3,"Human gammaherpesvirus 4 (EBV).ea"
"1094","comp_coag","5.5% (8/146)","0% (0/11)",-5.5,"Human gammaherpesvirus 4 (EBV).ea"
"1095","comp_hypogly","3.4% (5/146)","0% (0/11)",-3.4,"Human gammaherpesvirus 4 (EBV).ea"
"1096","comp_bleed","13% (19/146)","27.3% (3/11)",14.3,"Human gammaherpesvirus 4 (EBV).ea"
"1097","comp_anemia","31.5% (46/146)","63.6% (7/11)",32.1,"Human gammaherpesvirus 4 (EBV).ea"
"1098","comp_pancreas","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1099","comp_renal","46.6% (68/146)","63.6% (7/11)",17.1,"Human gammaherpesvirus 4 (EBV).ea"
"1100","comp_liver","14.4% (21/146)","27.3% (3/11)",12.9,"Human gammaherpesvirus 4 (EBV).ea"
"1101","comp_othlab","4.1% (6/146)","0% (0/11)",-4.1,"Human gammaherpesvirus 4 (EBV).ea"
"1102","comp_electrolyte","8.2% (12/146)","9.1% (1/11)",0.9,"Human gammaherpesvirus 4 (EBV).ea"
"1103","comp_othinf","5.5% (8/146)","9.1% (1/11)",3.6,"Human gammaherpesvirus 4 (EBV).ea"
"1104","comp_unddisease","1.4% (2/146)","0% (0/11)",-1.4,"Human gammaherpesvirus 4 (EBV).ea"
"1105","comp_enceph","6.8% (10/146)","18.2% (2/11)",11.3,"Human gammaherpesvirus 4 (EBV).ea"
"1106","comp_othneuro","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1107","comp_hypergly","7.5% (11/146)","0% (0/11)",-7.5,"Human gammaherpesvirus 4 (EBV).ea"
"1108","comp_psych","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
"1109","comp_gastroent","0.7% (1/146)","0% (0/11)",-0.7,"Human gammaherpesvirus 4 (EBV).ea"
