term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,direction,log10p,signedlog10p,Label,panel
binary,1,379.40268054463,0.358326874391025,0.6658704942036864,HSV2.nasal,comorb_hxtrans,-16.3266216428431,-1,0.17661022897054,-0.17661022897054,Organ/BM Transplant,Complications & Comorbidities
binary,1,562.761776820889,0.404820356531218,0.6658704942036864,HSV2.nasal,comorb_anysubstance,-13.4676778889553,-1,0.17661022897054,-0.17661022897054,Substance Use,Complications & Comorbidities
binary,1,824.187717032871,0.0931603141816595,0.7982071348476583,HSV2.nasal,ever_icu,-0.370898507889508,-1,0.09788439455360104,-0.09788439455360104,ICU,Clinical Event
binary,1,1347.60404680537,0.368473004655698,0.6658704942036864,HSV2.nasal,ever_remdes,-0.646284333199441,-1,0.17661022897054,-0.17661022897054,Remdesivir,Medication
binary,1,1106.22428464033,1.44998361120383,0.3917667124238863,HSV2.nasal,ever_steroids,13.8977936523003,1,0.4069724678430137,0.4069724678430137,Steroids,Medication
binary,1,1250.08151251498,2.77289372454834,0.20649504662482446,HSV2.nasal,ever_azithro,-13.655648632722,-1,0.6850903616797688,-0.6850903616797688,Azithromycin,Medication
binary,1,460.079522875045,1.0554636223211,0.4914841819235913,HSV2.nasal,ever_conplas,-15.4576897011377,-1,0.3084904550726304,-0.3084904550726304,Conv Plasma,Medication
binary,1,467.074376828564,0.536059974399507,0.618760271226164,HSV2.nasal,ever_immsupp,-13.8615798733015,-1,0.20847757884654172,-0.20847757884654172,Immunosupressed,Medication
binary,1,774.441193418846,0.10239044902562,0.7963834186076894,HSV2.nasal,ncomp,-0.413963863057708,-1,0.09887779093763403,-0.09887779093763403,Number of Complications,Clinical Event
binary,1,183.425300195742,3.02240246827998,0.20288897107290668,HSV2.nasal,comp_stroke,2.76194224969061,1,0.6927415603218093,0.6927415603218093,Stroke,Complications & Comorbidities
binary,1,134.077043248964,3.12183151847452,0.1966361374577646,HSV2.nasal,comp_stemi,2.82488346416434,1,0.706336665261396,0.706336665261396,STEMI,Complications & Comorbidities
binary,1,489.195758000815,0.831194181832359,0.5138396482718856,HSV2.nasal,comp_chf,-18.2235710189587,-1,0.2891723882725472,-0.2891723882725472,CHF,Complications & Comorbidities
binary,1,249.926222625265,0.165462038307993,0.7811421929579122,HSV2.nasal,comp_pneumo,-17.5756518097043,-1,0.10726990338764814,-0.10726990338764814,Pneumothorax,Complications & Comorbidities
binary,1,493.054400061309,0.565399058875983,0.6125131269896114,HSV2.nasal,comp_avthromb,-16.9289016301873,-1,0.21288459934210435,-0.21288459934210435,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,586.416330791131,0.00143694695759677,0.9934144915121393,HSV2.nasal,comp_shock,0.0618651707077157,1,0.002869508989625488,0.002869508989625488,Shock,Complications & Comorbidities
binary,1,693.430665527295,9.17572998205901,0.013733749673504167,HSV2.nasal,comp_bac,3.59913850276903,1,1.862210872800747,1.862210872800747,Bacteremia,Complications & Comorbidities
binary,1,1014.58457241686,1.6179664362425e-4,0.999999307550516,HSV2.nasal,comp_renal,0.0172764378083563,1,3.0072709400600865e-7,3.0072709400600865e-7,Renal,Complications & Comorbidities
binary,1,791.724089571253,0.852675332119134,0.5138396482718856,HSV2.nasal,comp_liver,-13.3561967502274,-1,0.2891723882725472,-0.2891723882725472,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,300.999978558645,0.18471726538354,0.7785752936853396,HSV2.nasal,comp_othinf,-13.7925200656212,-1,0.10869938174599265,-0.10869938174599265,Other Infection,Complications & Comorbidities
binary,1,38.6865308710931,7.53175299905706e-13,0.999999307550516,HSV2.nasal,comp_pulmvas,-1.72459844684034,-1,3.0072709400600865e-7,-3.0072709400600865e-7,Pulm Vascular Disease,Complications & Comorbidities
binary,1,429.482098565294,0.170917129583017,0.750803062148212,CMV.nasal,comorb_isaric_liver,0.334777748184408,1,0.12447396477823618,0.12447396477823618,Liver Disease,Complications & Comorbidities
binary,1,379.420860645767,0.445378429886262,0.6142200213730244,CMV.nasal,comorb_hxtrans,-0.701814450080272,-1,0.21167603121742504,-0.21167603121742504,Organ/BM Transplant,Complications & Comorbidities
binary,1,562.942331689019,3.65217477102419,0.13674325922360833,CMV.nasal,comorb_anysubstance,-14.8949677238514,-1,0.8640940730687163,-0.8640940730687163,Substance Use,Complications & Comorbidities
binary,1,824.203167419753,3.27945707095,0.15926430038263148,CMV.nasal,ever_icu,1.34039695509832,1,0.7978815618281978,0.7978815618281978,ICU,Clinical Event
binary,1,1349.09851580111,0.802341150547591,0.4897755389201443,CMV.nasal,ever_remdes,-0.399705882831772,-1,0.31000290883417264,-0.31000290883417264,Remdesivir,Medication
binary,1,1106.59904302286,0.558851911136799,0.5701007223227501,CMV.nasal,ever_steroids,-0.395683194598458,-1,0.24404840874049918,-0.24404840874049918,Steroids,Medication
binary,1,1250.93900194834,9.24254148931959,0.013241566454854527,CMV.nasal,ever_azithro,-1.65027378477637,-1,1.8780606355565488,-1.8780606355565488,Azithromycin,Medication
binary,1,460.859450388397,3.6168229570421e-4,0.9966921716184092,CMV.nasal,ever_conplas,0.0387224209315733,1,0.0014389528319436896,0.0014389528319436896,Conv Plasma,Medication
binary,1,467.106024688495,0.0562571093579436,0.8426057036281432,CMV.nasal,ever_immsupp,-0.191251463977022,-1,0.07437560544434099,-0.07437560544434099,Immunosupressed,Medication
binary,1,774.501912505845,0.98842052677844106,0.4636346952882366,CMV.nasal,ncomp,0.964415216194843,1,0.3338240718274612,0.3338240718274612,Number of Complications,Clinical Event
binary,1,183.549809403807,0.8770951103063,0.4805881555225056,CMV.nasal,comp_stroke,0.815114071933265,1,0.31822693693329474,0.31822693693329474,Stroke,Complications & Comorbidities
binary,1,134.196270209897,2.5318466477745,0.2102764086994164,CMV.nasal,comp_stemi,1.52764184844574,1,0.677209448884662,0.677209448884662,STEMI,Complications & Comorbidities
binary,1,489.892207408999,1.58708720538425,0.32925271587028165,CMV.nasal,comp_chf,-1.12833789093827,-1,0.482470634034782,-0.482470634034782,CHF,Complications & Comorbidities
binary,1,249.994285350325,8.18967174769159,0.020816952040948463,CMV.nasal,comp_pneumo,1.87379174214881,1,1.681582858336505,1.681582858336505,Pneumothorax,Complications & Comorbidities
binary,1,493.314464940571,2.1763759437768,0.24024707076764226,CMV.nasal,comp_avthromb,0.817267706067328,1,0.6193418987986659,0.6193418987986659,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,587.021252234155,4.9770246154809,0.07440118462369436,CMV.nasal,comp_shock,1.19371839149656,1,1.1284201495154411,1.1284201495154411,Shock,Complications & Comorbidities
binary,1,695.636192338084,1.79592233764436,0.2952857340782806,CMV.nasal,comp_bac,0.659471105372155,1,0.5297575342768504,0.5297575342768504,Bacteremia,Complications & Comorbidities
binary,1,1015.92314516536,0.412219713962259,0.6250140131683883,CMV.nasal,comp_renal,0.306446831700788,1,0.20411024541835593,0.20411024541835593,Renal,Complications & Comorbidities
binary,1,791.917949313021,0.00852224652282985,0.9490432324550437,CMV.nasal,comp_liver,-0.0590568983296114,-1,0.02271400339040123,-0.02271400339040123,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,301.026364069029,3.51499662431615,0.14190348849067932,CMV.nasal,comp_othinf,1.49499296771341,1,0.8480069279137056,0.8480069279137056,Other Infection,Complications & Comorbidities
binary,1,38.6865308710996,0.117714999947466,0.768102397157023,CMV.nasal,comp_pulmvas,-20.7685569991496,-1,0.1145808795050738,-0.1145808795050738,Pulm Vascular Disease,Complications & Comorbidities
