"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"104","discretized_admit_age_quantile",4,668.137027536439,3.24501480362676,0.517691114776493,"Anelloviridae.pbmc","symptom_sorethroat",-0.112649637709936
"105","trajectory_group",4,667.254574748854,2.36256201604238,0.669403216316079,"Anelloviridae.pbmc","symptom_sorethroat",-0.112649637709936
"106","<none>",NA,434.137397632262,NA,NA,"Anelloviridae.pbmc","symptom_rhinorrhea",0.105052498217826
"107","binary",1,432.226940429719,0.0895427974569429,0.764759200497278,"Anelloviridae.pbmc","symptom_rhinorrhea",0.105052498217826
"108","sex",1,432.17926179123,0.0418641589674849,0.837878929049054,"Anelloviridae.pbmc","symptom_rhinorrhea",0.105052498217826
"109","discretized_admit_age_quantile",4,432.636454787324,6.49905715506213,0.164849799836513,"Anelloviridae.pbmc","symptom_rhinorrhea",0.105052498217826
"110","trajectory_group",4,434.870141013021,8.73274338075851,0.068138037164002,"Anelloviridae.pbmc","symptom_rhinorrhea",0.105052498217826
"111","<none>",NA,475.570059075338,NA,NA,"Anelloviridae.pbmc","symptom_wheeze",0.110879706075958
"112","binary",1,473.691611909754,0.121552834415127,0.72735637997839,"Anelloviridae.pbmc","symptom_wheeze",0.110879706075958
"113","sex",1,474.2807751479,0.710716072561127,0.399206195619723,"Anelloviridae.pbmc","symptom_wheeze",0.110879706075958
"114","discretized_admit_age_quantile",4,476.344075711875,8.77401663653706,0.0670029835199663,"Anelloviridae.pbmc","symptom_wheeze",0.110879706075958
"115","trajectory_group",4,469.541407779915,1.97134870457626,0.74102881206177,"Anelloviridae.pbmc","symptom_wheeze",0.110879706075958
"116","<none>",NA,1089.7686557369,NA,NA,"Anelloviridae.pbmc","symptom_chestpain",0.109506960844561
"117","binary",1,1088.09188096318,0.323225226273507,0.569675818399115,"Anelloviridae.pbmc","symptom_chestpain",0.109506960844561
"118","sex",1,1088.39375123398,0.625095497078746,0.429160045810324,"Anelloviridae.pbmc","symptom_chestpain",0.109506960844561
"119","discretized_admit_age_quantile",4,1109.62190953469,27.8532537977876,1.33568627623996e-05,"Anelloviridae.pbmc","symptom_chestpain",0.109506960844561
"120","trajectory_group",4,1084.99488233209,3.22622659518561,0.520705345544156,"Anelloviridae.pbmc","symptom_chestpain",0.109506960844561
"121","<none>",NA,1299.6950993909,NA,NA,"Anelloviridae.pbmc","symptom_dyspnea",-0.0840399539237286
"122","binary",1,1297.9500780987,0.254978707800547,0.613591029853501,"Anelloviridae.pbmc","symptom_dyspnea",-0.0840399539237286
"123","sex",1,1297.76710400108,0.0720046101807839,0.78844012246429,"Anelloviridae.pbmc","symptom_dyspnea",-0.0840399539237286
"124","discretized_admit_age_quantile",4,1317.91221149127,26.217112100366,2.86094171097207e-05,"Anelloviridae.pbmc","symptom_dyspnea",-0.0840399539237286
"125","trajectory_group",4,1319.75476906245,28.0596696715454,1.21303786313601e-05,"Anelloviridae.pbmc","symptom_dyspnea",-0.0840399539237286
"126","<none>",NA,30.3841847675186,NA,NA,"Anelloviridae.pbmc","symptom_chestwall",-21.2577934412965
"127","binary",1,29.8352979274345,1.45111315991595,0.228349420557564,"Anelloviridae.pbmc","symptom_chestwall",-21.2577934412965
"128","sex",1,31.5484951748261,3.16431040730755,0.0752642151055943,"Anelloviridae.pbmc","symptom_chestwall",-21.2577934412965
"129","discretized_admit_age_quantile",4,22.6890431521666,0.304858384648043,0.989498394325981,"Anelloviridae.pbmc","symptom_chestwall",-21.2577934412965
"130","trajectory_group",4,26.776501514811,4.39231674729244,0.355507549647198,"Anelloviridae.pbmc","symptom_chestwall",-21.2577934412965
"131","<none>",NA,59.6267163488933,NA,NA,"Anelloviridae.pbmc","symptom_earpain",0.409208943016992
"132","binary",1,57.7267449374206,0.100028588527323,0.751795329396399,"Anelloviridae.pbmc","symptom_earpain",0.409208943016992
"133","sex",1,58.5710167118948,0.944300363001517,0.331174346716931,"Anelloviridae.pbmc","symptom_earpain",0.409208943016992
"134","discretized_admit_age_quantile",4,54.3004394957004,2.67372314680712,0.613820491803985,"Anelloviridae.pbmc","symptom_earpain",0.409208943016992
"135","trajectory_group",4,53.70925067675,2.08253432785666,0.72058176223757,"Anelloviridae.pbmc","symptom_earpain",0.409208943016992
"136","<none>",NA,42.0736288169306,NA,NA,"Anelloviridae.pbmc","symptom_conjunctivitis",1.40568078004885
"137","binary",1,40.9179134319733,0.844284615042696,0.358174236995326,"Anelloviridae.pbmc","symptom_conjunctivitis",1.40568078004885
"138","sex",1,40.1866164405517,0.112987623621166,0.73676807309201,"Anelloviridae.pbmc","symptom_conjunctivitis",1.40568078004885
