"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"645","binary",1,57.2452717130634,0.680768423546951,0.663940020735141,"Human gammaherpesvirus 4 (EBV).nasal","symptom_earpain",-19.9506812712583
"646","binary",1,28.7019941445241,0.42301641628482,0.707865077268008,"Human gammaherpesvirus 4 (EBV).nasal","symptom_conjunctivitis",-22.1488450474564
"647","binary",1,1172.35019637038,1.87119365229501,0.425759409625044,"Human gammaherpesvirus 4 (EBV).nasal","symptom_allsyst",-0.372387675070474
"648","binary",1,1378.76065910473,0.769378930914399,0.650230131017933,"Human gammaherpesvirus 4 (EBV).nasal","symptom_fever",-0.227047834430655
"649","binary",1,1105.72971968772,0.560135332674236,0.690937095974656,"Human gammaherpesvirus 4 (EBV).nasal","symptom_chills",0.22803922921511
"650","binary",1,115.140891240351,1.07650663264377,0.569134281770397,"Human gammaherpesvirus 4 (EBV).nasal","symptom_shaking",-17.4141063606436
"651","binary",1,1386.62990951525,0.990699745120992,0.587783130576953,"Human gammaherpesvirus 4 (EBV).nasal","symptom_fatigue",-0.261710761287026
"652","binary",1,1089.6322242171,1.0156175500415,0.581923644791043,"Human gammaherpesvirus 4 (EBV).nasal","symptom_myalgia",-0.344036956011192
"653","binary",1,29.0509237021616,3.231838688379,0.261004026825508,"Human gammaherpesvirus 4 (EBV).nasal","symptom_lymphadenopathy",23.0383966725837
"654","binary",1,1281.49211721754,0.469957885819213,0.700798050572472,"Human gammaherpesvirus 4 (EBV).nasal","symptom_allneuro",0.183883333729407
"655","binary",1,919.690593550139,0.549903479291402,0.690937095974656,"Human gammaherpesvirus 4 (EBV).nasal","symptom_headache",-0.274120130715232
"656","binary",1,412.89382612362,0.316221321363344,0.736578208836881,"Human gammaherpesvirus 4 (EBV).nasal","symptom_confusion",0.264701723635916
"657","binary",1,43.709097955627,0.342060656912516,0.734530351957159,"Human gammaherpesvirus 4 (EBV).nasal","symptom_seizure",-20.0717966157908
"658","binary",1,183.227785370935,0.519892568843886,0.690937095974656,"Human gammaherpesvirus 4 (EBV).nasal","symptom_syncope",0.62246698138296
"659","binary",1,708.608684386771,1.55694685580465,0.488214981889672,"Human gammaherpesvirus 4 (EBV).nasal","symptom_anosmia",0.485926645824644
"660","binary",1,1357.21837056986,1.19564704352888,0.552589151962621,"Human gammaherpesvirus 4 (EBV).nasal","symptom_allGI",-0.293952217153283
"661","binary",1,646.603719733134,1.05095150182922,0.569134281770397,"Human gammaherpesvirus 4 (EBV).nasal","symptom_abdpain",0.415974017931031
"662","binary",1,1057.31481759673,0.348500215495278,0.732836221158977,"Human gammaherpesvirus 4 (EBV).nasal","symptom_nausea",-0.195957397299331
"663","binary",1,1085.12656702522,3.17048621258482,0.262032052052145,"Human gammaherpesvirus 4 (EBV).nasal","symptom_diarrhea",-0.620829756845916
"664","binary",1,114.315631295152,0.0404282990885036,0.890349458683793,"Human gammaherpesvirus 4 (EBV).nasal","symptom_allderm",0.226995519446504
"665","binary",1,90.587163377826,0.528488835464515,0.690937095974656,"Human gammaherpesvirus 4 (EBV).nasal","symptom_skinrash",0.907876461127504
"666","binary",1,43.3672158081272,0.707331606934019,0.659749185774359,"Human gammaherpesvirus 4 (EBV).nasal","symptom_skinulcer",-18.6956451450359
"667","binary",1,579.210964995262,0.0404959534172349,0.890349458683793,"Human gammaherpesvirus 4 (EBV).nasal","symptom_allother",-0.0917839660045488
"668","binary",1,331.883521994254,1.60727417264269,0.474205966001903,"Human gammaherpesvirus 4 (EBV).nasal","symptom_arthralgia",0.797524430284814
"669","binary",1,210.243598505008,0.0218253221101463,0.927580932299968,"Human gammaherpesvirus 4 (EBV).nasal","symptom_edema",-0.113675796449844
"670","binary",1,241.212474684624,1.05380600449601,0.569134281770397,"Human gammaherpesvirus 4 (EBV).nasal","symptom_nonamb",-0.938740188334178
