term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,OR_values,2.5 %,97.5 %,direction,log10p,signedlog10p,Label,panel
binary,1,1195.99545685648,0.00434448996929859,0.9588623211442242,HSV1.nasal,ever_azithro,-0.0158908042991368,0.984234788395171,0.613465669330041,1.57909100234609,-1,0.018243746802071234,-0.018243746802071234,Azithromycin,Medication
binary,1,451.05162134998,1.0379086074863e-4,0.991871468263308,HSV1.nasal,ever_conplas,-0.00410306935333726,0.995905336734871,0.452204306428743,2.193317103877,-1,0.003544602281908437,-0.003544602281908437,Conv Plasma,Medication
binary,1,444.208738403024,0.150281220895408,0.7717685223428152,HSV1.nasal,ever_immsupp,-0.186835294133969,0.829580361885531,0.317977418488567,2.16431588160363,-1,0.11251293871046499,-0.11251293871046499,Immunosupressed,Medication
binary,1,729.708328353576,1.89403309557463,0.27793743592497483,HSV1.nasal,ncomp,0.570574444888203,1.76928311521079,0.752412808414661,4.16043255346183,1,0.5560529533281795,0.5560529533281795,Number of Complications,Clinical Event
binary,1,182.466850456747,1.36908079561323,0.3834994301019729,HSV1.nasal,comp_stroke,0.68092607075853,1.97570652934625,0.66577064201534,5.86300453003672,1,0.4162352770963622,0.4162352770963622,Stroke,Complications & Comorbidities
binary,1,133.442409694487,0.024086340094442,0.8980475094321861,HSV1.nasal,comp_stemi,0.126392814082779,1.13472781781555,0.234437051539574,5.49233669366073,1,0.04670068723197084,0.04670068723197084,STEMI,Complications & Comorbidities
binary,1,473.932027576417,4.12322681233024,0.11167905247940024,HSV1.nasal,comp_chf,0.7352179216897,2.0859365137879,1.05826118423858,4.11158531027879,1,0.9520282793977911,0.9520282793977911,CHF,Complications & Comorbidities
binary,1,247.544682568954,0.93438498918735,0.48332741843092963,HSV1.nasal,comp_pneumo,0.496767504297392,1.64340039077171,0.622858793562554,4.33607885495378,1,0.31575856729543217,0.31575856729543217,Pneumothorax,Complications & Comorbidities
binary,1,453.612660033543,9.01752246705865,0.014038689013398158,HSV1.nasal,comp_avthromb,1.01365306749434,2.75564922305401,1.46493337590389,5.18358224709895,1,1.852673446396416,1.852673446396416,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,556.034266630164,12.8877003923578,0.00231524001668547,HSV1.nasal,comp_shock,1.10710441272297,3.02558485328195,1.65274944480212,5.5387486186723,1,2.635403979799894,2.635403979799894,Shock,Complications & Comorbidities
binary,1,661.059270777508,2.09910953000337,0.25930237063947825,HSV1.nasal,comp_bac,0.432832720723061,1.54161831833277,0.868490194825235,2.7364581126876,1,0.586193512729539,0.586193512729539,Bacteremia,Complications & Comorbidities
binary,1,933.080794682726,2.91745573180674,0.1840144500519528,HSV1.nasal,comp_renal,0.44593708250523,1.56195318926048,0.942485837436512,2.58857764067498,1,0.7351480719284006,0.7351480719284006,Renal,Complications & Comorbidities
binary,1,756.511542742179,3.0804460094223,0.17989347826492968,HSV1.nasal,comp_liver,0.530010056320929,1.69894939371299,0.958118555270717,3.01260113012024,1,0.7449845809840426,0.7449845809840426,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,297.004796011,4.64688848770862,0.09484284420872999,HSV1.nasal,comp_othinf,1.0542344966906,2.86977748868383,1.17204823098808,7.0266927732262,1,1.0229954305939415,1.0229954305939415,Other Infection,Complications & Comorbidities
binary,1,29.6064145944997,7.60641459449925,0.02571329168447729,HSV1.nasal,comp_pulmvas,78.4081744861224,11278140884911048e18,0,Inf,1,1.5898423236333652,1.5898423236333652,Pulm Vascular Disease,Complications & Comorbidities
binary,1,413.335009463294,0.43610918216018,0.6043983921921203,CMV.nasal,comorb_isaric_liver,0.556920898442076,1.74529029230786,0.36699049889049,8.30004649611647,1,0.21867669963251396,0.21867669963251396,Liver Disease,Complications & Comorbidities
binary,1,359.834383031551,0.316345142371688,0.6513546205433605,CMV.nasal,comorb_hxtrans,-0.599007413694877,0.549356649449755,0.0598912028575759,5.03901598056628,-1,0.18618250173386883,-0.18618250173386883,Organ/BM Transplant,Complications & Comorbidities
binary,1,527.357319515029,3.36656822741679,0.15104610052303866,CMV.nasal,comorb_anysubstance,-14.954776218429,3.2005396382e-7,0,Inf,-1,0.8208904821959758,-0.8208904821959758,Substance Use,Complications & Comorbidities
binary,1,788.521573698727,4.78918550426988,0.0909837641636616,CMV.nasal,ever_icu,1.8582428171555,6.41245900282939,1.0254634201693,40.098583386016,1,1.0410360995824501,1.0410360995824501,ICU,Clinical Event
binary,1,1286.46663864893,1.67603479937611,0.31573042630183706,CMV.nasal,ever_remdes,-0.623160217181427,0.53624709973108,0.211299055836721,1.360919247042,-1,0.5006835640112667,-0.5006835640112667,Remdesivir,Medication
binary,1,1041.38081605797,2.49301968486384,0.2183086172407961,CMV.nasal,ever_steroids,-0.899694970324897,0.406693694467991,0.138128966609338,1.19742994666581,-1,0.6609291211563477,-0.6609291211563477,Steroids,Medication
binary,1,1206.40351232245,6.38566659221306,0.0460182190549972,CMV.nasal,ever_azithro,-1.43426551650815,0.238290320062011,0.0670319484107016,0.847092736844726,-1,1.3370701929153932,-1.3370701929153932,Azithromycin,Medication
binary,1,452.604645350268,0.0766407135193958,0.8209976362352132,CMV.nasal,ever_conplas,0.211716962407834,1.23579805826695,0.281299795160181,5.42907199753465,1,0.08565809327213202,0.08565809327213202,Conv Plasma,Medication
binary,1,445.223759409299,4.6203616079765e-4,0.9946923464424623,CMV.nasal,ever_immsupp,-0.0178640739390989,0.982294542712162,0.192193289666676,5.02048000903434,-1,0.00231122367945892,-0.00231122367945892,Immunosupressed,Medication
binary,1,737.139366932239,3.3762842747758,0.15104610052303866,CMV.nasal,ncomp,13.9490386050036,1142853.31933765,0,Inf,1,0.8208904821959758,0.8208904821959758,Number of Complications,Clinical Event
