""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"294","comp_anemia",3.2,"4.5% (8/179)","7.7% (1/13)",-6.8,"6.8% (14/207)","0% (0/17)",10.7,"10.8% (31/288)","21.4% (3/14)",7.5,"30% (48/160)","37.5% (15/40)",-12.1,"29.8% (25/84)","17.6% (3/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"295","comp_pancreas",-1.7,"1.7% (3/179)","0% (0/13)",0,"0% (0/207)","0% (0/17)",-0.3,"0.3% (1/288)","0% (0/14)",-0.6,"0.6% (1/160)","0% (0/40)",-1.2,"1.2% (1/84)","0% (0/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"296","comp_renal",-7.3,"7.3% (13/179)","0% (0/13)",9,"14.5% (30/207)","23.5% (4/17)",12.3,"16.3% (47/288)","28.6% (4/14)",13.8,"28.7% (46/160)","42.5% (17/40)",7.6,"57.1% (48/84)","64.7% (11/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"297","comp_liver",-1.2,"8.9% (16/179)","7.7% (1/13)",-0.8,"12.6% (26/207)","11.8% (2/17)",9.6,"11.8% (34/288)","21.4% (3/14)",9.4,"13.1% (21/160)","22.5% (9/40)",11.6,"11.9% (10/84)","23.5% (4/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"298","comp_othlab",-4.5,"4.5% (8/179)","0% (0/13)",2.5,"3.4% (7/207)","5.9% (1/17)",-3.8,"3.8% (11/288)","0% (0/14)",5,"5% (8/160)","10% (4/40)",9.4,"2.4% (2/84)","11.8% (2/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"299","comp_electrolyte",-4.5,"4.5% (8/179)","0% (0/13)",4.4,"1.4% (3/207)","5.9% (1/17)",4.4,"2.8% (8/288)","7.1% (1/14)",-3.1,"5.6% (9/160)","2.5% (1/40)",10.5,"7.1% (6/84)","17.6% (3/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"300","comp_othinf",-3.4,"3.4% (6/179)","0% (0/13)",-2.4,"2.4% (5/207)","0% (0/17)",4.4,"2.8% (8/288)","7.1% (1/14)",12.5,"2.5% (4/160)","15% (6/40)",4.7,"1.2% (1/84)","5.9% (1/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"301","comp_othpulm",0,"0% (0/179)","0% (0/13)",0,"0% (0/207)","0% (0/17)",-0.3,"0.3% (1/288)","0% (0/14)",0,"0% (0/160)","0% (0/40)",0,"0% (0/84)","0% (0/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"302","comp_unddisease",-2.2,"2.2% (4/179)","0% (0/13)",-1,"1% (2/207)","0% (0/17)",-1.7,"1.7% (5/288)","0% (0/14)",1.9,"0.6% (1/160)","2.5% (1/40)",-1.2,"1.2% (1/84)","0% (0/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"303","comp_enceph",-0.6,"0.6% (1/179)","0% (0/13)",4.9,"1% (2/207)","5.9% (1/17)",5.4,"1.7% (5/288)","7.1% (1/14)",3.1,"4.4% (7/160)","7.5% (3/40)",3.5,"2.4% (2/84)","5.9% (1/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"304","comp_othneuro",-1.1,"1.1% (2/179)","0% (0/13)",-0.5,"0.5% (1/207)","0% (0/17)",-1,"1% (3/288)","0% (0/14)",-0.6,"0.6% (1/160)","0% (0/40)",0,"0% (0/84)","0% (0/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"305","comp_hypergly",-2.2,"2.2% (4/179)","0% (0/13)",12.8,"4.8% (10/207)","17.6% (3/17)",16.9,"4.5% (13/288)","21.4% (3/14)",-0.6,"3.1% (5/160)","2.5% (1/40)",7,"4.8% (4/84)","11.8% (2/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"306","comp_psych",-0.6,"0.6% (1/179)","0% (0/13)",-0.5,"0.5% (1/207)","0% (0/17)",-0.3,"0.3% (1/288)","0% (0/14)",0,"0% (0/160)","0% (0/40)",0,"0% (0/84)","0% (0/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"307","comp_gastroent",-1.1,"1.1% (2/179)","0% (0/13)",-1.9,"1.9% (4/207)","0% (0/17)",-1.4,"1.4% (4/288)","0% (0/14)",2.5,"0% (0/160)","2.5% (1/40)",0,"0% (0/84)","0% (0/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"308","comp_pulmvas",0,"0% (0/179)","0% (0/13)",5.9,"0% (0/207)","5.9% (1/17)",0,"0% (0/288)","0% (0/14)",0,"0% (0/160)","0% (0/40)",0,"0% (0/84)","0% (0/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"309","comp_other2",-0.6,"0.6% (1/179)","0% (0/13)",-2.4,"2.4% (5/207)","0% (0/17)",5.4,"1.7% (5/288)","7.1% (1/14)",-3.1,"3.1% (5/160)","0% (0/40)",4.7,"1.2% (1/84)","5.9% (1/17)","Human alphaherpesvirus 1 (HSV1).nasal"
"310","comorb_htn",NA,"56% (108/193)","NaN% (0/0)",NA,"56.3% (129/229)","NaN% (0/0)",-54,"54% (163/302)","0% (0/2)",40.8,"59.2% (119/201)","100% (1/1)",29,"71% (71/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"311","comorb_isaric_dm",NA,"40.9% (79/193)","NaN% (0/0)",NA,"29.7% (68/229)","NaN% (0/0)",17.2,"32.8% (99/302)","50% (1/2)",57.2,"42.8% (86/201)","100% (1/1)",51,"49% (49/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"312","comorb_anyresp_noasthma",NA,"10.9% (21/193)","NaN% (0/0)",NA,"17.5% (40/229)","NaN% (0/0)",26.8,"23.2% (70/302)","50% (1/2)",-18.4,"18.4% (37/201)","0% (0/1)",-37,"37% (37/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"313","comorb_isaric_asthma",NA,"16.6% (32/193)","NaN% (0/0)",NA,"17.5% (40/229)","NaN% (0/0)",37.1,"12.9% (39/302)","50% (1/2)",-13.9,"13.9% (28/201)","0% (0/1)",-9,"9% (9/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"314","comorb_isaric_cardiac",NA,"24.4% (47/193)","NaN% (0/0)",NA,"24.5% (56/229)","NaN% (0/0)",21.2,"28.8% (87/302)","50% (1/2)",-22.9,"22.9% (46/201)","0% (0/1)",56,"44% (44/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"315","comorb_isaric_ckd",NA,"11.9% (23/193)","NaN% (0/0)",NA,"12.2% (28/229)","NaN% (0/0)",-16.6,"16.6% (50/302)","0% (0/2)",-12.9,"12.9% (26/201)","0% (0/1)",72,"28% (28/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"316","comorb_isaric_neoplasm",NA,"7.8% (15/193)","NaN% (0/0)",NA,"9.6% (22/229)","NaN% (0/0)",-9.9,"9.9% (30/302)","0% (0/2)",-9,"9% (18/201)","0% (0/1)",84,"16% (16/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"317","comorb_neuro",NA,"10.4% (20/193)","NaN% (0/0)",NA,"10% (23/229)","NaN% (0/0)",-14.6,"14.6% (44/302)","0% (0/2)",-10.4,"10.4% (21/201)","0% (0/1)",-15,"15% (15/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"318","comorb_isaric_liver",NA,"4.7% (9/193)","NaN% (0/0)",NA,"5.7% (13/229)","NaN% (0/0)",-4,"4% (12/302)","0% (0/2)",-6.5,"6.5% (13/201)","0% (0/1)",-4,"4% (4/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"319","comorb_hxtrans",NA,"3.6% (7/193)","NaN% (0/0)",NA,"6.1% (14/229)","NaN% (0/0)",-6.6,"6.6% (20/302)","0% (0/2)",-6.5,"6.5% (13/201)","0% (0/1)",-4,"4% (4/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"320","comorb_hiv2",NA,"3.1% (6/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-1.3,"1.3% (4/302)","0% (0/2)",-1,"1% (2/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"321","comorb_eversmkvape",NA,"31.1% (60/193)","NaN% (0/0)",NA,"30.1% (69/229)","NaN% (0/0)",19.2,"30.8% (93/302)","50% (1/2)",69.2,"30.8% (62/201)","100% (1/1)",-47,"47% (47/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"322","comorb_anysubstance",NA,"9.3% (18/193)","NaN% (0/0)",NA,"5.7% (13/229)","NaN% (0/0)",-7.3,"7.3% (22/302)","0% (0/2)",-6.5,"6.5% (13/201)","0% (0/1)",-8,"8% (8/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"323","comorb_count",NA,"16.6% (32/193)","NaN% (0/0)",NA,"15.7% (36/229)","NaN% (0/0)",-17.2,"17.2% (52/302)","0% (0/2)",-10.9,"10.9% (22/201)","0% (0/1)",-6,"6% (6/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"324","comorb_countcat",NA,"16.6% (32/193)","NaN% (0/0)",NA,"15.7% (36/229)","NaN% (0/0)",-17.2,"17.2% (52/302)","0% (0/2)",-10.9,"10.9% (22/201)","0% (0/1)",-6,"6% (6/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"325","timesymptomcat",NA,"23.3% (45/193)","NaN% (0/0)",NA,"19.7% (45/229)","NaN% (0/0)",-20.2,"20.2% (61/302)","0% (0/2)",-16.9,"16.9% (34/201)","0% (0/1)",-27,"27% (27/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"326","symptom_allresp",NA,"81.3% (157/193)","NaN% (0/0)",NA,"90.8% (208/229)","NaN% (0/0)",14.6,"85.4% (258/302)","100% (2/2)",8.5,"91.5% (184/201)","100% (1/1)",-85,"85% (85/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"327","symptom_cough",NA,"60.1% (116/193)","NaN% (0/0)",NA,"67.2% (154/229)","NaN% (0/0)",40.4,"59.6% (180/302)","100% (2/2)",41.3,"58.7% (118/201)","100% (1/1)",-53,"53% (53/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"328","symptom_cough_prod",NA,"15% (29/193)","NaN% (0/0)",NA,"14.8% (34/229)","NaN% (0/0)",-17.2,"17.2% (52/302)","0% (0/2)",-9.5,"9.5% (19/201)","0% (0/1)",-15,"15% (15/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"329","symptom_haemoptysis",NA,"3.6% (7/193)","NaN% (0/0)",NA,"1.7% (4/229)","NaN% (0/0)",-2,"2% (6/302)","0% (0/2)",-1.5,"1.5% (3/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"330","symptom_sorethroat",NA,"10.4% (20/193)","NaN% (0/0)",NA,"8.3% (19/229)","NaN% (0/0)",-7.6,"7.6% (23/302)","0% (0/2)",-8.5,"8.5% (17/201)","0% (0/1)",-5,"5% (5/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"331","symptom_rhinorrhea",NA,"8.3% (16/193)","NaN% (0/0)",NA,"2.2% (5/229)","NaN% (0/0)",-6.3,"6.3% (19/302)","0% (0/2)",-4.5,"4.5% (9/201)","0% (0/1)",-4,"4% (4/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"332","symptom_wheeze",NA,"4.1% (8/193)","NaN% (0/0)",NA,"3.9% (9/229)","NaN% (0/0)",-4.6,"4.6% (14/302)","0% (0/2)",-7,"7% (14/201)","0% (0/1)",-7,"7% (7/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"333","symptom_chestpain",NA,"24.9% (48/193)","NaN% (0/0)",NA,"21.8% (50/229)","NaN% (0/0)",-18.2,"18.2% (55/302)","0% (0/2)",-16.9,"16.9% (34/201)","0% (0/1)",-13,"13% (13/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"334","symptom_dyspnea",NA,"61.7% (119/193)","NaN% (0/0)",NA,"73.8% (169/229)","NaN% (0/0)",31.5,"68.5% (207/302)","100% (2/2)",19.4,"80.6% (162/201)","100% (1/1)",-78,"78% (78/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"335","symptom_chestwall",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/228)","NaN% (0/0)",0,"0% (0/301)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"336","symptom_earpain",NA,"0% (0/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"337","symptom_conjunctivitis",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",0,"0% (0/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"338","symptom_allsyst",NA,"77.2% (149/193)","NaN% (0/0)",NA,"79.9% (183/229)","NaN% (0/0)",-21.2,"71.2% (215/302)","50% (1/2)",35.3,"64.7% (130/201)","100% (1/1)",-62,"62% (62/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"339","symptom_fever",NA,"50.3% (97/193)","NaN% (0/0)",NA,"56.8% (130/229)","NaN% (0/0)",1.3,"48.7% (147/302)","50% (1/2)",55.2,"44.8% (90/201)","100% (1/1)",-44,"44% (44/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"340","symptom_chills",NA,"24.4% (47/193)","NaN% (0/0)",NA,"28.8% (66/229)","NaN% (0/0)",22.5,"27.5% (83/302)","50% (1/2)",-17.9,"17.9% (36/201)","0% (0/1)",-13,"13% (13/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"341","symptom_shaking",NA,"0.5% (1/193)","NaN% (0/0)",NA,"1.7% (4/229)","NaN% (0/0)",-0.7,"0.7% (2/301)","0% (0/2)",-1,"1% (2/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"342","symptom_fatigue",NA,"46.6% (90/193)","NaN% (0/0)",NA,"46.7% (107/229)","NaN% (0/0)",8.9,"41.1% (124/302)","50% (1/2)",-36.8,"36.8% (74/201)","0% (0/1)",-31,"31% (31/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"343","symptom_myalgia",NA,"29.5% (57/193)","NaN% (0/0)",NA,"31.4% (72/229)","NaN% (0/0)",29.5,"20.5% (62/302)","50% (1/2)",-19.4,"19.4% (39/201)","0% (0/1)",-10,"10% (10/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"344","symptom_lymphadenopathy",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",0,"0% (0/302)","0% (0/2)",0,"0% (0/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"345","symptom_allneuro",NA,"34.7% (67/193)","NaN% (0/0)",NA,"30.6% (70/229)","NaN% (0/0)",20.9,"29.1% (88/302)","50% (1/2)",-31.8,"31.8% (64/201)","0% (0/1)",74,"26% (26/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"346","symptom_headache",NA,"22.3% (43/193)","NaN% (0/0)",NA,"18.8% (43/229)","NaN% (0/0)",34.4,"15.6% (47/302)","50% (1/2)",-17.9,"17.9% (36/201)","0% (0/1)",-4,"4% (4/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"347","symptom_confusion",NA,"3.1% (6/193)","NaN% (0/0)",NA,"2.6% (6/229)","NaN% (0/0)",-4.6,"4.6% (14/302)","0% (0/2)",-9,"9% (18/201)","0% (0/1)",88,"12% (12/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"348","symptom_seizure",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"349","symptom_syncope",NA,"3.6% (7/193)","NaN% (0/0)",NA,"0.9% (2/229)","NaN% (0/0)",48.7,"1.3% (4/302)","50% (1/2)",-0.5,"0.5% (1/201)","0% (0/1)",-3,"3% (3/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"350","symptom_anosmia",NA,"14.5% (28/193)","NaN% (0/0)",NA,"11.4% (26/229)","NaN% (0/0)",39.4,"10.6% (32/302)","50% (1/2)",-7.5,"7.5% (15/201)","0% (0/1)",-9,"9% (9/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"351","symptom_allGI",NA,"46.6% (90/193)","NaN% (0/0)",NA,"47.6% (109/229)","NaN% (0/0)",14.2,"35.8% (108/302)","50% (1/2)",-30.3,"30.3% (61/201)","0% (0/1)",-30,"30% (30/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"352","symptom_abdpain",NA,"11.9% (23/193)","NaN% (0/0)",NA,"10% (23/229)","NaN% (0/0)",-8.6,"8.6% (26/302)","0% (0/2)",-8,"8% (16/201)","0% (0/1)",-8,"8% (8/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"353","symptom_nausea",NA,"29% (56/193)","NaN% (0/0)",NA,"30.1% (69/229)","NaN% (0/0)",31.1,"18.9% (57/302)","50% (1/2)",-14.9,"14.9% (30/201)","0% (0/1)",-13,"13% (13/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"354","symptom_diarrhea",NA,"24.4% (47/193)","NaN% (0/0)",NA,"25.8% (59/229)","NaN% (0/0)",-22.5,"22.5% (68/302)","0% (0/2)",-17.4,"17.4% (35/201)","0% (0/1)",-15,"15% (15/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"355","symptom_allderm",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.7,"0.7% (2/302)","0% (0/2)",-2,"2% (4/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"356","symptom_skinrash",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.7,"0.7% (2/302)","0% (0/2)",-1,"1% (2/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"357","symptom_skinulcer",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",0,"0% (0/302)","0% (0/2)",-1,"1% (2/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"358","symptom_allother",NA,"10.4% (20/193)","NaN% (0/0)",NA,"10% (23/229)","NaN% (0/0)",47,"3% (9/302)","50% (1/2)",-9.5,"9.5% (19/201)","0% (0/1)",-11,"11% (11/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"359","symptom_arthralgia",NA,"8.3% (16/193)","NaN% (0/0)",NA,"4.8% (11/229)","NaN% (0/0)",48.7,"1.3% (4/302)","50% (1/2)",-2,"2% (4/201)","0% (0/1)",-3,"3% (3/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"360","symptom_edema",NA,"1% (2/193)","NaN% (0/0)",NA,"3.1% (7/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-3,"3% (6/201)","0% (0/1)",-5,"5% (5/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"361","symptom_nonamb",NA,"1.6% (3/193)","NaN% (0/0)",NA,"1.7% (4/229)","NaN% (0/0)",-1.7,"1.7% (5/302)","0% (0/2)",-4,"4% (8/201)","0% (0/1)",-4,"4% (4/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"362","symptom_bleeding",NA,"0% (0/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"363","ever_ever_esc",NA,"2.6% (5/193)","NaN% (0/0)",NA,"9.6% (22/229)","NaN% (0/0)",42.1,"7.9% (24/302)","50% (1/2)",-34.3,"34.3% (69/201)","0% (0/1)",51,"49% (49/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"364","ever_icu",NA,"3.6% (7/193)","NaN% (0/0)",NA,"22.7% (52/229)","NaN% (0/0)",-18.2,"18.2% (55/302)","0% (0/2)",14.4,"85.6% (172/201)","100% (1/1)",13,"87% (87/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"365","diedever",NA,"2.6% (5/193)","NaN% (0/0)",NA,"3.1% (7/229)","NaN% (0/0)",-3,"3% (9/302)","0% (0/2)",83.6,"16.4% (33/201)","100% (1/1)",0,"100% (100/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"366","ever_remdes",NA,"43% (83/193)","NaN% (0/0)",NA,"72.5% (166/229)","NaN% (0/0)",-60.9,"60.9% (184/302)","0% (0/2)",27.9,"72.1% (145/201)","100% (1/1)",39,"61% (61/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"367","ever_steroids",NA,"48.2% (93/193)","NaN% (0/0)",NA,"64.6% (148/229)","NaN% (0/0)",32.1,"67.9% (205/302)","100% (2/2)",10.4,"89.6% (180/201)","100% (1/1)",18,"82% (82/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"368","ever_azithro",NA,"23.3% (45/193)","NaN% (0/0)",NA,"33.2% (76/229)","NaN% (0/0)",-30.1,"30.1% (91/302)","0% (0/2)",-43.8,"43.8% (88/201)","0% (0/1)",-36,"36% (36/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"369","ever_otherabx",NA,"43.5% (84/193)","NaN% (0/0)",NA,"45.9% (105/229)","NaN% (0/0)",2.6,"47.4% (143/302)","50% (1/2)",20.4,"79.6% (160/201)","100% (1/1)",11,"89% (89/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"370","ever_conplas",NA,"3.6% (7/193)","NaN% (0/0)",NA,"7.9% (18/229)","NaN% (0/0)",-6,"6% (18/302)","0% (0/2)",-10.9,"10.9% (22/201)","0% (0/1)",-14,"14% (14/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"371","ever_monoclonal",NA,"0% (0/193)","NaN% (0/0)",NA,"0.9% (2/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-1,"1% (2/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"372","ever_immsupp",NA,"6.2% (12/193)","NaN% (0/0)",NA,"6.6% (15/229)","NaN% (0/0)",-7,"7% (21/302)","0% (0/2)",-8.5,"8.5% (17/201)","0% (0/1)",-5,"5% (5/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"373","anycomp",NA,"75.1% (145/193)","NaN% (0/0)",NA,"82.1% (188/229)","NaN% (0/0)",-35.8,"85.8% (259/302)","50% (1/2)",6.5,"93.5% (188/201)","100% (1/1)",3,"97% (97/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"374","ncomp",NA,"34.7% (67/193)","NaN% (0/0)",NA,"18.3% (42/229)","NaN% (0/0)",-20.9,"20.9% (63/302)","0% (0/2)",-7,"7% (14/201)","0% (0/1)",-2,"2% (2/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"375","comp_seizure",NA,"0% (0/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-1,"1% (2/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"376","comp_meningitis",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.7,"0.7% (2/302)","0% (0/2)",-2,"2% (4/201)","0% (0/1)",96,"4% (4/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"377","comp_stroke",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-1,"1% (3/302)","0% (0/2)",95.5,"4.5% (9/201)","100% (1/1)",-5,"5% (5/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"378","comp_afib",NA,"1.6% (3/193)","NaN% (0/0)",NA,"4.8% (11/229)","NaN% (0/0)",-6.6,"6.6% (20/302)","0% (0/2)",-11.4,"11.4% (23/201)","0% (0/1)",78,"22% (22/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"379","comp_ventricular_arr",NA,"0.5% (1/193)","NaN% (0/0)",NA,"1.7% (4/229)","NaN% (0/0)",-2,"2% (6/302)","0% (0/2)",-5,"5% (10/201)","0% (0/1)",-13,"13% (13/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"380","comp_endo",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",0,"0% (0/302)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"381","comp_myocard",NA,"0% (0/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.7,"0.7% (2/302)","0% (0/2)",0,"0% (0/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"382","comp_cardarrest",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-3,"3% (6/201)","0% (0/1)",-28,"28% (28/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"383","comp_stemi",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-0.7,"0.7% (2/302)","0% (0/2)",98.5,"1.5% (3/201)","100% (1/1)",-5,"5% (5/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"384","comp_nstemi",NA,"2.1% (4/193)","NaN% (0/0)",NA,"0.9% (2/229)","NaN% (0/0)",-1.7,"1.7% (5/302)","0% (0/2)",-2.5,"2.5% (5/201)","0% (0/1)",-11,"11% (11/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
