"","virus","OR_values","2.5 %","97.5 %","variable"
"157","Enterovirus.nasal",0.943149265444177,0.370495149048905,2.40092357266052,"ever_ever_esc"
"158","Enterovirus.nasal",0.862026214431264,0.356661996322456,2.08345492939728,"ever_icu"
"159","Enterovirus.nasal",2.42192303202771,0.850668574852253,6.89541302743558,"diedever"
"160","Enterovirus.nasal",1.56507851287198,0.788244504086341,3.10750121155967,"ever_remdes"
"161","Enterovirus.nasal",1.7879203895133,0.824804306357573,3.87565789193584,"ever_steroids"
"162","Enterovirus.nasal",0.901777011803391,0.461150434119375,1.76341974082701,"ever_azithro"
"163","Enterovirus.nasal",0.918390459422319,0.475462087771379,1.77393962137208,"ever_otherabx"
"164","Enterovirus.nasal",0.451138936816054,0.0986509483930856,2.06309562783468,"ever_conplas"
"165","Enterovirus.nasal",49.389280028911,0.560235815550732,4354.06111866708,"ever_monoclonal"
"166","Enterovirus.nasal",1.12559825841142,0.308930707752982,4.10115086504087,"ever_immsupp"
"167","Enterovirus.nasal",0.631917734873707,0.266858022084819,1.49637631474686,"anycomp"
"168","Enterovirus.nasal",0.631917734873707,0.266858022084819,1.49637631474686,"ncomp"
"169","Enterovirus.nasal",4.81268294350816,0.475700143314044,48.6901621541945,"comp_seizure"
"170","Enterovirus.nasal",0.0000000139701792719934,0,Inf,"comp_meningitis"
"171","Enterovirus.nasal",0.0000000116424671930871,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013848042022006,97881738174041920101328152290500351372510519411606136402415396518402792949159771417830142073147930160426674085940945646822779857498333466539010460438101582009310976512318996680599417298542160594580705937519689159727678079426767927541058166858027346693645714137725859376218099979124736,"comp_stroke"
"172","Enterovirus.nasal",1.11539131969753,0.362432435761572,3.43263370852117,"comp_afib"
"173","Enterovirus.nasal",0.701195378417717,0.0911556765921167,5.39379418919134,"comp_ventricular_arr"
"174","Enterovirus.nasal",0.00000000317713215911039,0,Inf,"comp_endo"
"175","Enterovirus.nasal",0.000000002309195122309,0,Inf,"comp_myocard"
"176","Enterovirus.nasal",0.00000000784947165946872,0,Inf,"comp_cardarrest"
"177","Enterovirus.nasal",0.00000000643813261630404,0,Inf,"comp_stemi"
"178","Enterovirus.nasal",0.989722515863531,0.126910482969668,7.71843771677517,"comp_nstemi"
"179","Enterovirus.nasal",1.47565192519553,0.500387737754286,4.35172255440551,"comp_chf"
"180","Enterovirus.nasal",1.06940661006951,0.538698587852667,2.12295061366143,"comp_pneumonia"
"181","Enterovirus.nasal",3.85358701988876,0.274854937201948,54.0289836923836,"comp_bronch"
"182","Enterovirus.nasal",2.18580900095368,0.597033205490599,8.00250462572532,"comp_pneumo"
"183","Enterovirus.nasal",1.77642340752524,0.195733357279544,16.1223419792299,"comp_pneumomed"
"184","Enterovirus.nasal",0.00000000562050814664111,0,Inf,"comp_aat"
"185","Enterovirus.nasal",0.897569972194114,0.280587574122588,2.8712314061084,"comp_avthromb"
"186","Enterovirus.nasal",0.747373298895201,0.252923169479529,2.20844475834669,"comp_shock"
"187","Enterovirus.nasal",1.56058341993347,0.659094372021152,3.6951015119472,"comp_bac"
"188","Enterovirus.nasal",2.06491875369351,0.427181043141029,9.98145757593341,"comp_coag"
"189","Enterovirus.nasal",2.54862667062993,0.496963620382554,13.0703690166417,"comp_hypogly"
"190","Enterovirus.nasal",1.88429447546611,0.640529567869336,5.5431721631255,"comp_bleed"
"191","Enterovirus.nasal",0.875243058573145,0.370258764471488,2.06895956311512,"comp_anemia"
"192","Enterovirus.nasal",0.00000000477050189753003,0,Inf,"comp_pancreas"
"193","Enterovirus.nasal",1.12901293177522,0.536742315879909,2.37482710493216,"comp_renal"
"194","Enterovirus.nasal",0.86193736721138,0.348338486631067,2.13279914080279,"comp_liver"
"195","Enterovirus.nasal",0.727157304764846,0.158578799341171,3.33435331878942,"comp_othlab"
"196","Enterovirus.nasal",1.19630386363356,0.260999885819001,5.48330865990135,"comp_electrolyte"
"197","Enterovirus.nasal",1.83264448117262,0.506570593645309,6.63004492661899,"comp_othinf"
"198","Enterovirus.nasal",0.00000000131831827317788,0,Inf,"comp_othpulm"
"199","Enterovirus.nasal",1.08322531815445,0.119798213156584,9.79461261544136,"comp_unddisease"
"200","Enterovirus.nasal",1.52060284552404,0.315563901724681,7.3273051866153,"comp_enceph"
"201","Enterovirus.nasal",0.00000000835626226889691,0,Inf,"comp_othneuro"
"202","Enterovirus.nasal",0.927305871639124,0.201969439319091,4.25755590784131,"comp_hypergly"
"203","Enterovirus.nasal",0.0000000196899281669406,0,Inf,"comp_psych"
"204","Enterovirus.nasal",1.28120997232285,0.129500138472241,12.6756543471293,"comp_gastroent"
"205","Enterovirus.nasal",0.325137160056561,0,Inf,"comp_pulmvas"
"206","Enterovirus.nasal",0.0000000627429705013754,0,Inf,"comp_other2"
"207","Human alphaherpesvirus 1 (HSV1).nasal",0.78377878314885,0.496656749360703,1.23688882050839,"comorb_htn"
"208","Human alphaherpesvirus 1 (HSV1).nasal",0.769458444010594,0.487331304257524,1.21491538074134,"comorb_isaric_dm"
"209","Human alphaherpesvirus 1 (HSV1).nasal",0.7666257294463,0.428876222256462,1.37036044096104,"comorb_anyresp_noasthma"
"210","Human alphaherpesvirus 1 (HSV1).nasal",0.990074100059264,0.529030403633828,1.85291188724693,"comorb_isaric_asthma"
"211","Human alphaherpesvirus 1 (HSV1).nasal",0.865492561166054,0.514000536382602,1.4573474547431,"comorb_isaric_cardiac"
"212","Human alphaherpesvirus 1 (HSV1).nasal",0.857508755008701,0.459181407235987,1.60137421360937,"comorb_isaric_ckd"
"213","Human alphaherpesvirus 1 (HSV1).nasal",1.88767671400563,0.99194026976288,3.59227615333219,"comorb_isaric_neoplasm"
"214","Human alphaherpesvirus 1 (HSV1).nasal",0.515479734227201,0.222100411384654,1.19639290509349,"comorb_neuro"
"215","Human alphaherpesvirus 1 (HSV1).nasal",0.152669865240235,0.0205236614071928,1.13566908408959,"comorb_isaric_liver"
"216","Human alphaherpesvirus 1 (HSV1).nasal",0.817087019328256,0.2528105417789,2.64083606821516,"comorb_hxtrans"
"217","Human alphaherpesvirus 1 (HSV1).nasal",0.930315259513401,0.113111420004333,7.65162776711961,"comorb_hiv2"
