.threshold,recall,precision,iteration,Model
0.24932757241638182,0.9038461538461539,0.5280898876404494,1,bGLM
0.24871040174971326,0.9038461538461539,0.5251396648044693,1,bGLM
0.2486024470926259,0.9038461538461539,0.5222222222222223,1,bGLM
0.24547779082726195,0.9038461538461539,0.5193370165745856,1,bGLM
0.24447142681397183,0.9038461538461539,0.5164835164835165,1,bGLM
0.24320201666233998,0.9038461538461539,0.5136612021857924,1,bGLM
0.24308500490850915,0.9038461538461539,0.5108695652173914,1,bGLM
0.24191404725880827,0.9134615384615384,0.5135135135135135,1,bGLM
0.23889906352310641,0.9134615384615384,0.510752688172043,1,bGLM
0.2362211401561426,0.9134615384615384,0.5080213903743316,1,bGLM
0.23585004418181665,0.9134615384615384,0.5053191489361702,1,bGLM
0.23307111380021994,0.9134615384615384,0.5026455026455027,1,bGLM
0.2255835674108403,0.9134615384615384,0.5,1,bGLM
0.22468827763174248,0.9230769230769231,0.5026178010471204,1,bGLM
0.21980892876254832,0.9326923076923077,0.5052083333333334,1,bGLM
0.21638498379774218,0.9326923076923077,0.5025906735751295,1,bGLM
0.21614000946150813,0.9326923076923077,0.5,1,bGLM
0.21599120398532945,0.9326923076923077,0.49743589743589745,1,bGLM
0.21590454582507024,0.9326923076923077,0.49489795918367346,1,bGLM
0.21528928650938817,0.9326923076923077,0.49238578680203043,1,bGLM
0.2144837128501711,0.9326923076923077,0.4898989898989899,1,bGLM
0.21096857728128426,0.9423076923076923,0.49246231155778897,1,bGLM
0.20476701850159063,0.9423076923076923,0.49,1,bGLM
0.20357999983869002,0.9423076923076923,0.48756218905472637,1,bGLM
0.20156874360911492,0.9423076923076923,0.48514851485148514,1,bGLM
0.19974844871657715,0.9423076923076923,0.4827586206896552,1,bGLM
0.1951085019238461,0.9423076923076923,0.4803921568627451,1,bGLM
0.19434845061147676,0.9423076923076923,0.47804878048780486,1,bGLM
0.19432440810807983,0.9423076923076923,0.47572815533980584,1,bGLM
0.19373857766668978,0.9423076923076923,0.47342995169082125,1,bGLM
0.19244951428071155,0.9423076923076923,0.47115384615384615,1,bGLM
0.18991509626946834,0.9423076923076923,0.4688995215311005,1,bGLM
0.1886229565374241,0.9423076923076923,0.4666666666666667,1,bGLM
0.18114729896906168,0.9423076923076923,0.46445497630331756,1,bGLM
0.17837013759979414,0.9423076923076923,0.46226415094339623,1,bGLM
0.17456330235472994,0.9519230769230769,0.4647887323943662,1,bGLM
0.17386429408471427,0.9615384615384616,0.4672897196261682,1,bGLM
0.17095981620521505,0.9711538461538461,0.4697674418604651,1,bGLM
0.1704460988324178,0.9711538461538461,0.4675925925925926,1,bGLM
0.16954943952231027,0.9711538461538461,0.46543778801843316,1,bGLM
0.16923329731908177,0.9711538461538461,0.463302752293578,1,bGLM
0.16613522620864785,0.9711538461538461,0.4611872146118721,1,bGLM
0.16256365038374776,0.9711538461538461,0.4590909090909091,1,bGLM
0.16167639391215483,0.9711538461538461,0.45701357466063347,1,bGLM
0.16127559573988637,0.9711538461538461,0.45495495495495497,1,bGLM
0.1598041379395292,0.9711538461538461,0.452914798206278,1,bGLM
0.15694809753045436,0.9711538461538461,0.45089285714285715,1,bGLM
0.15469530458930347,0.9711538461538461,0.4488888888888889,1,bGLM
0.15255605662195904,0.9711538461538461,0.4469026548672566,1,bGLM
0.1513479561772616,0.9711538461538461,0.44493392070484583,1,bGLM
0.15053292867474344,0.9711538461538461,0.44298245614035087,1,bGLM
0.1486165679360404,0.9711538461538461,0.4410480349344978,1,bGLM
0.14694646567367442,0.9711538461538461,0.4391304347826087,1,bGLM
0.14666647897952656,0.9711538461538461,0.43722943722943725,1,bGLM
0.1441409154017146,0.9711538461538461,0.4353448275862069,1,bGLM
0.14154772494348444,0.9807692307692307,0.43776824034334766,1,bGLM
0.14132487198289623,0.9807692307692307,0.4358974358974359,1,bGLM
0.13807205305046322,0.9903846153846154,0.43829787234042555,1,bGLM
0.13565376684238095,1,0.4406779661016949,1,bGLM
0.13563330482063807,1,0.4388185654008439,1,bGLM
0.13307256992555772,1,0.4369747899159664,1,bGLM
0.1321219516243598,1,0.4351464435146444,1,bGLM
0.13113978477617105,1,0.43333333333333335,1,bGLM
0.1289189424918913,1,0.4315352697095436,1,bGLM
0.12781698876391268,1,0.4297520661157025,1,bGLM
0.12096846410987971,1,0.4279835390946502,1,bGLM
0.11778957310957161,1,0.4262295081967213,1,bGLM
0.11712936039229493,1,0.42448979591836733,1,bGLM
0.11516383183819368,1,0.42276422764227645,1,bGLM
0.1149965904958099,1,0.42105263157894735,1,bGLM
0.11412534512156514,1,0.41935483870967744,1,bGLM
0.11199195541842477,1,0.41767068273092367,1,bGLM
0.11079120094249406,1,0.416,1,bGLM
0.11069493324141733,1,0.41434262948207173,1,bGLM
0.10596194504442391,1,0.4126984126984127,1,bGLM
0.10177145440801427,1,0.41106719367588934,1,bGLM
0.10126884325865304,1,0.4094488188976378,1,bGLM
0.10108919682974926,1,0.40784313725490196,1,bGLM
0.09590534325832412,1,0.40625,1,bGLM
0.09519420304626303,1,0.4046692607003891,1,bGLM
0.09068982323223407,1,0.40310077519379844,1,bGLM
0.08530708453920144,1,0.4015444015444015,1,bGLM
0.08484937697069606,1,0.4,1,bGLM
0.08445320148929092,1,0.39846743295019155,1,bGLM
0.08170849310893191,1,0.3969465648854962,1,bGLM
0.0692315027567334,1,0.39543726235741444,1,bGLM
0.06577723461675677,1,0.3939393939393939,1,bGLM
0.06513659930247229,1,0.39245283018867927,1,bGLM
0.05812270956297916,1,0.39097744360902253,1,bGLM
0.05621979168400493,1,0.3895131086142322,1,bGLM
0.04675328599855488,1,0.3880597014925373,1,bGLM
0.039912654798178404,1,0.38661710037174724,1,bGLM
0.031554804033096406,1,0.3851851851851852,1,bGLM
0.029374472144998554,1,0.3837638376383764,1,bGLM
Inf,0,1,2,bGLM
0.9127924158206379,0.009615384615384616,1,2,bGLM
0.8977640273467176,0.019230769230769232,1,2,bGLM
0.8533365808887758,0.028846153846153848,1,2,bGLM
0.837257264725529,0.038461538461538464,1,2,bGLM
0.8294106976659149,0.038461538461538464,0.8,2,bGLM
0.827820516292094,0.038461538461538464,0.6666666666666666,2,bGLM
0.8119249124108172,0.038461538461538464,0.5714285714285714,2,bGLM
0.8071260922501012,0.04807692307692308,0.625,2,bGLM
0.7962527354783995,0.057692307692307696,0.6666666666666666,2,bGLM
0.787191402923002,0.0673076923076923,0.7,2,bGLM
0.7856658359048327,0.07692307692307693,0.7272727272727273,2,bGLM
0.771293407247668,0.08653846153846154,0.75,2,bGLM
0.7700793535501419,0.09615384615384616,0.7692307692307693,2,bGLM
0.7652335265752641,0.09615384615384616,0.7142857142857143,2,bGLM
0.7616422496133526,0.10576923076923077,0.7333333333333333,2,bGLM
0.7493454573121918,0.11538461538461539,0.75,2,bGLM
0.7463853499295804,0.11538461538461539,0.7058823529411765,2,bGLM
0.7457136960041706,0.125,0.7222222222222222,2,bGLM
0.7451488938930689,0.1346153846153846,0.7368421052631579,2,bGLM
0.7422476489134076,0.1346153846153846,0.7,2,bGLM
0.7421136263628605,0.1346153846153846,0.6666666666666666,2,bGLM
0.7295769293343424,0.14423076923076922,0.6818181818181818,2,bGLM
0.7130727388574865,0.14423076923076922,0.6521739130434783,2,bGLM
0.7024848273543931,0.15384615384615385,0.6666666666666666,2,bGLM
0.6990834164916319,0.16346153846153846,0.68,2,bGLM
0.6968114014316777,0.16346153846153846,0.6538461538461539,2,bGLM
0.6940176097956414,0.17307692307692307,0.6666666666666666,2,bGLM
0.6862437661844039,0.17307692307692307,0.6428571428571429,2,bGLM
0.6861050554207071,0.18269230769230768,0.6551724137931034,2,bGLM
0.682257037366627,0.19230769230769232,0.6666666666666666,2,bGLM
0.6812782663807626,0.20192307692307693,0.6774193548387096,2,bGLM
0.6767421294447842,0.20192307692307693,0.65625,2,bGLM
0.659085950351927,0.21153846153846154,0.6666666666666666,2,bGLM
0.6441995551121957,0.22115384615384615,0.6764705882352942,2,bGLM
0.6370256085954371,0.23076923076923078,0.6857142857142857,2,bGLM
0.6337965362776196,0.2403846153846154,0.6944444444444444,2,bGLM
0.6310039085181667,0.25,0.7027027027027027,2,bGLM
0.6275698335452468,0.25,0.6842105263157895,2,bGLM
0.6241831162032228,0.25,0.6666666666666666,2,bGLM
0.6101654353487647,0.25961538461538464,0.675,2,bGLM
0.6083822179321159,0.2692307692307692,0.6829268292682927,2,bGLM
0.6017120692744243,0.2692307692307692,0.6666666666666666,2,bGLM
0.6008025130568629,0.27884615384615385,0.6744186046511628,2,bGLM
0.597790999330263,0.28846153846153844,0.6818181818181818,2,bGLM
0.5968953777690947,0.2980769230769231,0.6888888888888889,2,bGLM
