"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"46","discretized_admit_age_quantile",4,3168,5.52427481479052,0.000197924803559957,"CD4+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000420590207564908
"47","virus_positive",1,3168,4.06285839838224,0.0439205203152599,"CD4+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.123950695095448,0.172303579698327
"48","event_type",11,3168,0.864120896543872,0.575422355431355,"CD4+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.625042850339569
"49","(Intercept)",1,3168,0.124256581037133,0.724486415102652,"CD4+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.112166185969354,0.85568723271241
"50","trajectory_group",1,3168,55.1004953824811,1.46327394645596e-13,"CD4+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.125464350754047,1.49253942538508e-12
"51","sex",1,3168,28.8250217561168,8.49346373232862e-08,"CD4+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,6.18809500498228e-07
"52","discretized_admit_age_quantile",4,3168,5.30465863820848,0.00029508819053925,"CD4+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00060197990870007
"53","virus_positive",1,3168,4.39468318397527,0.03613028546339,"CD4+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.121352198272908,0.153553713219408
"54","event_type",11,3168,7.87191234319819,1.23456800338317e-13,"CD4+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.62345700718924e-13
"55","(Intercept)",1,3168,1.05303198610607,0.304888170638674,"CD4+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.288928336784149,0.575899877873051
"56","trajectory_group",1,3168,91.0300173883812,0,"CD4+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.142690078049673,0
"57","sex",1,3168,39.6560585089796,3.44643980021431e-10,"CD4+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,4.39421074527324e-09
"58","discretized_admit_age_quantile",4,3168,15.5216820998567,1.39965816714493e-12,"CD4+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,1.1607381722456e-11
"59","virus_positive",1,3168,1.81266187436634,0.17828556373875,"CD4+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0689599826420658,0.379675882344274
"60","event_type",11,3168,58.2952395439553,0,"CD4+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"61","(Intercept)",1,3168,1.28185638322389,0.257639844370038,"CD4+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.345621364282081,0.547208521013902
"62","trajectory_group",1,3168,55.4943476918658,1.20237153566904e-13,"CD4+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.120403551182128,1.49253942538508e-12
"63","sex",1,3168,12.3294533668152,0.00045208989694645,"CD4+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00177358344186684
"64","discretized_admit_age_quantile",4,3168,2.30470127727596,0.0560981855077882,"CD4+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0733591656640308
"65","virus_positive",1,3168,2.53322796981084,0.111571738064494,"CD4+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0879997531240642,0.284507932064459
"66","event_type",11,3168,35.6493271974028,0,"CD4+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"67","(Intercept)",1,3168,4.22185420934221,0.0399883738562921,"CD4+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.679746608748704,0.156877466666992
"68","trajectory_group",1,3168,0.0044183207740919,0.947007477162827,"CD4+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.00116823206541369,0.965947626706083
"69","sex",1,3168,13.2686556601229,0.000274205020698415,"CD4+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00127131418687447
"70","discretized_admit_age_quantile",4,3168,13.3619529597802,8.44547765055381e-11,"CD4+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,4.78577066864716e-10
"71","virus_positive",1,3168,0.00545888274341827,0.941107150948792,"CD4+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.00444759904574404,0.961596715344851
"72","event_type",11,3168,3.52034461318827,6.33123775320987e-05,"CD4+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000104159072714098
"73","(Intercept)",1,3168,3.53340794374746,0.0602357497021855,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.625673064673035,0.192001452175716
"74","trajectory_group",1,3168,0.786127959198438,0.375340819935752,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0156999428315497,0.580072176264344
"75","sex",1,3168,0.04768172301772,0.827161563556726,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.874456238454451
"76","discretized_admit_age_quantile",4,3168,8.64248049789447,6.1878347634714e-07,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,1.97237233085651e-06
"77","virus_positive",1,3168,1.7177766163281,0.190074499827963,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0803208679733129,0.387751979649044
"78","event_type",11,3168,1.22692696732456,0.262710897381077,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.297739017031887
"79","(Intercept)",1,3168,0.75638914248392,0.384526787378358,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.290739410564976,0.632608585686976
"80","trajectory_group",1,3168,0.617606523717388,0.431996883509298,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0139869410228803,0.629481173113548
"81","sex",1,3168,2.16293407670397,0.141473823954865,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.220647712311773
"82","discretized_admit_age_quantile",4,3168,7.02829545503313,1.24845645392835e-05,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,3.35111995528136e-05
