"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"1914","event_type",11,3168,1.22853315585377,0.261647296062461,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.296533602204122
"1915","(Intercept)",1,3168,0.763713546444121,0.382235110354069,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.292095662358352,0.628838407356695
"1916","trajectory_group",1,3168,0.627282339397582,0.428413224518345,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0140551968331615,0.624259270012445
"1917","sex",1,3168,2.2174630614166,0.136556664656427,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.223004386965423
"1918","discretized_admit_age_quantile",4,3168,7.0300360929783,1.24444085682907e-05,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,3.34034124727802e-05
"1919","virus_positive",1,3168,0.426133485516615,0.513939678943344,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.293762742244993,0.997106684658914
"1920","event_type",11,3168,0.625203675731417,0.80875301512666,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.841763342274687
"1921","(Intercept)",1,3168,5.48597926893129,0.0192311895940226,"CD4+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.716500279706961,0.112256731800312
"1922","trajectory_group",1,3168,12.7084338831384,0.000369387790188247,"CD4+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.0569762183314025,0.00125591848664004
"1923","sex",1,3168,0.0215331417663602,0.883345199019444,"CD4+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.906426860715058
"1924","discretized_admit_age_quantile",4,3168,7.49885171556448,5.21728026559032e-06,"CD4+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,1.47822940858392e-05
"1925","virus_positive",1,3168,0.00520199341352573,0.942507106330256,"CD4+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0288644628858878,0.997106684658914
"1926","event_type",11,3168,37.8565118843614,0,"CD4+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1927","(Intercept)",1,3168,2.21155107657968,0.137080401494837,"CD4+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.48101252115271,0.335187735862213
"1928","trajectory_group",1,3168,14.5466511293989,0.000139338614037143,"CD4+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0655746659535121,0.000546636101222639
"1929","sex",1,3168,31.4190028199701,2.25763996386519e-08,"CD4+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,1.91899396928541e-07
"1930","discretized_admit_age_quantile",4,3168,11.1280737076528,5.78486991642535e-09,"CD4+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,2.45856971448077e-08
"1931","virus_positive",1,3168,0.585478248772834,0.444229994496324,"CD4+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.331785946387589,0.997106684658914
"1932","event_type",11,3168,3.79394593773336,1.96089262071153e-05,"CD4+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,3.3335174552096e-05
"1933","(Intercept)",1,3168,0.0963881116274236,0.756228289902556,"CD4+ Treg (CD39hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.100725288571876,0.85705872855623
"1934","trajectory_group",1,3168,4.68159661042188,0.0305619239839161,"CD4+ Treg (CD39hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0369808805459059,0.0677677444860749
"1935","sex",1,3168,5.18226789422922,0.0228849527372045,"CD4+ Treg (CD39hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0530514813453377
"1936","discretized_admit_age_quantile",4,3168,8.43536307382537,9.11338876807832e-07,"CD4+ Treg (CD39hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,2.7340166304235e-06
"1937","virus_positive",1,3168,1.53793511191814,0.215017265154669,"CD4+ Treg (CD39hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.531427898516814,0.997106684658914
"1938","event_type",11,3168,2.98337752876543,0.000589552230201296,"CD4+ Treg (CD39hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.000884328345301943
"1939","(Intercept)",1,3168,0.180797044027328,0.670718045717524,"CD4+ Treg (CD39low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.140947466896136,0.8343078129657
"1940","trajectory_group",1,3168,2.49880517581671,0.11403253463787,"CD4+ Treg (CD39low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0278230354795379,0.2236792025589
"1941","sex",1,3168,1.85709554771333,0.173057249109049,"CD4+ Treg (CD39low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.259585873663573
"1942","discretized_admit_age_quantile",4,3168,0.464131465353145,0.762118313236995,"CD4+ Treg (CD39low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.777360679501735
"1943","virus_positive",1,3168,0.0786975747758797,0.779088554747144,"CD4+ Treg (CD39low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.125190098642526,0.997106684658914
"1944","event_type",11,3168,5.38317680463561,1.58011979056738e-08,"CD4+ Treg (CD39low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,3.09946574303601e-08
"1945","(Intercept)",1,3168,0.140754377873848,0.707557322508616,"CD4+ Treg (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.120422148744278,0.85705872855623
"1946","trajectory_group",1,3168,0.0117291974243643,0.913763455293163,"CD4+ Treg (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.00183492452067556,0.932038724399026
"1947","sex",1,3168,35.1306023653563,3.41469341691436e-09,"CD4+ Treg (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,3.48298728525265e-08
"1948","discretized_admit_age_quantile",4,3168,2.56644146999257,0.0363839889859665,"CD4+ Treg (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0530166696652655
"1949","virus_positive",1,3168,0.0869164434531478,0.768153800016333,"CD4+ Treg (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.127814446938386,0.997106684658914
"1950","event_type",11,3168,26.1692468187713,0,"CD4+ Treg (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1951","(Intercept)",1,3168,0.184282258832442,0.667747864214915,"CD8+ NKT Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.140098934851703,0.8343078129657
"1952","trajectory_group",1,3168,26.4204819393205,2.9126581035932e-07,"CD8+ NKT Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0891686952320627,1.35041421166594e-06
"1953","sex",1,3168,1.25214609643018,0.263227816478342,"CD8+ NKT Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.35705233243999
"1954","discretized_admit_age_quantile",4,3168,2.6615334967244,0.0310312032647295,"CD8+ NKT Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0479573141364002
"1955","virus_positive",1,3168,0.305605469827791,0.5804284519805,"CD8+ NKT Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.242319563458725,0.997106684658914
"1956","event_type",11,3168,3.7856806917177,2.03217450893689e-05,"CD8+ NKT Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,3.34325483728327e-05
"1957","(Intercept)",1,3168,7.37007198841164,0.00666777810199037,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.813624959601606,0.073440566624974
"1958","trajectory_group",1,3168,45.9877378825344,1.41389122632063e-11,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.106437305772761,9.01355656779401e-11
"1959","sex",1,3168,8.94371558165594,0.00280569588205304,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.00841708764615912
"1960","discretized_admit_age_quantile",4,3168,82.5243393646213,0,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1961","virus_positive",1,3168,0.243685072037179,0.621591359250031,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.200184684000681,0.997106684658914
"1962","event_type",11,3168,11.6065862523379,0,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1963","(Intercept)",1,3168,0.116797187173602,0.732557166292212,"CD8+ T Cell (CM)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.108909330458526,0.85705872855623
"1964","trajectory_group",1,3168,18.2370106286786,2.00783115049674e-05,"CD8+ T Cell (CM)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0721436368819501,8.53328238961115e-05
"1965","sex",1,3168,0.963509086599068,0.326379301298992,"CD8+ T Cell (CM)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.416133609156214
"1966","discretized_admit_age_quantile",4,3168,4.91749977145815,0.000594715122533174,"CD8+ T Cell (CM)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.00116655658650738
"1967","virus_positive",1,3168,1.23616376619237,0.266296039171587,"CD8+ T Cell (CM)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.477661105305187,0.997106684658914
"1968","event_type",11,3168,15.9137962178999,0,"CD8+ T Cell (CM)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1969","(Intercept)",1,3168,0.225650961250068,0.634800241933393,"CD8+ T Cell (EM CD27hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.146944373131886,0.830123393297514
"1970","trajectory_group",1,3168,45.9894689799568,1.41266998099354e-11,"CD8+ T Cell (EM CD27hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.11148585095829,9.01355656779401e-11
"1971","sex",1,3168,15.473048898406,8.5484688242321e-05,"CD8+ T Cell (EM CD27hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.000484413233373153
"1972","discretized_admit_age_quantile",4,3168,6.22999868860598,5.44201693887247e-05,"CD8+ T Cell (EM CD27hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.000138771431941248
"1973","virus_positive",1,3168,0.880264855741466,0.348200670021095,"CD8+ T Cell (EM CD27hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.38868791987253,0.997106684658914
"1974","event_type",11,3168,30.1766839766598,0,"CD8+ T Cell (EM CD27hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1975","(Intercept)",1,3168,2.68745341301563,0.101240631219342,"CD8+ T Cell (EM CD27low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.547031294263523,0.28684845512147
"1976","trajectory_group",1,3168,0.178098975546101,0.673040702671711,"CD8+ T Cell (EM CD27low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.00747385217652051,0.772138759566724
"1977","sex",1,3168,3.19385506373125,0.0740110849299614,"CD8+ T Cell (EM CD27low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.130157425221656
"1978","discretized_admit_age_quantile",4,3168,0.484398814761786,0.747232205944053,"CD8+ T Cell (EM CD27low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.777360679501735
"1979","virus_positive",1,3168,0.0745743430054702,0.784807188553263,"CD8+ T Cell (EM CD27low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.122738417134143,0.997106684658914
"1980","event_type",11,3168,1.25577467761724,0.244083309185239,"CD8+ T Cell (EM CD27low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.282914744737436
"1981","(Intercept)",1,3168,0.0016774839139589,0.967332678510686,"CD8+ T Cell (EM CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.0131364029969963,0.967332678510686
"1982","trajectory_group",1,3168,0.313877032852088,0.575350384815939,"CD8+ T Cell (EM CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.00954984828541248,0.686655241642718
"1983","sex",1,3168,13.2935165284433,0.000270607964739211,"CD8+ T Cell (EM CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.00127844547735805
"1984","discretized_admit_age_quantile",4,3168,3.30546465960233,0.0103455025332502,"CD8+ T Cell (EM CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0181938147998538
"1985","virus_positive",1,3168,0.352322703744129,0.552843615280852,"CD8+ T Cell (EM CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.254993288469364,0.997106684658914
"1986","event_type",11,3168,14.9773853032864,0,"CD8+ T Cell (EM CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1987","(Intercept)",1,3168,3.99248432078948,0.0457889682630037,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.64710205221902,0.155682492094213
"1988","trajectory_group",1,3168,1.30489611505996,0.253407151158106,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0196621829471869,0.43079215696878
"1989","sex",1,3168,0.0574179661430465,0.810640001632085,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.898753045287746
"1990","discretized_admit_age_quantile",4,3168,6.10832128571387,6.80413098627097e-05,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.000165243181095152
"1991","virus_positive",1,3168,0.0705264528944956,0.790589081906218,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.115581953356474,0.997106684658914
"1992","event_type",11,3168,16.4567938973808,0,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1993","(Intercept)",1,3168,2.36621918152342,0.124086880911446,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.492981760791309,0.333075311920198
"1994","trajectory_group",1,3168,2.40226332767988,0.121259728033954,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0263834094060142,0.229046152953025
"1995","sex",1,3168,25.626367976781,4.37990912982578e-07,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,2.79219207026393e-06
"1996","discretized_admit_age_quantile",4,3168,13.2590325302222,1.02650554723027e-10,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,5.23517829087439e-10
"1997","virus_positive",1,3168,3.7519475098818,0.0528348220141368,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.830025605348909,0.898191974240326
"1998","event_type",11,3168,12.8316391396188,0,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"1999","(Intercept)",1,3168,6.90435598612905,0.00864006666176165,"CD8+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.843527373585479,0.073440566624974
"2000","trajectory_group",1,3168,0.123307762530156,0.725497630893645,"CD8+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.00597811099180699,0.772138759566724
"2001","sex",1,3168,2.00780160762803,0.156590273069245,"CD8+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.242003149288833
"2002","discretized_admit_age_quantile",4,3168,4.10575712036361,0.00254288276085612,"CD8+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.00463167931441651
"2003","virus_positive",1,3168,14.1993422983923,0.000167422804726813,"CD8+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",1.6304071038146,0.00426928152053374
"2004","event_type",11,3168,24.8989948421786,0,"CD8+ T Cell (activated)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2005","(Intercept)",1,3168,43.0456936389637,6.22295548424745e-11,"CD8+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",1.70226280904096,3.1737072969662e-09
"2006","trajectory_group",1,3168,51.3450485662143,9.5945473788106e-13,"CD8+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0988023620501647,8.15536527198901e-12
"2007","sex",1,3168,82.8002140152829,0,"CD8+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2008","discretized_admit_age_quantile",4,3168,336.20377339764,0,"CD8+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2009","virus_positive",1,3168,1.31516991312896e-05,0.997106684658914,"CD8+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0012648163103499,0.997106684658914
"2010","event_type",11,3168,1.73673506768621,0.0597825141979427,"CD8+ T Cell (naive)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0725930529546447
"2011","(Intercept)",1,3168,5.69241136958005,0.0170968360249713,"Conventional DC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.777385836008014,0.112256731800312
"2012","trajectory_group",1,3168,2.18073989707734,0.139846656707443,"Conventional DC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.025576233981617,0.254720696145699
"2013","sex",1,3168,4.22228661122711,0.0399781994077828,"Conventional DC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0785172694492693
"2014","discretized_admit_age_quantile",4,3168,0.9449646039177,0.43676924098875,"Conventional DC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.49500513978725
"2015","virus_positive",1,3168,0.168778343822755,0.681227607426365,"Conventional DC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.179447801792811,0.997106684658914
"2016","event_type",11,3168,3.76311059216163,2.24010014049369e-05,"Conventional DC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,3.57015959891183e-05
"2017","(Intercept)",1,3168,2.20102499398222,0.138018479472676,"Hematopoetic progenitor Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.48476635190039,0.335187735862213
"2018","trajectory_group",1,3168,27.7276853967616,1.48971224023242e-07,"Hematopoetic progenitor Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.0914429232272032,7.59753242518535e-07
"2019","sex",1,3168,4.22015376242337,0.0400284118760981,"Hematopoetic progenitor Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0785172694492693
"2020","discretized_admit_age_quantile",4,3168,3.00177762982999,0.0174392679350102,"Hematopoetic progenitor Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0286904085382425
"2021","virus_positive",1,3168,0.482752678431592,0.487229058232297,"Hematopoetic progenitor Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.305145769066496,0.997106684658914
"2022","event_type",11,3168,7.85475021306797,1.34114941374719e-13,"Hematopoetic progenitor Cell","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,2.73594480404427e-13
"2023","(Intercept)",1,3168,0.306481526114627,0.579886398552333,"ILC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.179434812224545,0.778268587530762
"2024","trajectory_group",1,3168,0.515946180871852,0.47262903590438,"ILC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.0123598018202912,0.651461644084416
"2025","sex",1,3168,1.3570823918217,0.244131479250347,"ILC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.345852928937991
"2026","discretized_admit_age_quantile",4,3168,1.17465012901915,0.319867740757116,"ILC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.379378018107277
"2027","virus_positive",1,3168,0.0681526532365815,0.794062719656698,"ILC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.11301393525888,0.997106684658914
"2028","event_type",11,3168,2.27652111604837,0.009182434886706,"ILC","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0123237941900528
"2029","(Intercept)",1,3168,7.15096040113098,0.007530859279128,"Monocytes (CD14+CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.868415264248869,0.073440566624974
"2030","trajectory_group",1,3168,9.32737956991463,0.0022763225019331,"Monocytes (CD14+CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0527234392964347,0.00682896750579931
"2031","sex",1,3168,5.97784577126994,0.0145408001955848,"Monocytes (CD14+CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0353133719035631
"2032","discretized_admit_age_quantile",4,3168,9.75679596915961,7.65799812452173e-08,"Monocytes (CD14+CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,3.00429157192775e-07
"2033","virus_positive",1,3168,14.4257887960166,0.000148528319502517,"Monocytes (CD14+CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",1.65487634556535,0.00426928152053374
"2034","event_type",11,3168,8.51632605000692,5.55111512312578e-15,"Monocytes (CD14+CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,1.17961196366423e-14
"2035","(Intercept)",1,3168,1.64041551529363,0.200362222667882,"Monocytes (CD14+CD16-)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.360232284524151,0.444281450263565
"2036","trajectory_group",1,3168,169.872111917956,0,"Monocytes (CD14+CD16-)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.194819756804683,0
"2037","sex",1,3168,86.2524681845289,0,"Monocytes (CD14+CD16-)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2038","discretized_admit_age_quantile",4,3168,15.5482097097636,1.33082433961818e-12,"Monocytes (CD14+CD16-)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,9.69600590293242e-12
"2039","virus_positive",1,3168,0.130683668036347,0.717748346442314,"Monocytes (CD14+CD16-)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.136666639498605,0.997106684658914
"2040","event_type",11,3168,49.2011599600346,0,"Monocytes (CD14+CD16-)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2041","(Intercept)",1,3168,15.2615021351339,9.55602290496627e-05,"Monocytes (CD14-CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-1.08966698178746,0.0024367858407664
"2042","trajectory_group",1,3168,0.0429517455020364,0.83582947980957,"Monocytes (CD14-CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.00306866884300594,0.869944968781389
"2043","sex",1,3168,7.30392750041039,0.00691710372214316,"Monocytes (CD14-CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0185669626225948
"2044","discretized_admit_age_quantile",4,3168,5.92726042974049,9.48171475849691e-05,"Monocytes (CD14-CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.000219803387583337
"2045","virus_positive",1,3168,0.0205363612713683,0.886058315762917,"Monocytes (CD14-CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.0533778239287598,0.997106684658914
"2046","event_type",11,3168,117.876971719762,0,"Monocytes (CD14-CD16+)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2047","(Intercept)",1,3168,1.0131376421662,0.314229200721278,"NK Cell (CD56hi CD16low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.322529589905051,0.572346044170899
"2048","trajectory_group",1,3168,9.42333973647982,0.00216056320069047,"NK Cell (CD56hi CD16low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0522701483697069,0.00682896750579931
"2049","sex",1,3168,0.0307714954194041,0.860762362255909,"NK Cell (CD56hi CD16low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.906426860715058
"2050","discretized_admit_age_quantile",4,3168,2.40149857113494,0.0478415531083078,"NK Cell (CD56hi CD16low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0.0677755335701028
"2051","virus_positive",1,3168,0.603863562440421,0.43716570717825,"NK Cell (CD56hi CD16low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",0.333366572082088,0.997106684658914
"2052","event_type",11,3168,3.85882529452867,1.48068765351006e-05,"NK Cell (CD56hi CD16low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,2.69696679746475e-05
"2053","(Intercept)",1,3168,5.13525698904231,0.0235118023454945,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.712955473816644,0.112256731800312
"2054","trajectory_group",1,3168,0.539813804620532,0.462564282071372,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0122848649503409,0.651461644084416
"2055","sex",1,3168,59.8862893520789,1.34336985979644e-14,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,2.28372876165395e-13
"2056","discretized_admit_age_quantile",4,3168,46.1850415248462,0,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2057","virus_positive",1,3168,0.640715345452457,0.423511899761396,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.337299565737949,0.997106684658914
"2058","event_type",11,3168,17.2302245706235,0,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",NA,0
"2059","(Intercept)",1,3168,0.50700037444414,0.476492693614291,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.230257298347166,0.722742144358272
"2060","trajectory_group",1,3168,4.71252246709193,0.0300177078833064,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human alphaherpesvirus 2 (HSV2).nasal","child",-0.0372038605196713,0.0677677444860749
